бүс,сар,нас_баралт
Баруун бүс,2016-01,167
Зүүн бүс,2016-01,91
Төвийн бүс,2016-01,223
Улаанбаатар,2016-01,576
Хангайн бүс,2016-01,260
Баруун бүс,2016-02,159
Зүүн бүс,2016-02,101
Төвийн бүс,2016-02,233
Улаанбаатар,2016-02,582
Хангайн бүс,2016-02,297
Баруун бүс,2016-03,197
Зүүн бүс,2016-03,115
Төвийн бүс,2016-03,201
Улаанбаатар,2016-03,640
Хангайн бүс,2016-03,304
Баруун бүс,2016-04,183
Зүүн бүс,2016-04,99
Төвийн бүс,2016-04,219
Улаанбаатар,2016-04,617
Хангайн бүс,2016-04,293
Баруун бүс,2016-05,200
Зүүн бүс,2016-05,112
Төвийн бүс,2016-05,217
Улаанбаатар,2016-05,617
Хангайн бүс,2016-05,295
Баруун бүс,2016-06,184
Зүүн бүс,2016-06,106
Төвийн бүс,2016-06,208
Улаанбаатар,2016-06,549
Хангайн бүс,2016-06,250
Баруун бүс,2016-07,173
Зүүн бүс,2016-07,100
Төвийн бүс,2016-07,236
Улаанбаатар,2016-07,557
Хангайн бүс,2016-07,275
Баруун бүс,2016-08,164
Зүүн бүс,2016-08,105
Төвийн бүс,2016-08,204
Улаанбаатар,2016-08,599
Хангайн бүс,2016-08,283
Баруун бүс,2016-09,144
Зүүн бүс,2016-09,93
Төвийн бүс,2016-09,203
Улаанбаатар,2016-09,593
Хангайн бүс,2016-09,268
Баруун бүс,2016-10,142
Зүүн бүс,2016-10,98
Төвийн бүс,2016-10,206
Улаанбаатар,2016-10,575
Хангайн бүс,2016-10,234
Баруун бүс,2016-11,169
Зүүн бүс,2016-11,101
Төвийн бүс,2016-11,238
Улаанбаатар,2016-11,588
Хангайн бүс,2016-11,252
Баруун бүс,2016-12,168
Зүүн бүс,2016-12,90
Төвийн бүс,2016-12,198
Улаанбаатар,2016-12,583
Хангайн бүс,2016-12,247
Баруун бүс,2017-01,148
Зүүн бүс,2017-01,90
Төвийн бүс,2017-01,190
Улаанбаатар,2017-01,687
Хангайн бүс,2017-01,242
Баруун бүс,2017-02,169
Зүүн бүс,2017-02,75
Төвийн бүс,2017-02,170
Улаанбаатар,2017-02,499
Хангайн бүс,2017-02,199
Баруун бүс,2017-03,183
Зүүн бүс,2017-03,86
Төвийн бүс,2017-03,238
Улаанбаатар,2017-03,636
Хангайн бүс,2017-03,285
Баруун бүс,2017-04,144
Зүүн бүс,2017-04,88
Төвийн бүс,2017-04,180
Улаанбаатар,2017-04,550
Хангайн бүс,2017-04,244
Баруун бүс,2017-05,176
Зүүн бүс,2017-05,93
Төвийн бүс,2017-05,218
Улаанбаатар,2017-05,625
Хангайн бүс,2017-05,250
Баруун бүс,2017-06,155
Зүүн бүс,2017-06,97
Төвийн бүс,2017-06,203
Улаанбаатар,2017-06,572
Хангайн бүс,2017-06,253
Баруун бүс,2017-07,158
Зүүн бүс,2017-07,97
Төвийн бүс,2017-07,198
Улаанбаатар,2017-07,551
Хангайн бүс,2017-07,275
Баруун бүс,2017-08,168
Зүүн бүс,2017-08,97
Төвийн бүс,2017-08,193
Улаанбаатар,2017-08,618
Хангайн бүс,2017-08,271
Баруун бүс,2017-09,150
Зүүн бүс,2017-09,105
Төвийн бүс,2017-09,211
Улаанбаатар,2017-09,595
Хангайн бүс,2017-09,299
Баруун бүс,2017-10,175
Зүүн бүс,2017-10,83
Төвийн бүс,2017-10,224
Улаанбаатар,2017-10,603
Хангайн бүс,2017-10,293
Баруун бүс,2017-11,163
Зүүн бүс,2017-11,81
Төвийн бүс,2017-11,208
Улаанбаатар,2017-11,606
Хангайн бүс,2017-11,234
Баруун бүс,2017-12,175
Зүүн бүс,2017-12,105
Төвийн бүс,2017-12,195
Улаанбаатар,2017-12,665
Хангайн бүс,2017-12,271
Баруун бүс,2018-01,175
Зүүн бүс,2018-01,100
Төвийн бүс,2018-01,216
Улаанбаатар,2018-01,726
Хангайн бүс,2018-01,269
Баруун бүс,2018-02,172
Зүүн бүс,2018-02,94
