year,indicator,gwh
1989,Gross generation,3568.0
1989,Imports,158.0
1989,Export,0.0
1989,Consumption,2880.0
1989,Losses in transmission and distribution,280.0
1989,Station internal use,566.0
1990,Gross generation,3348.0
1990,Imports,228.0
1990,Export,0.0
1990,Consumption,2719.0
1990,Losses in transmission and distribution,323.0
1990,Station internal use,534.0
1991,Gross generation,3229.0
1991,Imports,84.0
1991,Export,0.0
1991,Consumption,2400.0
1991,Losses in transmission and distribution,340.0
1991,Station internal use,573.0
1992,Gross generation,2929.0
1992,Imports,101.9
1992,Export,0.0
1992,Consumption,2175.0
1992,Losses in transmission and distribution,284.6
1992,Station internal use,571.5
1993,Gross generation,2582.0
1993,Imports,197.0
1993,Export,0.0
1993,Consumption,2006.0
1993,Losses in transmission and distribution,291.0
1993,Station internal use,482.0
1994,Gross generation,2715.0
1994,Imports,215.0
1994,Export,0.0
1994,Consumption,1861.0
1994,Losses in transmission and distribution,472.0
1994,Station internal use,597.0
1995,Gross generation,2628.0
1995,Imports,381.0
1995,Export,0.0
1995,Consumption,1909.0
1995,Losses in transmission and distribution,502.0
1995,Station internal use,598.0
1996,Gross generation,2614.0
1996,Imports,383.0
1996,Export,0.0
1996,Consumption,1936.0
1996,Losses in transmission and distribution,482.0
1996,Station internal use,579.0
1997,Gross generation,2720.0
1997,Imports,376.0
1997,Export,42.0
1997,Consumption,1939.0
1997,Losses in transmission and distribution,507.0
1997,Station internal use,608.0
1998,Gross generation,2675.0
1998,Imports,367.0
1998,Export,60.0
1998,Consumption,1929.0
1998,Losses in transmission and distribution,465.0
1998,Station internal use,588.0
1999,Gross generation,2842.0
1999,Imports,203.0
1999,Export,59.0
1999,Consumption,1867.0
1999,Losses in transmission and distribution,509.0
1999,Station internal use,610.0
2000,Gross generation,2946.0
2000,Imports,181.0
2000,Export,25.0
2000,Consumption,1910.0
2000,Losses in transmission and distribution,576.0
2000,Station internal use,616.0
2001,Gross generation,3017.0
2001,Imports,196.0
2001,Export,18.0
2001,Consumption,1948.0
2001,Losses in transmission and distribution,603.0
2001,Station internal use,644.0
2002,Gross generation,3111.7
2002,Imports,167.3
2002,Export,15.5
2002,Consumption,2031.7
2002,Losses in transmission and distribution,582.8
2002,Station internal use,649.0
2003,Gross generation,3137.7
2003,Imports,171.28
2003,Export,6.73
2003,Consumption,2194.65
2003,Losses in transmission and distribution,489.2
2003,Station internal use,618.4
2004,Gross generation,3303.4
2004,Imports,170.8
2004,Export,8.2
2004,Consumption,2357.0
2004,Losses in transmission and distribution,480.4
2004,Station internal use,628.8
2005,Gross generation,3418.9
2005,Imports,167.5
2005,Export,11.9
2005,Consumption,2534.0
2005,Losses in transmission and distribution,419.7
2005,Station internal use,620.8
2006,Gross generation,3544.2
2006,Imports,168.3
2006,Export,20.8
2006,Consumption,2619.7
2006,Losses in transmission and distribution,442.3
2006,Station internal use,629.6
2007,Gross generation,3700.7
2007,Imports,195.4
2007,Export,10.1
2007,Consumption,2829.1
2007,Losses in transmission and distribution,442.4
2007,Station internal use,614.5
2008,Gross generation,4000.57
