он,бүтээгдэхүүн,тж
2015,Чулуун нүүрс,21246.29
2015,Хүрэн нүүрс,5684.29
2015,Кокс болон хагас кокс,6.27
2015,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",14.04
2015,Автобензин,18662.19
2015,Дизель түлш,27187.68
2015,Онгоцны түлш,2368.5
2015,Керосин,137.4
2015,Мазут,26.01
2015,Пропан,1084.92
2015,Бусад шингэн түлш,389.2
2015,"Тос, тосолгооны материал",473.34
2015,Бусад нефтийн болон тосон бүтээгдэхүүн,108.76
2015,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1297.99
2015,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",30423.75
2015,Цахилгаан эрчим хүч,25168.17
2015,Дулаан эрчим хүч,44640.23
2016,Чулуун нүүрс,25744.35
2016,Хүрэн нүүрс,9547.69
2016,Кокс болон хагас кокс,0.85
2016,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",25.35
2016,Автобензин,17079.96
2016,Дизель түлш,24905.54
2016,Онгоцны түлш,2421.27
2016,Керосин,2608.65
2016,Мазут,8.25
2016,Пропан,1352.24
2016,Бусад шингэн түлш,895.37
2016,"Тос, тосолгооны материал",511.23
2016,Бусад нефтийн болон тосон бүтээгдэхүүн,140.15
2016,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2137.36
2016,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",31514.5
2016,Цахилгаан эрчим хүч,26031.36
2016,Дулаан эрчим хүч,45139.2
2017,Чулуун нүүрс,80083.68
2017,Хүрэн нүүрс,9955.74
2017,Кокс болон хагас кокс,9.2
2017,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",26.47
2017,Автобензин,17829.89
2017,Дизель түлш,34338.8
2017,Онгоцны түлш,1468.55
2017,Керосин,2183.53
2017,Мазут,7.55
2017,Пропан,1410.69
2017,Бусад шингэн түлш,1065.02
2017,"Тос, тосолгооны материал",763.23
2017,Бусад нефтийн болон тосон бүтээгдэхүүн,1139.36
2017,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1247.69
2017,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",31731.58
2017,Цахилгаан эрчим хүч,27666.39
2017,Дулаан эрчим хүч,45169.49
2018,Чулуун нүүрс,81645.88
2018,Хүрэн нүүрс,8821.23
2018,Кокс болон хагас кокс,33.05
2018,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",57.39
2018,Автобензин,20059.13
2018,Дизель түлш,36076.05
2018,Онгоцны түлш,1750.53
2018,Керосин,4799.42
2018,Мазут,9.47
2018,Пропан,2677.43
2018,Бусад шингэн түлш,786.2
2018,"Тос, тосолгооны материал",866.59
2018,Бусад нефтийн болон тосон бүтээгдэхүүн,4030.27
2018,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1950.45
2018,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",33694.16
2018,Цахилгаан эрчим хүч,29902.59
2018,Дулаан эрчим хүч,50221.04
2019,Чулуун нүүрс,5324.65
2019,Хүрэн нүүрс,7432.78
2019,Кокс болон хагас кокс,60.3
2019,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",5887.64
2019,Автобензин,23392.97
2019,Дизель түлш,45988.37
2019,Онгоцны түлш,2058.02
2019,Керосин,2302.38
2019,Мазут,9.47
2019,Пропан,1535.22
2019,Бусад шингэн түлш,309.9
2019,"Тос, тосолгооны материал",959.17
2019,Бусад нефтийн болон тосон бүтээгдэхүүн,3637.72
2019,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2316.75
2019,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",35846.81
2019,Цахилгаан эрчим хүч,31564.04
2019,Дулаан эрчим хүч,53127.86
2020,Чулуун нүүрс,3903.06
2020,Хүрэн нүүрс,10659.58
2020,Кокс болон хагас кокс,28.77
2020,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",15620.54
2020,Автобензин,25901.22
2020,Дизель түлш,43806.78
2020,Онгоцны түлш,864.14
2020,Керосин,1980.59
2020,Мазут,8.79
2020,Пропан,1556.21
2020,Бусад шингэн түлш,236.67
2020,"Тос, тосолгооны материал",925.31
2020,Бусад нефтийн болон тосон бүтээгдэхүүн,6211.25
2020,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1812.26
2020,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",38090.07
2020,Цахилгаан эрчим хүч,32048.51
2020,Дулаан эрчим хүч,56439.38
2021,Чулуун нүүрс,4393.25
2021,Хүрэн нүүрс,7339.07
2021,Кокс болон хагас кокс,40.01
2021,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",6015.23
2021,Автобензин,26368.23
2021,Дизель түлш,41143.13
2021,Онгоцны түлш,1188.85
2021,Керосин,1958.54
2021,Мазут,5.69
2021,Пропан,1517.47
2021,Бусад шингэн түлш,64.6
2021,"Тос, тосолгооны материал",1019.94
2021,Бусад нефтийн болон тосон бүтээгдэхүүн,3299.39
2021,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1205.34
2021,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",40165.26
2021,Цахилгаан эрчим хүч,35620.55
2021,Дулаан эрчим хүч,60260.9
2022,Чулуун нүүрс,5322.29
2022,Хүрэн нүүрс,6039.62
2022,Кокс болон хагас кокс,40.61
2022,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",16949.65
2022,Автобензин,30094.14
2022,Дизель түлш,41893.0
2022,Онгоцны түлш,3249.03
2022,Керосин,439.64
2022,Мазут,7.95
2022,Пропан,1257.56
2022,Бусад шингэн түлш,13.41
2022,"Тос, тосолгооны материал",1073.28
2022,Бусад нефтийн болон тосон бүтээгдэхүүн,1757.46
2022,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1773.02
2022,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",39571.95
2022,Цахилгаан эрчим хүч,37326.61
2022,Дулаан эрчим хүч,63036.28
2023,Чулуун нүүрс,5955.41
2023,Хүрэн нүүрс,9414.98
2023,Кокс болон хагас кокс,28.11
2023,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",15388.74
2023,Автобензин,32295.13
2023,Дизель түлш,57471.47
