indicator,month,value_usd_mn
Total turnover,2026-04,3112.31
Total turnover,2026-03,2747.1
Total turnover,2026-02,2018.65
Total turnover,2026-01,2603.5
Total turnover,2025-12,3071.5
Total turnover,2025-11,2367.53
Total turnover,2025-10,2459.05
Total turnover,2025-09,2614.1
Total turnover,2025-08,2408.04
Total turnover,2025-07,2124.67
Total turnover,2025-06,2174.03
Total turnover,2025-05,2137.05
Total turnover,2025-04,2240.69
Total turnover,2025-03,1842.09
Total turnover,2025-02,1723.88
Total turnover,2025-01,1992.33
Total turnover,2024-12,2209.45
Total turnover,2024-11,2397.7
Total turnover,2024-10,2394.19
Total turnover,2024-09,2269.88
Total turnover,2024-08,2446.35
Total turnover,2024-07,2413.04
Total turnover,2024-06,2514.69
Total turnover,2024-05,2388.7
Total turnover,2024-04,2298.94
Total turnover,2024-03,2287.59
Total turnover,2024-02,1576.6
Total turnover,2024-01,2200.91
Total turnover,2023-12,2247.0
Total turnover,2023-11,2160.7
Total turnover,2023-10,1978.9
Total turnover,2023-09,2099.3
Total turnover,2023-08,2229.5
Total turnover,2023-07,1894.7
Total turnover,2023-06,2083.3
Total turnover,2023-05,1997.9
Total turnover,2023-04,2039.8
Total turnover,2023-03,2258.2
Total turnover,2023-02,1678.7
Total turnover,2023-01,1769.1
Total turnover,2022-12,2222.0
Total turnover,2022-11,1886.0
Total turnover,2022-10,1854.4
Total turnover,2022-09,1940.4
Total turnover,2022-08,2112.4
Total turnover,2022-07,1970.7
Total turnover,2022-06,2036.9
Total turnover,2022-05,2073.4
Total turnover,2022-04,1550.2
Total turnover,2022-03,1382.4
Total turnover,2022-02,1118.3
Total turnover,2022-01,1096.0
Total turnover,2021-12,1103.5
Total turnover,2021-11,1843.4
Total turnover,2021-10,1629.0
Total turnover,2021-09,1454.9
Total turnover,2021-08,1514.5
Total turnover,2021-07,1207.1
Total turnover,2021-06,1411.7
Total turnover,2021-05,1466.5
Total turnover,2021-04,933.5
Total turnover,2021-03,1268.3
Total turnover,2021-02,1155.6
Total turnover,2021-01,1098.5
Total turnover,2020-12,1132.1
Total turnover,2020-11,1271.0
Total turnover,2020-10,1395.7
Total turnover,2020-09,1143.2
Total turnover,2020-08,1202.7
Total turnover,2020-07,1442.3
Total turnover,2020-06,1280.6
Total turnover,2020-05,1060.5
Total turnover,2020-04,754.1
Total turnover,2020-03,667.6
Total turnover,2020-02,590.4
Total turnover,2020-01,935.1
Total turnover,2019-12,1107.6
Total turnover,2019-11,940.9
Total turnover,2019-10,1154.5
Total turnover,2019-09,1065.0
Total turnover,2019-08,1400.3
Total turnover,2019-07,1246.1
Total turnover,2019-06,1254.2
Total turnover,2019-05,1300.4
Total turnover,2019-04,1220.8
Total turnover,2019-03,1126.3
Total turnover,2019-02,819.4
Total turnover,2019-01,1111.8
Total turnover,2018-12,1051.9
Total turnover,2018-11,1023.4
Total turnover,2018-10,1185.7
Total turnover,2018-09,1155.6
Total turnover,2018-08,1089.1
Total turnover,2018-07,1085.0
Total turnover,2018-06,1236.2
Total turnover,2018-05,1354.4
Total turnover,2018-04,1092.3
Total turnover,2018-03,1048.5
Total turnover,2018-02,779.9
Total turnover,2018-01,784.7
Total turnover,2017-12,890.7
Total turnover,2017-11,868.1
Total turnover,2017-10,878.3
Total turnover,2017-09,796.7
Total turnover,2017-08,876.4
Total turnover,2017-07,782.2
Total turnover,2017-06,988.4
Total turnover,2017-05,905.3
Total turnover,2017-04,902.5
Total turnover,2017-03,773.1
Total turnover,2017-02,596.6
Total turnover,2017-01,1279.6
Total turnover,2016-12,730.2
Total turnover,2016-11,729.7
Total turnover,2016-10,666.4
Total turnover,2016-09,637.5
Total turnover,2016-08,695.0
Total turnover,2016-07,597.5
Total turnover,2016-06,700.9
Total turnover,2016-05,698.5
Total turnover,2016-04,594.9
Total turnover,2016-03,544.9
Total turnover,2016-02,399.4
Total turnover,2016-01,1261.0
Total turnover,2015-12,727.8
Total turnover,2015-11,648.5
Total turnover,2015-10,692.8
Total turnover,2015-09,599.4
Total turnover,2015-08,776.4
Total turnover,2015-07,812.5
Total turnover,2015-06,892.8
Total turnover,2015-05,830.0
Total turnover,2015-04,708.8
Total turnover,2015-03,562.0
Total turnover,2015-02,495.7
Total turnover,2015-01,720.1
Total turnover,2014-12,981.4
Total turnover,2014-11,953.4
Total turnover,2014-10,1009.2
Total turnover,2014-09,916.1
Total turnover,2014-08,1082.4
Total turnover,2014-07,943.2
Total turnover,2014-06,1042.1
Total turnover,2014-05,1082.9
Total turnover,2014-04,984.1
Total turnover,2014-03,765.3
Total turnover,2014-02,555.3
Total turnover,2014-01,695.5
Total turnover,2013-12,906.2
Total turnover,2013-11,855.8
Total turnover,2013-10,937.9
Total turnover,2013-09,962.5
Total turnover,2013-08,921.0
Total turnover,2013-07,1009.1
Total turnover,2013-06,956.4
Total turnover,2013-05,1120.5
Total turnover,2013-04,942.6
Total turnover,2013-03,697.8
Total turnover,2013-02,538.2
Total turnover,2013-01,778.9
Total turnover,2012-12,826.2
Total turnover,2012-11,887.7
Total turnover,2012-10,929.6
Total turnover,2012-09,915.5
Total turnover,2012-08,1008.5
