year,region,beds
2015,Arkhangai,511
2015,Bayan-Ulgii,673
2015,Bayankhongor,477
2015,Bulgan,332
2015,Darkhan-Uul,674
2015,Dornod,428
2015,Dornogovi,404
2015,Dundgovi,227
2015,Govi-Altai,375
2015,Govisumber,105
2015,Khentii,433
2015,Khovd,558
2015,Khuvsgul,765
2015,Orkhon,599
2015,Selenge,621
2015,Sukhbaatar,365
2015,Tuv,521
2015,Ulaanbaatar,11485
2015,Umnugovi,446
2015,Uvs,540
2015,Uvurkhangai,684
2015,Zavkhan,497
2016,Arkhangai,519
2016,Bayan-Ulgii,728
2016,Bayankhongor,525
2016,Bulgan,376
2016,Darkhan-Uul,742
2016,Dornod,538
2016,Dornogovi,438
2016,Dundgovi,301
2016,Govi-Altai,439
2016,Govisumber,118
2016,Khentii,365
2016,Khovd,566
2016,Khuvsgul,788
2016,Orkhon,650
2016,Selenge,708
2016,Sukhbaatar,494
2016,Tuv,523
2016,Ulaanbaatar,11835
2016,Umnugovi,446
2016,Uvs,571
2016,Uvurkhangai,716
2016,Zavkhan,574
2017,Arkhangai,518
2017,Bayan-Ulgii,775
2017,Bayankhongor,547
2017,Bulgan,372
2017,Darkhan-Uul,742
2017,Dornod,550
2017,Dornogovi,464
2017,Dundgovi,301
2017,Govi-Altai,449
2017,Govisumber,124
2017,Khentii,471
2017,Khovd,577
2017,Khuvsgul,783
2017,Orkhon,645
2017,Selenge,708
2017,Sukhbaatar,405
2017,Tuv,504
2017,Ulaanbaatar,12326
2017,Umnugovi,663
2017,Uvs,551
2017,Uvurkhangai,835
2017,Zavkhan,587
2018,Arkhangai,518
2018,Bayan-Ulgii,790
2018,Bayankhongor,591
2018,Bulgan,376
2018,Darkhan-Uul,762
2018,Dornod,557
2018,Dornogovi,491
2018,Dundgovi,309
2018,Govi-Altai,455
2018,Govisumber,124
2018,Khentii,489
2018,Khovd,563
2018,Khuvsgul,893
2018,Orkhon,725
2018,Selenge,801
2018,Sukhbaatar,416
2018,Tuv,507
2018,Ulaanbaatar,12855
2018,Umnugovi,669
2018,Uvs,588
2018,Uvurkhangai,833
2018,Zavkhan,572
2019,Arkhangai,519
2019,Bayan-Ulgii,790
2019,Bayankhongor,591
2019,Bulgan,376
2019,Darkhan-Uul,762
2019,Dornod,553
2019,Dornogovi,506
2019,Dundgovi,309
2019,Govi-Altai,471
2019,Govisumber,122
2019,Khentii,489
2019,Khovd,604
2019,Khuvsgul,880
2019,Orkhon,863
2019,Selenge,841
2019,Sukhbaatar,462
2019,Tuv,515
2019,Ulaanbaatar,13315
2019,Umnugovi,696
2019,Uvs,589
2019,Uvurkhangai,856
2019,Zavkhan,552
2020,Arkhangai,551
2020,Bayan-Ulgii,949
2020,Bayankhongor,663
2020,Bulgan,358
2020,Darkhan-Uul,774
2020,Dornod,567
2020,Dornogovi,523
2020,Dundgovi,351
2020,Govi-Altai,481
2020,Govisumber,134
2020,Khentii,559
2020,Khovd,763
2020,Khuvsgul,893
2020,Orkhon,895
2020,Selenge,815
2020,Sukhbaatar,549
2020,Tuv,565
2020,Ulaanbaatar,13780
2020,Umnugovi,695
2020,Uvs,610
2020,Uvurkhangai,934
2020,Zavkhan,674
2021,Arkhangai,1541
2021,Bayan-Ulgii,946
2021,Bayankhongor,1921
2021,Bulgan,976
2021,Darkhan-Uul,1018
2021,Dornod,573
2021,Dornogovi,540
2021,Dundgovi,351
2021,Govi-Altai,491
2021,Govisumber,289
2021,Khentii,1026
2021,Khovd,826
2021,Khuvsgul,922
2021,Orkhon,900
2021,Selenge,830
2021,Sukhbaatar,548
2021,Tuv,1281
2021,Ulaanbaatar,15326
2021,Umnugovi,1501
2021,Uvs,575
2021,Uvurkhangai,1606
2021,Zavkhan,1323
2022,Arkhangai,551
2022,Bayan-Ulgii,972
2022,Bayankhongor,690
2022,Bulgan,333
2022,Darkhan-Uul,844
2022,Dornod,574
2022,Dornogovi,550
2022,Dundgovi,351
2022,Govi-Altai,486
2022,Govisumber,170
2022,Khentii,588
2022,Khovd,849
2022,Khuvsgul,997
2022,Orkhon,907
2022,Selenge,822
2022,Sukhbaatar,525
2022,Tuv,579
2022,Ulaanbaatar,15846
2022,Umnugovi,751
2022,Uvs,558
2022,Uvurkhangai,1054
2022,Zavkhan,632
2023,Arkhangai,594
2023,Bayan-Ulgii,1016
2023,Bayankhongor,691
2023,Bulgan,309
2023,Darkhan-Uul,843
2023,Dornod,584
2023,Dornogovi,549
2023,Dundgovi,368
2023,Govi-Altai,493
2023,Govisumber,176
2023,Khentii,602
2023,Khovd,820
2023,Khuvsgul,1011
2023,Orkhon,941
2023,Selenge,878
2023,Sukhbaatar,530
2023,Tuv,565
2023,Ulaanbaatar,15467
2023,Umnugovi,767
2023,Uvs,562
2023,Uvurkhangai,1044
2023,Zavkhan,633
2024,Arkhangai,594
2024,Bayan-Ulgii,997
2024,Bayankhongor,694
2024,Bulgan,305
2024,Darkhan-Uul,843
2024,Dornod,539
2024,Dornogovi,553
2024,Dundgovi,350
2024,Govi-Altai,508
2024,Govisumber,176
2024,Khentii,602
2024,Khovd,846
2024,Khuvsgul,1051
2024,Orkhon,942
2024,Selenge,869
2024,Sukhbaatar,531
2024,Tuv,611
2024,Ulaanbaatar,16266
2024,Umnugovi,726
2024,Uvs,565
2024,Uvurkhangai,919
2024,Zavkhan,630
2025,Arkhangai,594
2025,Bayan-Ulgii,1001
2025,Bayankhongor,695
2025,Bulgan,304
2025,Darkhan-Uul,849
2025,Dornod,501
