year,region,beds
2015,Ulaanbaatar,11485
2015,Orkhon,599
2015,Darkhan-Uul,674
2015,Khuvsgul,765
2015,Uvurkhangai,684
2015,Selenge,621
2016,Ulaanbaatar,11835
2016,Orkhon,650
2016,Darkhan-Uul,742
2016,Khuvsgul,788
2016,Uvurkhangai,716
2016,Selenge,708
2017,Ulaanbaatar,12326
2017,Orkhon,645
2017,Darkhan-Uul,742
2017,Khuvsgul,783
2017,Uvurkhangai,835
2017,Selenge,708
2018,Ulaanbaatar,12855
2018,Orkhon,725
2018,Darkhan-Uul,762
2018,Khuvsgul,893
2018,Uvurkhangai,833
2018,Selenge,801
2019,Ulaanbaatar,13315
2019,Orkhon,863
2019,Darkhan-Uul,762
2019,Khuvsgul,880
2019,Uvurkhangai,856
2019,Selenge,841
2020,Ulaanbaatar,13780
2020,Orkhon,895
2020,Darkhan-Uul,774
2020,Khuvsgul,893
2020,Uvurkhangai,934
2020,Selenge,815
2021,Ulaanbaatar,15326
2021,Orkhon,900
2021,Darkhan-Uul,1018
2021,Khuvsgul,922
2021,Uvurkhangai,1606
2021,Selenge,830
2022,Ulaanbaatar,15846
2022,Orkhon,907
2022,Darkhan-Uul,844
2022,Khuvsgul,997
2022,Uvurkhangai,1054
2022,Selenge,822
2023,Ulaanbaatar,15467
2023,Orkhon,941
2023,Darkhan-Uul,843
2023,Khuvsgul,1011
2023,Uvurkhangai,1044
2023,Selenge,878
2024,Ulaanbaatar,16266
2024,Orkhon,942
2024,Darkhan-Uul,843
2024,Khuvsgul,1051
2024,Uvurkhangai,919
2024,Selenge,869
2025,Ulaanbaatar,15968
2025,Orkhon,942
2025,Darkhan-Uul,849
2025,Khuvsgul,890
2025,Uvurkhangai,950
2025,Selenge,893
