он,аймаг,ор
2015,Улаанбаатар,11485
2015,Орхон,599
2015,Дархан-Уул,674
2015,Хөвсгөл,765
2015,Өвөрхангай,684
2015,Сэлэнгэ,621
2016,Улаанбаатар,11835
2016,Орхон,650
2016,Дархан-Уул,742
2016,Хөвсгөл,788
2016,Өвөрхангай,716
2016,Сэлэнгэ,708
2017,Улаанбаатар,12326
2017,Орхон,645
2017,Дархан-Уул,742
2017,Хөвсгөл,783
2017,Өвөрхангай,835
2017,Сэлэнгэ,708
2018,Улаанбаатар,12855
2018,Орхон,725
2018,Дархан-Уул,762
2018,Хөвсгөл,893
2018,Өвөрхангай,833
2018,Сэлэнгэ,801
2019,Улаанбаатар,13315
2019,Орхон,863
2019,Дархан-Уул,762
2019,Хөвсгөл,880
2019,Өвөрхангай,856
2019,Сэлэнгэ,841
2020,Улаанбаатар,13780
2020,Орхон,895
2020,Дархан-Уул,774
2020,Хөвсгөл,893
2020,Өвөрхангай,934
2020,Сэлэнгэ,815
2021,Улаанбаатар,15326
2021,Орхон,900
2021,Дархан-Уул,1018
2021,Хөвсгөл,922
2021,Өвөрхангай,1606
2021,Сэлэнгэ,830
2022,Улаанбаатар,15846
2022,Орхон,907
2022,Дархан-Уул,844
2022,Хөвсгөл,997
2022,Өвөрхангай,1054
2022,Сэлэнгэ,822
2023,Улаанбаатар,15467
2023,Орхон,941
2023,Дархан-Уул,843
2023,Хөвсгөл,1011
2023,Өвөрхангай,1044
2023,Сэлэнгэ,878
2024,Улаанбаатар,16266
2024,Орхон,942
2024,Дархан-Уул,843
2024,Хөвсгөл,1051
2024,Өвөрхангай,919
2024,Сэлэнгэ,869
2025,Улаанбаатар,15968
2025,Орхон,942
2025,Дархан-Уул,849
2025,Хөвсгөл,890
2025,Өвөрхангай,950
2025,Сэлэнгэ,893
