улс,он,импорт_сая_ам_дол
БНХАУ,2005,303248.1
ОХУ,2005,417926.8
Япон,2005,75500.9
АНУ,2005,37054.1
БНСУ,2005,63723.8
ХБНГУ,2005,37600.7
Франц,2005,29352.3
Австрали,2005,29824.6
Вьетнам,2005,2568.9
Турк,2005,2266.7
БНХАУ,2006,368156.9
ОХУ,2006,547798.0
Япон,2006,97596.6
АНУ,2006,43556.1
БНСУ,2006,82511.4
ХБНГУ,2006,42988.9
Франц,2006,16770.0
Австрали,2006,36105.1
Вьетнам,2006,2961.6
Турк,2006,3499.2
БНХАУ,2007,572624.1
ОХУ,2007,745046.4
Япон,2007,140217.7
АНУ,2007,55741.3
БНСУ,2007,119580.7
ХБНГУ,2007,76473.1
Франц,2007,24046.2
Австрали,2007,38509.9
Вьетнам,2007,6323.7
Турк,2007,5274.8
БНХАУ,2008,905953.4
ОХУ,2008,1242275.2
Япон,2008,238526.7
АНУ,2008,84115.2
БНСУ,2008,194818.4
ХБНГУ,2008,92607.1
Франц,2008,33664.7
Австрали,2008,36459.8
Вьетнам,2008,9627.1
Турк,2008,12476.7
БНХАУ,2009,542351.0
ОХУ,2009,772815.3
Япон,2009,97053.5
АНУ,2009,103743.6
БНСУ,2009,155102.2
ХБНГУ,2009,70289.6
Франц,2009,59431.3
Австрали,2009,34068.2
Вьетнам,2009,7714.2
Турк,2009,5918.5
БНХАУ,2010,976214.1
ОХУ,2010,1046695.2
Япон,2010,196488.0
АНУ,2010,158915.3
БНСУ,2010,181781.9
ХБНГУ,2010,87243.8
Франц,2010,52774.7
Австрали,2010,87889.9
Вьетнам,2010,12360.2
Турк,2010,9645.8
БНХАУ,2011,2032877.58
ОХУ,2011,1624705.8
Япон,2011,490225.71
АНУ,2011,536024.59
БНСУ,2011,356725.09
ХБНГУ,2011,273639.01
Франц,2011,100214.6
Австрали,2011,205666.2
Вьетнам,2011,15223.67
Турк,2011,36835.5
БНХАУ,2012,1873414.92
ОХУ,2012,1847385.7
Япон,2012,501618.18
АНУ,2012,535945.95
БНСУ,2012,467751.49
ХБНГУ,2012,246444.28
Франц,2012,63578.43
Австрали,2012,180504.01
Вьетнам,2012,16340.5
Турк,2012,34096.61
БНХАУ,2013,1822603.59
ОХУ,2013,1561852.23
Япон,2013,444201.83
АНУ,2013,512678.62
БНСУ,2013,507359.65
ХБНГУ,2013,252179.2
Франц,2013,62545.97
Австрали,2013,120563.41
Вьетнам,2013,22304.47
Турк,2013,41907.03
БНХАУ,2014,1767915.86
ОХУ,2014,1549318.25
Япон,2014,367789.49
АНУ,2014,229478.2
БНСУ,2014,352556.8
ХБНГУ,2014,159158.88
Франц,2014,53559.04
Австрали,2014,49967.4
Вьетнам,2014,24526.22
Турк,2014,37858.23
БНХАУ,2015,1389940.65
ОХУ,2015,1020986.16
Япон,2015,274639.09
АНУ,2015,116493.27
БНСУ,2015,258698.83
ХБНГУ,2015,124480.8
Франц,2015,27479.99
Австрали,2015,32563.94
Вьетнам,2015,29133.01
Турк,2015,28398.06
БНХАУ,2016,1061134.87
ОХУ,2016,861889.1
Япон,2016,330608.39
АНУ,2016,139229.33
БНСУ,2016,197888.96
ХБНГУ,2016,120024.69
Франц,2016,19497.99
Австрали,2016,52536.25
Вьетнам,2016,40139.19
Турк,2016,26000.5
БНХАУ,2017,1427773.42
ОХУ,2017,1219188.22
Япон,2017,363150.12
АНУ,2017,208442.45
БНСУ,2017,197703.67
ХБНГУ,2017,128350.45
Франц,2017,32417.9
Австрали,2017,80488.03
Вьетнам,2017,39798.76
Турк,2017,29095.75
БНХАУ,2018,1994813.72
ОХУ,2018,1710347.31
Япон,2018,561042.29
АНУ,2018,211464.25
БНСУ,2018,262366.03
ХБНГУ,2018,168737.05
Франц,2018,39145.29
