sex,year,labour_force
Female,2009,542835
Male,2009,595023
Total,2009,1137858
Female,2010,540311
Male,2010,606851
Total,2010,1147162
Female,2011,529158
Male,2011,595541
Total,2011,1124699
Female,2012,550550
Male,2012,600631
Total,2012,1151181
Female,2013,571712
Male,2013,626596
Total,2013,1198308
Female,2014,567840
Male,2014,638715
Total,2014,1206555
Female,2015,585518
Male,2015,658369
Total,2015,1243887
Female,2016,592395
Male,2016,683263
Total,2016,1275658
Female,2017,635499
Male,2017,721945
Total,2017,1357444
Female,2018,628055
Male,2018,730599
Total,2018,1358654
Female,2019,628420
Male,2019,734052
Total,2019,1362472
Female,2020,619180
Male,2020,720834
Total,2020,1340014
Female,2021,597259
Male,2021,720166
Total,2021,1317425
Female,2022,625855
Male,2022,744739
Total,2022,1370594
Female,2023,622323
Male,2023,744996
Total,2023,1367319
Female,2024,655682
Male,2024,785408
Total,2024,1441090
