хүйс,жил,ажиллах_хүч
Нийт,2009,1137858
Эмэгтэй,2009,542835
Эрэгтэй,2009,595023
Нийт,2010,1147162
Эмэгтэй,2010,540311
Эрэгтэй,2010,606851
Нийт,2011,1124699
Эмэгтэй,2011,529158
Эрэгтэй,2011,595541
Нийт,2012,1151181
Эмэгтэй,2012,550550
Эрэгтэй,2012,600631
Нийт,2013,1198308
Эмэгтэй,2013,571712
Эрэгтэй,2013,626596
Нийт,2014,1206555
Эмэгтэй,2014,567840
Эрэгтэй,2014,638715
Нийт,2015,1243887
Эмэгтэй,2015,585518
Эрэгтэй,2015,658369
Нийт,2016,1275658
Эмэгтэй,2016,592395
Эрэгтэй,2016,683263
Нийт,2017,1357444
Эмэгтэй,2017,635499
Эрэгтэй,2017,721945
Нийт,2018,1358654
Эмэгтэй,2018,628055
Эрэгтэй,2018,730599
Нийт,2019,1362472
Эмэгтэй,2019,628420
Эрэгтэй,2019,734052
Нийт,2020,1340014
Эмэгтэй,2020,619180
Эрэгтэй,2020,720834
Нийт,2021,1317425
Эмэгтэй,2021,597259
Эрэгтэй,2021,720166
Нийт,2022,1370594
Эмэгтэй,2022,625855
Эрэгтэй,2022,744739
Нийт,2023,1367319
Эмэгтэй,2023,622323
Эрэгтэй,2023,744996
Нийт,2024,1441090
Эмэгтэй,2024,655682
Эрэгтэй,2024,785408
