region,month,births
Arkhangai,2016-01,154
Bayan-Ulgii,2016-01,223
Bayankhongor,2016-01,159
Bulgan,2016-01,74
Darkhan-Uul,2016-01,212
Dornod,2016-01,159
Dornogovi,2016-01,121
Dundgovi,2016-01,83
Govi-Altai,2016-01,95
Govisumber,2016-01,30
Khentii,2016-01,129
Khovd,2016-01,200
Khuvsgul,2016-01,233
Orkhon,2016-01,199
Selenge,2016-01,153
Sukhbaatar,2016-01,120
Tuv,2016-01,114
Ulaanbaatar,2016-01,3221
Umnugovi,2016-01,117
Uvs,2016-01,175
Uvurkhangai,2016-01,227
Zavkhan,2016-01,106
Arkhangai,2016-02,152
Bayan-Ulgii,2016-02,227
Bayankhongor,2016-02,144
Bulgan,2016-02,71
Darkhan-Uul,2016-02,206
Dornod,2016-02,166
Dornogovi,2016-02,128
Dundgovi,2016-02,84
Govi-Altai,2016-02,99
Govisumber,2016-02,28
Khentii,2016-02,136
Khovd,2016-02,192
Khuvsgul,2016-02,239
Orkhon,2016-02,182
Selenge,2016-02,147
Sukhbaatar,2016-02,90
Tuv,2016-02,84
Ulaanbaatar,2016-02,3158
Umnugovi,2016-02,107
Uvs,2016-02,184
Uvurkhangai,2016-02,197
Zavkhan,2016-02,134
Arkhangai,2016-03,161
Bayan-Ulgii,2016-03,238
Bayankhongor,2016-03,172
Bulgan,2016-03,77
Darkhan-Uul,2016-03,212
Dornod,2016-03,188
Dornogovi,2016-03,124
Dundgovi,2016-03,87
Govi-Altai,2016-03,106
Govisumber,2016-03,45
Khentii,2016-03,128
Khovd,2016-03,193
Khuvsgul,2016-03,280
Orkhon,2016-03,234
Selenge,2016-03,171
Sukhbaatar,2016-03,134
Tuv,2016-03,96
Ulaanbaatar,2016-03,3401
Umnugovi,2016-03,137
Uvs,2016-03,140
Uvurkhangai,2016-03,225
Zavkhan,2016-03,133
Arkhangai,2016-04,151
Bayan-Ulgii,2016-04,248
Bayankhongor,2016-04,175
Bulgan,2016-04,68
Darkhan-Uul,2016-04,180
Dornod,2016-04,156
Dornogovi,2016-04,119
Dundgovi,2016-04,82
Govi-Altai,2016-04,83
Govisumber,2016-04,31
Khentii,2016-04,139
Khovd,2016-04,179
Khuvsgul,2016-04,263
Orkhon,2016-04,181
Selenge,2016-04,141
Sukhbaatar,2016-04,102
Tuv,2016-04,108
Ulaanbaatar,2016-04,3229
Umnugovi,2016-04,103
Uvs,2016-04,178
Uvurkhangai,2016-04,223
Zavkhan,2016-04,120
Arkhangai,2016-05,171
Bayan-Ulgii,2016-05,260
Bayankhongor,2016-05,158
Bulgan,2016-05,75
Darkhan-Uul,2016-05,194
Dornod,2016-05,182
Dornogovi,2016-05,120
Dundgovi,2016-05,92
Govi-Altai,2016-05,113
Govisumber,2016-05,51
Khentii,2016-05,141
Khovd,2016-05,197
Khuvsgul,2016-05,238
Orkhon,2016-05,239
Selenge,2016-05,160
Sukhbaatar,2016-05,84
Tuv,2016-05,117
Ulaanbaatar,2016-05,3546
Umnugovi,2016-05,110
Uvs,2016-05,196
Uvurkhangai,2016-05,241
Zavkhan,2016-05,131
Arkhangai,2016-06,175
Bayan-Ulgii,2016-06,229
Bayankhongor,2016-06,180
Bulgan,2016-06,80
Darkhan-Uul,2016-06,205
Dornod,2016-06,192
Dornogovi,2016-06,126
Dundgovi,2016-06,85
Govi-Altai,2016-06,116
Govisumber,2016-06,44
Khentii,2016-06,161
Khovd,2016-06,185
Khuvsgul,2016-06,240
Orkhon,2016-06,225
Selenge,2016-06,147
Sukhbaatar,2016-06,109
Tuv,2016-06,92
Ulaanbaatar,2016-06,3450
Umnugovi,2016-06,130
Uvs,2016-06,147
Uvurkhangai,2016-06,213
Zavkhan,2016-06,120
Arkhangai,2016-07,187
Bayan-Ulgii,2016-07,204
Bayankhongor,2016-07,155
Bulgan,2016-07,92
Darkhan-Uul,2016-07,242
Dornod,2016-07,170
Dornogovi,2016-07,118
Dundgovi,2016-07,74
Govi-Altai,2016-07,104
Govisumber,2016-07,52
Khentii,2016-07,156
Khovd,2016-07,161
Khuvsgul,2016-07,240
Orkhon,2016-07,222
Selenge,2016-07,157
Sukhbaatar,2016-07,120
Tuv,2016-07,130
Ulaanbaatar,2016-07,3696
Umnugovi,2016-07,131
Uvs,2016-07,171
Uvurkhangai,2016-07,243
Zavkhan,2016-07,124
Arkhangai,2016-08,161
Bayan-Ulgii,2016-08,261
Bayankhongor,2016-08,200
Bulgan,2016-08,61
Darkhan-Uul,2016-08,219
Dornod,2016-08,201
Dornogovi,2016-08,117
Dundgovi,2016-08,71
Govi-Altai,2016-08,120
Govisumber,2016-08,37
Khentii,2016-08,137
Khovd,2016-08,213
Khuvsgul,2016-08,281
Orkhon,2016-08,243
Selenge,2016-08,179
Sukhbaatar,2016-08,114
Tuv,2016-08,105
Ulaanbaatar,2016-08,3556
Umnugovi,2016-08,108
Uvs,2016-08,187
Uvurkhangai,2016-08,234
Zavkhan,2016-08,139
Arkhangai,2016-09,171
Bayan-Ulgii,2016-09,227
Bayankhongor,2016-09,164
Bulgan,2016-09,72
Darkhan-Uul,2016-09,219
Dornod,2016-09,172
Dornogovi,2016-09,110
Dundgovi,2016-09,80
