region,month,births
Central region,2016-01,830
Eastern region,2016-01,408
Khangai region,2016-01,1046
Ulaanbaatar,2016-01,3221
Western region,2016-01,799
Central region,2016-02,784
Eastern region,2016-02,392
Khangai region,2016-02,985
Ulaanbaatar,2016-02,3158
Western region,2016-02,836
Central region,2016-03,872
Eastern region,2016-03,450
Khangai region,2016-03,1149
Ulaanbaatar,2016-03,3401
Western region,2016-03,810
Central region,2016-04,764
Eastern region,2016-04,397
Khangai region,2016-04,1061
Ulaanbaatar,2016-04,3229
Western region,2016-04,808
Central region,2016-05,844
Eastern region,2016-05,407
Khangai region,2016-05,1122
Ulaanbaatar,2016-05,3546
Western region,2016-05,897
Central region,2016-06,829
Eastern region,2016-06,462
Khangai region,2016-06,1113
Ulaanbaatar,2016-06,3450
Western region,2016-06,797
Central region,2016-07,904
Eastern region,2016-07,446
Khangai region,2016-07,1139
Ulaanbaatar,2016-07,3696
Western region,2016-07,764
Central region,2016-08,836
Eastern region,2016-08,452
Khangai region,2016-08,1180
Ulaanbaatar,2016-08,3556
Western region,2016-08,920
Central region,2016-09,825
Eastern region,2016-09,406
Khangai region,2016-09,1117
Ulaanbaatar,2016-09,3421
Western region,2016-09,791
Central region,2016-10,777
Eastern region,2016-10,380
Khangai region,2016-10,1081
Ulaanbaatar,2016-10,3566
Western region,2016-10,771
Central region,2016-11,849
Eastern region,2016-11,382
Khangai region,2016-11,1099
Ulaanbaatar,2016-11,3222
Western region,2016-11,753
Central region,2016-12,674
Eastern region,2016-12,394
Khangai region,2016-12,963
Ulaanbaatar,2016-12,3221
Western region,2016-12,742
Central region,2017-01,685
Eastern region,2017-01,364
Khangai region,2017-01,940
Ulaanbaatar,2017-01,2823
Western region,2017-01,690
Central region,2017-02,566
Eastern region,2017-02,295
Khangai region,2017-02,816
Ulaanbaatar,2017-02,2428
Western region,2017-02,666
Central region,2017-03,833
Eastern region,2017-03,393
Khangai region,2017-03,1050
Ulaanbaatar,2017-03,3247
Western region,2017-03,846
Central region,2017-04,719
Eastern region,2017-04,394
Khangai region,2017-04,1059
Ulaanbaatar,2017-04,3183
Western region,2017-04,793
Central region,2017-05,770
Eastern region,2017-05,388
Khangai region,2017-05,1035
Ulaanbaatar,2017-05,3288
Western region,2017-05,872
Central region,2017-06,729
Eastern region,2017-06,380
Khangai region,2017-06,1032
Ulaanbaatar,2017-06,3340
Western region,2017-06,912
Central region,2017-07,774
Eastern region,2017-07,430
Khangai region,2017-07,1216
Ulaanbaatar,2017-07,3401
Western region,2017-07,888
Central region,2017-08,810
Eastern region,2017-08,377
Khangai region,2017-08,1066
Ulaanbaatar,2017-08,3276
Western region,2017-08,790
Central region,2017-09,790
Eastern region,2017-09,374
Khangai region,2017-09,1074
Ulaanbaatar,2017-09,3187
Western region,2017-09,751
Central region,2017-10,773
Eastern region,2017-10,418
Khangai region,2017-10,1018
Ulaanbaatar,2017-10,3393
Western region,2017-10,845
Central region,2017-11,846
Eastern region,2017-11,440
Khangai region,2017-11,1156
Ulaanbaatar,2017-11,3346
Western region,2017-11,820
Central region,2017-12,807
Eastern region,2017-12,402
Khangai region,2017-12,1058
Ulaanbaatar,2017-12,3492
Western region,2017-12,774
Central region,2018-01,841
Eastern region,2018-01,391
Khangai region,2018-01,1065
Ulaanbaatar,2018-01,3161
Western region,2018-01,813
Central region,2018-02,752
Eastern region,2018-02,332
Khangai region,2018-02,979
Ulaanbaatar,2018-02,2966
Western region,2018-02,717
Central region,2018-03,804
Eastern region,2018-03,415
Khangai region,2018-03,1090
Ulaanbaatar,2018-03,3492
Western region,2018-03,853
Central region,2018-04,793
Eastern region,2018-04,420
Khangai region,2018-04,1033
Ulaanbaatar,2018-04,3531
Western region,2018-04,862
Central region,2018-05,802
Eastern region,2018-05,413
Khangai region,2018-05,991
Ulaanbaatar,2018-05,3454
Western region,2018-05,816
Central region,2018-06,799
Eastern region,2018-06,393
Khangai region,2018-06,1045
Ulaanbaatar,2018-06,3438
Western region,2018-06,850
Central region,2018-07,818
Eastern region,2018-07,407
Khangai region,2018-07,1130
Ulaanbaatar,2018-07,3371
Western region,2018-07,912
Central region,2018-08,792
Eastern region,2018-08,387
Khangai region,2018-08,1136
Ulaanbaatar,2018-08,3564
Western region,2018-08,850
Central region,2018-09,835
Eastern region,2018-09,371
Khangai region,2018-09,991
Ulaanbaatar,2018-09,3336
Western region,2018-09,751
Central region,2018-10,761
Eastern region,2018-10,389
Khangai region,2018-10,1078
Ulaanbaatar,2018-10,3511
Western region,2018-10,815
Central region,2018-11,768
Eastern region,2018-11,385
Khangai region,2018-11,1044
Ulaanbaatar,2018-11,3407
Western region,2018-11,840
Central region,2018-12,801
Eastern region,2018-12,421
Khangai region,2018-12,1050
Ulaanbaatar,2018-12,3472
Western region,2018-12,824
Central region,2019-01,773
Eastern region,2019-01,363
Khangai region,2019-01,981
