бүс_нутаг,сар,амьд_төрөлт
Төвийн бүс,2016-01,830
Зүүн бүс,2016-01,408
Хангайн бүс,2016-01,1046
Улаанбаатар,2016-01,3221
Баруун бүс,2016-01,799
Төвийн бүс,2016-02,784
Зүүн бүс,2016-02,392
Хангайн бүс,2016-02,985
Улаанбаатар,2016-02,3158
Баруун бүс,2016-02,836
Төвийн бүс,2016-03,872
Зүүн бүс,2016-03,450
Хангайн бүс,2016-03,1149
Улаанбаатар,2016-03,3401
Баруун бүс,2016-03,810
Төвийн бүс,2016-04,764
Зүүн бүс,2016-04,397
Хангайн бүс,2016-04,1061
Улаанбаатар,2016-04,3229
Баруун бүс,2016-04,808
Төвийн бүс,2016-05,844
Зүүн бүс,2016-05,407
Хангайн бүс,2016-05,1122
Улаанбаатар,2016-05,3546
Баруун бүс,2016-05,897
Төвийн бүс,2016-06,829
Зүүн бүс,2016-06,462
Хангайн бүс,2016-06,1113
Улаанбаатар,2016-06,3450
Баруун бүс,2016-06,797
Төвийн бүс,2016-07,904
Зүүн бүс,2016-07,446
Хангайн бүс,2016-07,1139
Улаанбаатар,2016-07,3696
Баруун бүс,2016-07,764
Төвийн бүс,2016-08,836
Зүүн бүс,2016-08,452
Хангайн бүс,2016-08,1180
Улаанбаатар,2016-08,3556
Баруун бүс,2016-08,920
Төвийн бүс,2016-09,825
Зүүн бүс,2016-09,406
Хангайн бүс,2016-09,1117
Улаанбаатар,2016-09,3421
Баруун бүс,2016-09,791
Төвийн бүс,2016-10,777
Зүүн бүс,2016-10,380
Хангайн бүс,2016-10,1081
Улаанбаатар,2016-10,3566
Баруун бүс,2016-10,771
Төвийн бүс,2016-11,849
Зүүн бүс,2016-11,382
Хангайн бүс,2016-11,1099
Улаанбаатар,2016-11,3222
Баруун бүс,2016-11,753
Төвийн бүс,2016-12,674
Зүүн бүс,2016-12,394
Хангайн бүс,2016-12,963
Улаанбаатар,2016-12,3221
Баруун бүс,2016-12,742
Төвийн бүс,2017-01,685
Зүүн бүс,2017-01,364
Хангайн бүс,2017-01,940
Улаанбаатар,2017-01,2823
Баруун бүс,2017-01,690
Төвийн бүс,2017-02,566
Зүүн бүс,2017-02,295
Хангайн бүс,2017-02,816
Улаанбаатар,2017-02,2428
