он,гэмт_хэргийн_төрөл,яллагдагч
2010,Өмчлөх эрхийн эсрэг гэмт хэрэг,7586
2010,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,6020
2010,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2265
2010,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1566
2010,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",475
2010,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,301
2010,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,284
2010,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,234
2010,Эдийн засгийн гэмт хэрэг гэмт хэрэг,202
2010,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,139
2010,Авлигын гэмт хэрэг,132
2010,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,67
2010,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",59
2010,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,32
2010,Цэргийн албаны эсрэг гэмт хэрэг,13
2010,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,3
2010,Эрүүл мэндийн эсрэг гэмт хэрэг,0
2010,Хүүхдийн эсрэг гэмт хэрэг,0
2010,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2011,Өмчлөх эрхийн эсрэг гэмт хэрэг,6115
2011,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,5970
2011,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2243
2011,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1738
2011,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",484
2011,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,360
2011,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,340
2011,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,248
2011,Эдийн засгийн гэмт хэрэг гэмт хэрэг,129
2011,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,98
2011,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,93
2011,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",67
2011,Авлигын гэмт хэрэг,67
