year,region,physicians
1989,Ulaanbaatar,2820
1989,Orkhon,135
1989,Darkhan-Uul,225
1989,Khuvsgul,151
1989,Uvurkhangai,152
1989,Selenge,133
1990,Ulaanbaatar,3125
1990,Orkhon,147
1990,Darkhan-Uul,229
1990,Khuvsgul,163
1990,Uvurkhangai,163
1990,Selenge,135
1991,Ulaanbaatar,3139
1991,Orkhon,151
1991,Darkhan-Uul,224
1991,Khuvsgul,164
1991,Uvurkhangai,168
1991,Selenge,118
1992,Ulaanbaatar,2726
1992,Orkhon,151
1992,Darkhan-Uul,245
1992,Khuvsgul,173
1992,Uvurkhangai,178
1992,Selenge,107
1993,Ulaanbaatar,2649
1993,Orkhon,151
1993,Darkhan-Uul,221
1993,Khuvsgul,160
1993,Uvurkhangai,169
1993,Selenge,115
1994,Ulaanbaatar,3085
1994,Orkhon,159
1994,Darkhan-Uul,240
1994,Khuvsgul,200
1994,Uvurkhangai,165
1994,Selenge,108
1995,Ulaanbaatar,2850
1995,Orkhon,178
1995,Darkhan-Uul,244
1995,Khuvsgul,177
1995,Uvurkhangai,170
1995,Selenge,132
1996,Ulaanbaatar,3215
1996,Orkhon,206
1996,Darkhan-Uul,242
1996,Khuvsgul,177
1996,Uvurkhangai,173
1996,Selenge,146
1997,Ulaanbaatar,3174
1997,Orkhon,220
1997,Darkhan-Uul,236
1997,Khuvsgul,158
1997,Uvurkhangai,182
1997,Selenge,153
1998,Ulaanbaatar,3100
1998,Orkhon,222
1998,Darkhan-Uul,238
1998,Khuvsgul,164
1998,Uvurkhangai,161
1998,Selenge,158
1999,Ulaanbaatar,3375
1999,Orkhon,225
1999,Darkhan-Uul,248
1999,Khuvsgul,166
1999,Uvurkhangai,164
1999,Selenge,164
2000,Ulaanbaatar,3680
2000,Orkhon,232
2000,Darkhan-Uul,249
2000,Khuvsgul,163
2000,Uvurkhangai,161
2000,Selenge,165
2001,Ulaanbaatar,3760
2001,Orkhon,243
2001,Darkhan-Uul,255
2001,Khuvsgul,171
2001,Uvurkhangai,162
2001,Selenge,173
2002,Ulaanbaatar,3971
2002,Orkhon,245
2002,Darkhan-Uul,250
2002,Khuvsgul,171
2002,Uvurkhangai,167
2002,Selenge,176
2003,Ulaanbaatar,3832
2003,Orkhon,241
2003,Darkhan-Uul,225
2003,Khuvsgul,167
2003,Uvurkhangai,166
2003,Selenge,186
2004,Ulaanbaatar,3904
2004,Orkhon,227
2004,Darkhan-Uul,227
2004,Khuvsgul,164
2004,Uvurkhangai,161
2004,Selenge,179
2005,Ulaanbaatar,4073
2005,Orkhon,232
2005,Darkhan-Uul,228
2005,Khuvsgul,167
2005,Uvurkhangai,171
2005,Selenge,187
2006,Ulaanbaatar,4322
2006,Orkhon,237
2006,Darkhan-Uul,221
2006,Khuvsgul,161
2006,Uvurkhangai,173
2006,Selenge,178
2007,Ulaanbaatar,4472
2007,Orkhon,251
2007,Darkhan-Uul,222
2007,Khuvsgul,172
