он,аймаг,эмч
1989,Улаанбаатар,2820
1989,Орхон,135
1989,Дархан-Уул,225
1989,Хөвсгөл,151
1989,Өвөрхангай,152
1989,Сэлэнгэ,133
1990,Улаанбаатар,3125
1990,Орхон,147
1990,Дархан-Уул,229
1990,Хөвсгөл,163
1990,Өвөрхангай,163
1990,Сэлэнгэ,135
1991,Улаанбаатар,3139
1991,Орхон,151
1991,Дархан-Уул,224
1991,Хөвсгөл,164
1991,Өвөрхангай,168
1991,Сэлэнгэ,118
1992,Улаанбаатар,2726
1992,Орхон,151
1992,Дархан-Уул,245
1992,Хөвсгөл,173
1992,Өвөрхангай,178
1992,Сэлэнгэ,107
1993,Улаанбаатар,2649
1993,Орхон,151
1993,Дархан-Уул,221
1993,Хөвсгөл,160
1993,Өвөрхангай,169
1993,Сэлэнгэ,115
1994,Улаанбаатар,3085
1994,Орхон,159
1994,Дархан-Уул,240
1994,Хөвсгөл,200
1994,Өвөрхангай,165
1994,Сэлэнгэ,108
1995,Улаанбаатар,2850
1995,Орхон,178
1995,Дархан-Уул,244
1995,Хөвсгөл,177
1995,Өвөрхангай,170
1995,Сэлэнгэ,132
1996,Улаанбаатар,3215
1996,Орхон,206
1996,Дархан-Уул,242
1996,Хөвсгөл,177
1996,Өвөрхангай,173
1996,Сэлэнгэ,146
1997,Улаанбаатар,3174
1997,Орхон,220
1997,Дархан-Уул,236
1997,Хөвсгөл,158
1997,Өвөрхангай,182
1997,Сэлэнгэ,153
1998,Улаанбаатар,3100
1998,Орхон,222
1998,Дархан-Уул,238
1998,Хөвсгөл,164
1998,Өвөрхангай,161
1998,Сэлэнгэ,158
1999,Улаанбаатар,3375
1999,Орхон,225
1999,Дархан-Уул,248
1999,Хөвсгөл,166
1999,Өвөрхангай,164
1999,Сэлэнгэ,164
2000,Улаанбаатар,3680
2000,Орхон,232
2000,Дархан-Уул,249
2000,Хөвсгөл,163
2000,Өвөрхангай,161
2000,Сэлэнгэ,165
2001,Улаанбаатар,3760
2001,Орхон,243
2001,Дархан-Уул,255
2001,Хөвсгөл,171
2001,Өвөрхангай,162
2001,Сэлэнгэ,173
2002,Улаанбаатар,3971
2002,Орхон,245
2002,Дархан-Уул,250
2002,Хөвсгөл,171
2002,Өвөрхангай,167
2002,Сэлэнгэ,176
2003,Улаанбаатар,3832
2003,Орхон,241
2003,Дархан-Уул,225
2003,Хөвсгөл,167
2003,Өвөрхангай,166
2003,Сэлэнгэ,186
2004,Улаанбаатар,3904
2004,Орхон,227
2004,Дархан-Уул,227
2004,Хөвсгөл,164
2004,Өвөрхангай,161
2004,Сэлэнгэ,179
2005,Улаанбаатар,4073
2005,Орхон,232
2005,Дархан-Уул,228
2005,Хөвсгөл,167
2005,Өвөрхангай,171
2005,Сэлэнгэ,187
2006,Улаанбаатар,4322
2006,Орхон,237
2006,Дархан-Уул,221
2006,Хөвсгөл,161
2006,Өвөрхангай,173
2006,Сэлэнгэ,178
2007,Улаанбаатар,4472
2007,Орхон,251
2007,Дархан-Уул,222
2007,Хөвсгөл,172
2007,Өвөрхангай,182
2007,Сэлэнгэ,174
2008,Улаанбаатар,4562
2008,Орхон,252
2008,Дархан-Уул,237
2008,Хөвсгөл,173
2008,Өвөрхангай,186
2008,Сэлэнгэ,187
2009,Улаанбаатар,4328
2009,Орхон,224
2009,Дархан-Уул,231
2009,Хөвсгөл,160
2009,Өвөрхангай,173
2009,Сэлэнгэ,165
2010,Улаанбаатар,4565
2010,Орхон,246
2010,Дархан-Уул,231
2010,Хөвсгөл,175
2010,Өвөрхангай,176
2010,Сэлэнгэ,161
2011,Улаанбаатар,4907
2011,Орхон,252
2011,Дархан-Уул,242
2011,Хөвсгөл,172
2011,Өвөрхангай,180
2011,Сэлэнгэ,166
2012,Улаанбаатар,5359
2012,Орхон,257
2012,Дархан-Уул,248
2012,Хөвсгөл,198
2012,Өвөрхангай,194
2012,Сэлэнгэ,160
2013,Улаанбаатар,5495
2013,Орхон,268
2013,Дархан-Уул,250
2013,Хөвсгөл,204
2013,Өвөрхангай,213
2013,Сэлэнгэ,182
2014,Улаанбаатар,5793
2014,Орхон,259
2014,Дархан-Уул,252
2014,Хөвсгөл,217
2014,Өвөрхангай,218
2014,Сэлэнгэ,189
2015,Улаанбаатар,5834
2015,Орхон,267
2015,Дархан-Уул,263
2015,Хөвсгөл,231
2015,Өвөрхангай,248
2015,Сэлэнгэ,209
2016,Улаанбаатар,5986
2016,Орхон,325
2016,Дархан-Уул,284
2016,Хөвсгөл,239
2016,Өвөрхангай,255
2016,Сэлэнгэ,235
2017,Улаанбаатар,6429
2017,Орхон,325
2017,Дархан-Уул,274
2017,Хөвсгөл,249
2017,Өвөрхангай,258
2017,Сэлэнгэ,246
2018,Улаанбаатар,6895
2018,Орхон,344
2018,Дархан-Уул,271
2018,Хөвсгөл,260
2018,Өвөрхангай,265
2018,Сэлэнгэ,251
2019,Улаанбаатар,7263
2019,Орхон,373
2019,Дархан-Уул,282
2019,Хөвсгөл,274
2019,Өвөрхангай,285
2019,Сэлэнгэ,247
2020,Улаанбаатар,7762
2020,Орхон,354
2020,Дархан-Уул,306
2020,Хөвсгөл,262
2020,Өвөрхангай,296
2020,Сэлэнгэ,231
2021,Улаанбаатар,8239
2021,Орхон,390
2021,Дархан-Уул,308
2021,Хөвсгөл,289
2021,Өвөрхангай,293
2021,Сэлэнгэ,232
2022,Улаанбаатар,9112
2022,Орхон,440
2022,Дархан-Уул,326
2022,Хөвсгөл,295
2022,Өвөрхангай,305
2022,Сэлэнгэ,253
2023,Улаанбаатар,9856
2023,Орхон,452
2023,Дархан-Уул,352
2023,Хөвсгөл,286
2023,Өвөрхангай,335
2023,Сэлэнгэ,265
2024,Улаанбаатар,10624
2024,Орхон,474
2024,Дархан-Уул,374
2024,Хөвсгөл,313
2024,Өвөрхангай,361
2024,Сэлэнгэ,269
2025,Улаанбаатар,10639
2025,Орхон,479
2025,Дархан-Уул,386
2025,Хөвсгөл,333
2025,Өвөрхангай,341
2025,Сэлэнгэ,280
