year,crime_type,count
2018,Crimes against ownership right,22468
2018,Crimes against human health immunity,9134
2018,Crimes against traffic safety and regulation of vehicle use,1231
2018,Crimes against human right to live,714
2018,Crimes against human sexual freedom and immunity,621
2018,Crimes against environment,366
2018,Crimes against public safety and interests,314
2018,Economic crimes,242
2018,Crimes against public service interest,237
2018,Crimes against investigation of the case,196
2018,Crimes against human immunity and freedom,115
2018,Crimes against national security,99
2018,Crimes against cyber security,42
2018,Crimes against health,33
2018,Crimes against children,21
2018,Crimes against military service,15
2018,"Crimes against human privacy, political right and liberty",6
2018,Crimes against cultural heritage,3
2019,Crimes against ownership right,18341
2019,Crimes against human health immunity,8265
2019,Crimes against traffic safety and regulation of vehicle use,1276
2019,Crimes against human right to live,636
2019,Crimes against human sexual freedom and immunity,610
2019,Crimes against environment,489
2019,Crimes against public service interest,341
2019,Crimes against public safety and interests,333
2019,Economic crimes,247
2019,Crimes against investigation of the case,172
2019,Crimes against human immunity and freedom,115
2019,Crimes against cyber security,57
2019,Crimes against health,39
2019,Crimes against children,31
2019,Crimes against national security,29
2019,Crimes against military service,12
2019,Crimes against cultural heritage,5
2019,"Crimes against human privacy, political right and liberty",3
2020,Crimes against ownership right,12063
2020,Crimes against human health immunity,7400
2020,Crimes against traffic safety and regulation of vehicle use,986
2020,Crimes against environment,621
2020,Crimes against human sexual freedom and immunity,505
2020,Crimes against human right to live,382
2020,Crimes against public safety and interests,291
2020,Crimes against public service interest,211
2020,Crimes against human immunity and freedom,189
2020,Crimes against cyber security,146
2020,Economic crimes,123
2020,Crimes against investigation of the case,80
2020,Crimes against health,24
2020,Crimes against children,17
2020,Crimes against military service,6
2020,"Crimes against human privacy, political right and liberty",5
2020,Crimes against cultural heritage,5
2020,Crimes against national security,2
2021,Crimes against ownership right,13632
2021,Crimes against human health immunity,7637
2021,Crimes against traffic safety and regulation of vehicle use,915
2021,Crimes against public safety and interests,756
2021,Crimes against environment,601
2021,Crimes against human sexual freedom and immunity,540
2021,Crimes against human right to live,448
2021,Crimes against public service interest,232
2021,Crimes against human immunity and freedom,210
2021,Economic crimes,158
2021,Crimes against cyber security,151
2021,Crimes against investigation of the case,52
2021,Crimes against children,31
2021,Crimes against health,28
2021,Crimes against military service,11
2021,Crimes against cultural heritage,8
2021,Crimes against national security,2
2021,"Crimes against human privacy, political right and liberty",2
2022,Crimes against ownership right,21493
2022,Crimes against human health immunity,9325
2022,Crimes against traffic safety and regulation of vehicle use,1220
2022,Crimes against human sexual freedom and immunity,678
2022,Crimes against environment,559
2022,Crimes against human right to live,532
2022,Crimes against public safety and interests,359
2022,Crimes against public service interest,296
2022,Crimes against cyber security,259
2022,Crimes against human immunity and freedom,238
2022,Economic crimes,162
2022,Crimes against investigation of the case,94
2022,Crimes against children,54
2022,Crimes against health,35
2022,Crimes against military service,10
2022,Crimes against cultural heritage,9
2022,"Crimes against human privacy, political right and liberty",4
2022,Crimes against national security,0
2023,Crimes against ownership right,21686
2023,Crimes against human health immunity,8531
2023,Crimes against traffic safety and regulation of vehicle use,1280
2023,Crimes against human sexual freedom and immunity,728
2023,Crimes against public safety and interests,686
2023,Crimes against human right to live,573
2023,Crimes against environment,472
2023,Crimes against public service interest,400
2023,Crimes against cyber security,388
2023,Crimes against human immunity and freedom,357
2023,Economic crimes,200
2023,Crimes against investigation of the case,125
2023,Crimes against children,68
2023,Crimes against health,39
2023,Crimes against military service,13
2023,Crimes against cultural heritage,12
2023,Crimes against national security,2
2023,"Crimes against human privacy, political right and liberty",1
2024,Crimes against ownership right,27971
2024,Crimes against human health immunity,8935
2024,Crimes against traffic safety and regulation of vehicle use,3167
2024,Crimes against human right to live,852
2024,Crimes against human sexual freedom and immunity,847
2024,Crimes against human immunity and freedom,586
2024,Crimes against environment,489
2024,Crimes against cyber security,406
2024,Crimes against public safety and interests,378
2024,Economic crimes,336
2024,Crimes against public service interest,321
2024,Crimes against investigation of the case,166
2024,Crimes against children,66
2024,Crimes against health,48
2024,"Crimes against human privacy, political right and liberty",42
2024,Crimes against cultural heritage,24
2024,Crimes against military service,21
2024,Crimes against national security,1
