он,гэмт_хэргийн_төрөл,тоо
2018,Өмчлөх эрхийн эсрэг,22468
2018,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,9134
2018,ХАБТХАЖ-ын эсрэг гэмт хэрэг,1231
2018,Хүний амьд явах эрхийн эсрэг,714
2018,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",621
2018,Хүрээлэн байгаа орчны эсрэг,366
2018,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг",314
2018,Эдийн засгийн гэмт хэрэг,242
2018,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,237
2018,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,196
2018,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,115
2018,Үндэсний аюулгүй байдлын эсрэг,99
2018,Цахим мэдээллийн аюулгүй байдлын эсрэг,42
2018,Эрүүл мэндийн эсрэг,33
2018,Хүүхдийн эсрэг гэмт хэрэг,21
2018,Цэргийн албаны эсрэг гэмт хэрэг,15
2018,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",6
2018,Соёлын өвийн эсрэг,3
2019,Өмчлөх эрхийн эсрэг,18341
2019,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,8265
2019,ХАБТХАЖ-ын эсрэг гэмт хэрэг,1276
2019,Хүний амьд явах эрхийн эсрэг,636
2019,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",610
2019,Хүрээлэн байгаа орчны эсрэг,489
2019,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,341
2019,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг",333
2019,Эдийн засгийн гэмт хэрэг,247
2019,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,172
2019,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,115
2019,Цахим мэдээллийн аюулгүй байдлын эсрэг,57
2019,Эрүүл мэндийн эсрэг,39
2019,Хүүхдийн эсрэг гэмт хэрэг,31
2019,Үндэсний аюулгүй байдлын эсрэг,29
2019,Цэргийн албаны эсрэг гэмт хэрэг,12
2019,Соёлын өвийн эсрэг,5
2019,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",3
2020,Өмчлөх эрхийн эсрэг,12063
2020,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,7400
2020,ХАБТХАЖ-ын эсрэг гэмт хэрэг,986
2020,Хүрээлэн байгаа орчны эсрэг,621
2020,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",505
2020,Хүний амьд явах эрхийн эсрэг,382
2020,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг",291
2020,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,211
2020,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,189
2020,Цахим мэдээллийн аюулгүй байдлын эсрэг,146
2020,Эдийн засгийн гэмт хэрэг,123
2020,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,80
2020,Эрүүл мэндийн эсрэг,24
2020,Хүүхдийн эсрэг гэмт хэрэг,17
2020,Цэргийн албаны эсрэг гэмт хэрэг,6
2020,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",5
2020,Соёлын өвийн эсрэг,5
2020,Үндэсний аюулгүй байдлын эсрэг,2
2021,Өмчлөх эрхийн эсрэг,13632
2021,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,7637
2021,ХАБТХАЖ-ын эсрэг гэмт хэрэг,915
2021,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг",756
2021,Хүрээлэн байгаа орчны эсрэг,601
2021,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",540
2021,Хүний амьд явах эрхийн эсрэг,448
2021,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,232
2021,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,210
2021,Эдийн засгийн гэмт хэрэг,158
2021,Цахим мэдээллийн аюулгүй байдлын эсрэг,151
2021,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,52
2021,Хүүхдийн эсрэг гэмт хэрэг,31
2021,Эрүүл мэндийн эсрэг,28
2021,Цэргийн албаны эсрэг гэмт хэрэг,11
2021,Соёлын өвийн эсрэг,8
2021,Үндэсний аюулгүй байдлын эсрэг,2
2021,"Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2
2022,Өмчлөх эрхийн эсрэг,21493
2022,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг,9325
