year,indicator,gcal
1995,Gross generation,6832
1995,Power and thermal stations internal use,41
1995,Distributed to establishments and households,6772
1995,Industry and construction,2709
1995,Transport and communication,446
1995,"Agriculture, forestry and fishing, hunting",147
1995,Household and communal housing,2361
1995,Other,1110
1995,Losses in transmission and distribution,18
1996,Gross generation,6497
1996,Power and thermal stations internal use,316
1996,Distributed to establishments and households,6115
1996,Industry and construction,1784
1996,Transport and communication,249
1996,"Agriculture, forestry and fishing, hunting",103
1996,Household and communal housing,3332
1996,Other,648
1996,Losses in transmission and distribution,66
1997,Gross generation,6551
1997,Power and thermal stations internal use,528
1997,Distributed to establishments and households,5997
1997,Industry and construction,1778
1997,Transport and communication,250
1997,"Agriculture, forestry and fishing, hunting",46
1997,Household and communal housing,3126
1997,Other,796
1997,Losses in transmission and distribution,27
1998,Gross generation,6722
1998,Power and thermal stations internal use,733
1998,Distributed to establishments and households,5769
1998,Industry and construction,1730
1998,Transport and communication,202
1998,"Agriculture, forestry and fishing, hunting",327
1998,Household and communal housing,2743
1998,Other,769
1998,Losses in transmission and distribution,220
1999,Gross generation,6762
1999,Power and thermal stations internal use,75
1999,Distributed to establishments and households,6410
1999,Industry and construction,1995
1999,Transport and communication,435
1999,"Agriculture, forestry and fishing, hunting",49
1999,Household and communal housing,3235
1999,Other,696
1999,Losses in transmission and distribution,277
2000,Gross generation,6885
2000,Power and thermal stations internal use,138
2000,Distributed to establishments and households,6514
2000,Industry and construction,2620
2000,Transport and communication,411
2000,"Agriculture, forestry and fishing, hunting",33
2000,Household and communal housing,2655
2000,Other,795
2000,Losses in transmission and distribution,233
2001,Gross generation,6597
2001,Power and thermal stations internal use,60
2001,Distributed to establishments and households,6419
2001,Industry and construction,2344
2001,Transport and communication,486
2001,"Agriculture, forestry and fishing, hunting",37
2001,Household and communal housing,2991
2001,Other,563
2001,Losses in transmission and distribution,119
2002,Gross generation,6868
2002,Power and thermal stations internal use,145
2002,Distributed to establishments and households,6569
2002,Industry and construction,2429
2002,Transport and communication,420
2002,"Agriculture, forestry and fishing, hunting",36
2002,Household and communal housing,2843
2002,Other,842
2002,Losses in transmission and distribution,154
2003,Gross generation,7133
2003,Power and thermal stations internal use,336
2003,Distributed to establishments and households,6583
2003,Industry and construction,1831
2003,Transport and communication,421
2003,"Agriculture, forestry and fishing, hunting",74
2003,Household and communal housing,2753
2003,Other,1504
2003,Losses in transmission and distribution,214
2004,Gross generation,7747
2004,Power and thermal stations internal use,480
2004,Distributed to establishments and households,7087
2004,Industry and construction,2150
