он,үзүүлэлт,мян_гкал
1995,Үйлдвэрлэсэн,6832
1995,Дулааны цахилгаан станцын дотоод хэрэглээ,41
1995,ААНБ болон өрхөд түгээсэн-Бүгд,6772
1995,"Үйлдвэр, барилга",2709
1995,"Тээвэр, холбоо",446
1995,Хөдөө аж ахуй,147
1995,"Өрх, орон сууц, нийтийн аж ахуй",2361
1995,Бусад,1110
1995,Түгээлтийн алдагдал,18
1996,Үйлдвэрлэсэн,6497
1996,Дулааны цахилгаан станцын дотоод хэрэглээ,316
1996,ААНБ болон өрхөд түгээсэн-Бүгд,6115
1996,"Үйлдвэр, барилга",1784
1996,"Тээвэр, холбоо",249
1996,Хөдөө аж ахуй,103
1996,"Өрх, орон сууц, нийтийн аж ахуй",3332
1996,Бусад,648
1996,Түгээлтийн алдагдал,66
1997,Үйлдвэрлэсэн,6551
1997,Дулааны цахилгаан станцын дотоод хэрэглээ,528
1997,ААНБ болон өрхөд түгээсэн-Бүгд,5997
1997,"Үйлдвэр, барилга",1778
1997,"Тээвэр, холбоо",250
1997,Хөдөө аж ахуй,46
1997,"Өрх, орон сууц, нийтийн аж ахуй",3126
1997,Бусад,796
1997,Түгээлтийн алдагдал,27
1998,Үйлдвэрлэсэн,6722
1998,Дулааны цахилгаан станцын дотоод хэрэглээ,733
1998,ААНБ болон өрхөд түгээсэн-Бүгд,5769
1998,"Үйлдвэр, барилга",1730
1998,"Тээвэр, холбоо",202
1998,Хөдөө аж ахуй,327
1998,"Өрх, орон сууц, нийтийн аж ахуй",2743
1998,Бусад,769
1998,Түгээлтийн алдагдал,220
1999,Үйлдвэрлэсэн,6762
1999,Дулааны цахилгаан станцын дотоод хэрэглээ,75
1999,ААНБ болон өрхөд түгээсэн-Бүгд,6410
1999,"Үйлдвэр, барилга",1995
1999,"Тээвэр, холбоо",435
1999,Хөдөө аж ахуй,49
1999,"Өрх, орон сууц, нийтийн аж ахуй",3235
1999,Бусад,696
1999,Түгээлтийн алдагдал,277
2000,Үйлдвэрлэсэн,6885
2000,Дулааны цахилгаан станцын дотоод хэрэглээ,138
2000,ААНБ болон өрхөд түгээсэн-Бүгд,6514
2000,"Үйлдвэр, барилга",2620
2000,"Тээвэр, холбоо",411
2000,Хөдөө аж ахуй,33
2000,"Өрх, орон сууц, нийтийн аж ахуй",2655
2000,Бусад,795
2000,Түгээлтийн алдагдал,233
2001,Үйлдвэрлэсэн,6597
2001,Дулааны цахилгаан станцын дотоод хэрэглээ,60
2001,ААНБ болон өрхөд түгээсэн-Бүгд,6419
2001,"Үйлдвэр, барилга",2344
2001,"Тээвэр, холбоо",486
2001,Хөдөө аж ахуй,37
2001,"Өрх, орон сууц, нийтийн аж ахуй",2991
2001,Бусад,563
2001,Түгээлтийн алдагдал,119
2002,Үйлдвэрлэсэн,6868
2002,Дулааны цахилгаан станцын дотоод хэрэглээ,145
2002,ААНБ болон өрхөд түгээсэн-Бүгд,6569
2002,"Үйлдвэр, барилга",2429
2002,"Тээвэр, холбоо",420
2002,Хөдөө аж ахуй,36
2002,"Өрх, орон сууц, нийтийн аж ахуй",2843
2002,Бусад,842
2002,Түгээлтийн алдагдал,154
2003,Үйлдвэрлэсэн,7133
2003,Дулааны цахилгаан станцын дотоод хэрэглээ,336
2003,ААНБ болон өрхөд түгээсэн-Бүгд,6583
2003,"Үйлдвэр, барилга",1831
2003,"Тээвэр, холбоо",421
2003,Хөдөө аж ахуй,74
2003,"Өрх, орон сууц, нийтийн аж ахуй",2753
2003,Бусад,1504
2003,Түгээлтийн алдагдал,214
2004,Үйлдвэрлэсэн,7747
2004,Дулааны цахилгаан станцын дотоод хэрэглээ,480
2004,ААНБ болон өрхөд түгээсэн-Бүгд,7087
2004,"Үйлдвэр, барилга",2150
2004,"Тээвэр, холбоо",391
2004,Хөдөө аж ахуй,77
2004,"Өрх, орон сууц, нийтийн аж ахуй",3001
2004,Бусад,1468
2004,Түгээлтийн алдагдал,180
2005,Үйлдвэрлэсэн,7806
2005,Дулааны цахилгаан станцын дотоод хэрэглээ,447
2005,ААНБ болон өрхөд түгээсэн-Бүгд,7180
2005,"Үйлдвэр, барилга",2276
2005,"Тээвэр, холбоо",408
2005,Хөдөө аж ахуй,71
2005,"Өрх, орон сууц, нийтийн аж ахуй",3051
2005,Бусад,1375
2005,Түгээлтийн алдагдал,179
2006,Үйлдвэрлэсэн,7850
2006,Дулааны цахилгаан станцын дотоод хэрэглээ,435
2006,ААНБ болон өрхөд түгээсэн-Бүгд,7271
2006,"Үйлдвэр, барилга",2019
2006,"Тээвэр, холбоо",289
2006,Хөдөө аж ахуй,40
2006,"Өрх, орон сууц, нийтийн аж ахуй",3355
2006,Бусад,1568
2006,Түгээлтийн алдагдал,145
2007,Үйлдвэрлэсэн,7724
2007,Дулааны цахилгаан станцын дотоод хэрэглээ,415
2007,ААНБ болон өрхөд түгээсэн-Бүгд,7165
2007,"Үйлдвэр, барилга",2068
2007,"Тээвэр, холбоо",286
2007,Хөдөө аж ахуй,38
2007,"Өрх, орон сууц, нийтийн аж ахуй",3372
2007,Бусад,1401
2007,Түгээлтийн алдагдал,144
2008,Үйлдвэрлэсэн,7760
2008,Дулааны цахилгаан станцын дотоод хэрэглээ,397
2008,ААНБ болон өрхөд түгээсэн-Бүгд,7238
2008,"Үйлдвэр, барилга",2168
2008,"Тээвэр, холбоо",279
2008,Хөдөө аж ахуй,40
2008,"Өрх, орон сууц, нийтийн аж ахуй",3430
2008,Бусад,1322
2008,Түгээлтийн алдагдал,125
2009,Үйлдвэрлэсэн,8320
2009,Дулааны цахилгаан станцын дотоод хэрэглээ,335
2009,ААНБ болон өрхөд түгээсэн-Бүгд,7828
2009,"Үйлдвэр, барилга",2002
2009,"Тээвэр, холбоо",264
2009,Хөдөө аж ахуй,38
2009,"Өрх, орон сууц, нийтийн аж ахуй",3574
2009,Бусад,1950
2009,Түгээлтийн алдагдал,157
2010,Үйлдвэрлэсэн,8363
2010,Дулааны цахилгаан станцын дотоод хэрэглээ,338
2010,ААНБ болон өрхөд түгээсэн-Бүгд,7820
2010,"Үйлдвэр, барилга",2083
2010,"Тээвэр, холбоо",282
2010,Хөдөө аж ахуй,41
2010,"Өрх, орон сууц, нийтийн аж ахуй",3362
2010,Бусад,2053
2010,Түгээлтийн алдагдал,204
2011,Үйлдвэрлэсэн,8683
2011,Дулааны цахилгаан станцын дотоод хэрэглээ,366
2011,ААНБ болон өрхөд түгээсэн-Бүгд,8033
2011,"Үйлдвэр, барилга",2067
2011,"Тээвэр, холбоо",279
2011,Хөдөө аж ахуй,43
2011,"Өрх, орон сууц, нийтийн аж ахуй",3474
2011,Бусад,2170
2011,Түгээлтийн алдагдал,284
2012,Үйлдвэрлэсэн,9322
2012,Дулааны цахилгаан станцын дотоод хэрэглээ,379
2012,ААНБ болон өрхөд түгээсэн-Бүгд,8693
2012,"Үйлдвэр, барилга",2109
2012,"Тээвэр, холбоо",281
2012,Хөдөө аж ахуй,33
2012,"Өрх, орон сууц, нийтийн аж ахуй",3737
2012,Бусад,2533
2012,Түгээлтийн алдагдал,250
2013,Үйлдвэрлэсэн,9512
2013,Дулааны цахилгаан станцын дотоод хэрэглээ,522
2013,ААНБ болон өрхөд түгээсэн-Бүгд,8672
2013,"Үйлдвэр, барилга",2162
2013,"Тээвэр, холбоо",309
2013,Хөдөө аж ахуй,49
2013,"Өрх, орон сууц, нийтийн аж ахуй",3818
2013,Бусад,2333
2013,Түгээлтийн алдагдал,318
2014,Үйлдвэрлэсэн,10032
2014,Дулааны цахилгаан станцын дотоод хэрэглээ,537
2014,ААНБ болон өрхөд түгээсэн-Бүгд,9163
2014,"Үйлдвэр, барилга",2177
2014,"Тээвэр, холбоо",300
2014,Хөдөө аж ахуй,43
2014,"Өрх, орон сууц, нийтийн аж ахуй",3930
2014,Бусад,2713
2014,Түгээлтийн алдагдал,333
2015,Үйлдвэрлэсэн,10680
2015,Дулааны цахилгаан станцын дотоод хэрэглээ,647
2015,ААНБ болон өрхөд түгээсэн-Бүгд,9707
2015,"Үйлдвэр, барилга",2359
2015,"Тээвэр, холбоо",317
2015,Хөдөө аж ахуй,48
2015,"Өрх, орон сууц, нийтийн аж ахуй",4040
2015,Бусад,2945
2015,Түгээлтийн алдагдал,325
2016,Үйлдвэрлэсэн,10799
2016,Дулааны цахилгаан станцын дотоод хэрэглээ,565
2016,ААНБ болон өрхөд түгээсэн-Бүгд,9915
2016,"Үйлдвэр, барилга",2365
2016,"Тээвэр, холбоо",358
2016,Хөдөө аж ахуй,48
2016,"Өрх, орон сууц, нийтийн аж ахуй",4110
2016,Бусад,3034
2016,Түгээлтийн алдагдал,319
2017,Үйлдвэрлэсэн,11296
2017,Дулааны цахилгаан станцын дотоод хэрэглээ,552
2017,ААНБ болон өрхөд түгээсэн-Бүгд,10254
2017,"Үйлдвэр, барилга",2498
2017,"Тээвэр, холбоо",348
2017,Хөдөө аж ахуй,51
2017,"Өрх, орон сууц, нийтийн аж ахуй",3868
2017,Бусад,3488
2017,Түгээлтийн алдагдал,490
2018,Үйлдвэрлэсэн,12505
2018,Дулааны цахилгаан станцын дотоод хэрэглээ,1375
2018,ААНБ болон өрхөд түгээсэн-Бүгд,10640
2018,"Үйлдвэр, барилга",2912
2018,"Тээвэр, холбоо",350
2018,Хөдөө аж ахуй,55
2018,"Өрх, орон сууц, нийтийн аж ахуй",4104
2018,Бусад,3219
2018,Түгээлтийн алдагдал,490
2019,Үйлдвэрлэсэн,13277
2019,Дулааны цахилгаан станцын дотоод хэрэглээ,1603
2019,ААНБ болон өрхөд түгээсэн-Бүгд,11108
2019,"Үйлдвэр, барилга",2914
2019,"Тээвэр, холбоо",327
2019,Хөдөө аж ахуй,53
2019,"Өрх, орон сууц, нийтийн аж ахуй",4073
2019,Бусад,3741
2019,Түгээлтийн алдагдал,567
2020,Үйлдвэрлэсэн,14122
2020,Дулааны цахилгаан станцын дотоод хэрэглээ,1312
2020,ААНБ болон өрхөд түгээсэн-Бүгд,12191
2020,"Үйлдвэр, барилга",3178
2020,"Тээвэр, холбоо",384
2020,Хөдөө аж ахуй,57
2020,"Өрх, орон сууц, нийтийн аж ахуй",4517
2020,Бусад,4055
2020,Түгээлтийн алдагдал,619
2021,Үйлдвэрлэсэн,14973
2021,Дулааны цахилгаан станцын дотоод хэрэглээ,1405
2021,ААНБ болон өрхөд түгээсэн-Бүгд,13012
2021,"Үйлдвэр, барилга",3410
2021,"Тээвэр, холбоо",403
2021,Хөдөө аж ахуй,58
2021,"Өрх, орон сууц, нийтийн аж ахуй",4261
2021,Бусад,4879
2021,Түгээлтийн алдагдал,556
2022,Үйлдвэрлэсэн,15643
2022,Дулааны цахилгаан станцын дотоод хэрэглээ,1485
2022,ААНБ болон өрхөд түгээсэн-Бүгд,13479
2022,"Үйлдвэр, барилга",3355
2022,"Тээвэр, холбоо",428
2022,Хөдөө аж ахуй,71
