year,region,accidents
2000,Ulaanbaatar,5074
2000,Central region,324
2000,Khangai region,284
2000,Western region,188
2000,Eastern region,121
2001,Ulaanbaatar,4398
2001,Central region,466
2001,Khangai region,207
2001,Western region,169
2001,Eastern region,85
2002,Ulaanbaatar,4453
2002,Central region,466
2002,Khangai region,253
2002,Western region,211
2002,Eastern region,170
2003,Ulaanbaatar,3957
2003,Central region,586
2003,Khangai region,398
2003,Western region,235
2003,Eastern region,120
2004,Ulaanbaatar,3557
2004,Central region,608
2004,Khangai region,360
2004,Western region,163
2004,Eastern region,115
2005,Ulaanbaatar,3934
2005,Central region,480
2005,Khangai region,332
2005,Western region,168
2005,Eastern region,128
2006,Ulaanbaatar,4654
2006,Central region,643
2006,Khangai region,324
2006,Eastern region,147
2006,Western region,143
2007,Ulaanbaatar,5465
2007,Central region,780
2007,Khangai region,378
2007,Western region,224
2007,Eastern region,166
2008,Ulaanbaatar,7065
2008,Central region,1149
2008,Khangai region,444
2008,Western region,270
2008,Eastern region,201
2009,Ulaanbaatar,6201
2009,Central region,950
2009,Khangai region,430
2009,Western region,271
2009,Eastern region,254
2010,Ulaanbaatar,6879
2010,Central region,843
2010,Khangai region,568
2010,Western region,346
2010,Eastern region,173
2011,Ulaanbaatar,16845
2011,Central region,1348
2011,Khangai region,682
2011,Western region,381
2011,Eastern region,184
2012,Ulaanbaatar,13557
2012,Central region,1186
2012,Khangai region,814
2012,Western region,468
2012,Eastern region,270
2013,Ulaanbaatar,15110
2013,Central region,1575
2013,Khangai region,874
2013,Western region,548
2013,Eastern region,260
2014,Ulaanbaatar,27852
2014,Central region,1890
2014,Western region,698
2014,Khangai region,672
2014,Eastern region,473
2015,Ulaanbaatar,41387
2015,Central region,1755
2015,Khangai region,1040
2015,Western region,528
2015,Eastern region,451
2016,Ulaanbaatar,41375
2016,Central region,2322
2016,Khangai region,1941
2016,Western region,616
2016,Eastern region,458
2017,Ulaanbaatar,32662
2017,Central region,1643
2017,Khangai region,1422
2017,Eastern region,438
2017,Western region,426
2018,Ulaanbaatar,25666
2018,Central region,1982
2018,Khangai region,832
2018,Western region,559
2018,Eastern region,435
2019,Ulaanbaatar,21874
2019,Central region,1555
2019,Khangai region,773
2019,Eastern region,594
2019,Western region,506
2020,Ulaanbaatar,18513
2020,Central region,1354
2020,Khangai region,774
2020,Eastern region,644
2020,Western region,483
2021,Ulaanbaatar,19218
2021,Central region,1442
2021,Khangai region,682
2021,Eastern region,627
2021,Western region,513
2022,Ulaanbaatar,20322
2022,Central region,1776
2022,Khangai region,847
2022,Eastern region,637
2022,Western region,539
2023,Ulaanbaatar,21053
2023,Central region,2154
2023,Khangai region,856
2023,Eastern region,638
2023,Western region,534
2024,Ulaanbaatar,26056
2024,Central region,2260
2024,Khangai region,1272
2024,Western region,733
2024,Eastern region,656
