он,бүс,осол
2000,Улаанбаатар,5074
2000,Төвийн бүс,324
2000,Хангайн бүс,284
2000,Баруун бүс,188
2000,Зүүн бүс,121
2001,Улаанбаатар,4398
2001,Төвийн бүс,466
2001,Хангайн бүс,207
2001,Баруун бүс,169
2001,Зүүн бүс,85
2002,Улаанбаатар,4453
2002,Төвийн бүс,466
2002,Хангайн бүс,253
2002,Баруун бүс,211
2002,Зүүн бүс,170
2003,Улаанбаатар,3957
2003,Төвийн бүс,586
2003,Хангайн бүс,398
2003,Баруун бүс,235
2003,Зүүн бүс,120
2004,Улаанбаатар,3557
2004,Төвийн бүс,608
2004,Хангайн бүс,360
2004,Баруун бүс,163
2004,Зүүн бүс,115
2005,Улаанбаатар,3934
2005,Төвийн бүс,480
2005,Хангайн бүс,332
2005,Баруун бүс,168
2005,Зүүн бүс,128
2006,Улаанбаатар,4654
2006,Төвийн бүс,643
2006,Хангайн бүс,324
2006,Зүүн бүс,147
2006,Баруун бүс,143
2007,Улаанбаатар,5465
2007,Төвийн бүс,780
2007,Хангайн бүс,378
2007,Баруун бүс,224
2007,Зүүн бүс,166
2008,Улаанбаатар,7065
2008,Төвийн бүс,1149
2008,Хангайн бүс,444
2008,Баруун бүс,270
2008,Зүүн бүс,201
2009,Улаанбаатар,6201
2009,Төвийн бүс,950
2009,Хангайн бүс,430
2009,Баруун бүс,271
2009,Зүүн бүс,254
2010,Улаанбаатар,6879
2010,Төвийн бүс,843
2010,Хангайн бүс,568
2010,Баруун бүс,346
2010,Зүүн бүс,173
2011,Улаанбаатар,16845
2011,Төвийн бүс,1348
2011,Хангайн бүс,682
2011,Баруун бүс,381
2011,Зүүн бүс,184
2012,Улаанбаатар,13557
2012,Төвийн бүс,1186
2012,Хангайн бүс,814
2012,Баруун бүс,468
2012,Зүүн бүс,270
2013,Улаанбаатар,15110
2013,Төвийн бүс,1575
2013,Хангайн бүс,874
2013,Баруун бүс,548
2013,Зүүн бүс,260
2014,Улаанбаатар,27852
2014,Төвийн бүс,1890
2014,Баруун бүс,698
2014,Хангайн бүс,672
2014,Зүүн бүс,473
2015,Улаанбаатар,41387
2015,Төвийн бүс,1755
2015,Хангайн бүс,1040
2015,Баруун бүс,528
2015,Зүүн бүс,451
2016,Улаанбаатар,41375
2016,Төвийн бүс,2322
2016,Хангайн бүс,1941
2016,Баруун бүс,616
2016,Зүүн бүс,458
2017,Улаанбаатар,32662
2017,Төвийн бүс,1643
2017,Хангайн бүс,1422
2017,Зүүн бүс,438
2017,Баруун бүс,426
2018,Улаанбаатар,25666
2018,Төвийн бүс,1982
2018,Хангайн бүс,832
2018,Баруун бүс,559
2018,Зүүн бүс,435
2019,Улаанбаатар,21874
2019,Төвийн бүс,1555
2019,Хангайн бүс,773
2019,Зүүн бүс,594
2019,Баруун бүс,506
2020,Улаанбаатар,18513
2020,Төвийн бүс,1354
2020,Хангайн бүс,774
2020,Зүүн бүс,644
2020,Баруун бүс,483
2021,Улаанбаатар,19218
2021,Төвийн бүс,1442
2021,Хангайн бүс,682
2021,Зүүн бүс,627
2021,Баруун бүс,513
2022,Улаанбаатар,20322
2022,Төвийн бүс,1776
2022,Хангайн бүс,847
2022,Зүүн бүс,637
2022,Баруун бүс,539
2023,Улаанбаатар,21053
2023,Төвийн бүс,2154
2023,Хангайн бүс,856
2023,Зүүн бүс,638
2023,Баруун бүс,534
2024,Улаанбаатар,26056
2024,Төвийн бүс,2260
2024,Хангайн бүс,1272
2024,Баруун бүс,733
2024,Зүүн бүс,656
