жил,хүйс,ажилгүйдлийн_түвшин
2009,Нийт,11.6
2009,Эмэгтэй,11.6
2009,Эрэгтэй,11.6
2010,Нийт,9.9
2010,Эмэгтэй,9.2
2010,Эрэгтэй,10.5
2011,Нийт,7.7
2011,Эмэгтэй,7.4
2011,Эрэгтэй,8.1
2012,Нийт,8.2
2012,Эмэгтэй,8.1
2012,Эрэгтэй,8.4
2013,Нийт,7.9
2013,Эмэгтэй,8.3
2013,Эрэгтэй,7.6
2014,Нийт,7.9
2014,Эмэгтэй,7.3
2014,Эрэгтэй,8.5
2015,Нийт,7.5
2015,Эмэгтэй,6.7
2015,Эрэгтэй,8.2
2016,Нийт,10.0
2016,Эмэгтэй,8.2
2016,Эрэгтэй,11.6
2017,Нийт,8.8
2017,Эмэгтэй,7.8
2017,Эрэгтэй,9.6
2018,Нийт,7.8
2018,Эмэгтэй,7.1
2018,Эрэгтэй,8.3
2019,Нийт,9.9
2019,Эмэгтэй,8.9
2019,Эрэгтэй,10.7
2020,Нийт,6.7
2020,Эмэгтэй,6.6
2020,Эрэгтэй,6.9
2021,Нийт,8.3
2021,Эмэгтэй,7.8
2021,Эрэгтэй,8.7
2022,Нийт,6.4
2022,Эмэгтэй,5.3
2022,Эрэгтэй,7.3
2023,Нийт,5.3
2023,Эмэгтэй,4.5
2023,Эрэгтэй,6.0
2024,Нийт,5.9
2024,Эмэгтэй,5.6
2024,Эрэгтэй,6.2
