year,region,unemployment_rate
2009,Arkhangai,7.1
2009,Bayan-Ulgii,8.3
2009,Bayankhongor,0.3
2009,Bulgan,13.2
2009,Darkhan-Uul,15.6
2009,Dornod,2.5
2009,Dornogovi,20.5
2009,Dundgovi,13.4
2009,Govi-Altai,6.6
2009,Govisumber,21.0
2009,Khentii,7.3
2009,Khovd,9.7
2009,Khuvsgul,15.7
2009,Orkhon,29.2
2009,Selenge,2.6
2009,Sukhbaatar,16.0
2009,Tuv,6.6
2009,Ulaanbaatar,14.0
2009,Umnugovi,14.9
2009,Uvs,7.8
2009,Uvurkhangai,7.2
2009,Zavkhan,4.0
2010,Arkhangai,7.0
2010,Bayan-Ulgii,2.8
2010,Bayankhongor,3.6
2010,Bulgan,15.2
2010,Darkhan-Uul,11.0
2010,Dornod,12.3
2010,Dornogovi,15.8
2010,Dundgovi,10.1
2010,Govi-Altai,9.0
2010,Govisumber,14.4
2010,Khentii,4.2
2010,Khovd,9.2
2010,Khuvsgul,17.1
2010,Orkhon,25.9
2010,Selenge,2.1
2010,Sukhbaatar,13.8
2010,Tuv,6.0
2010,Ulaanbaatar,8.7
2010,Umnugovi,15.4
2010,Uvs,15.0
2010,Uvurkhangai,4.9
2010,Zavkhan,14.8
2011,Arkhangai,4.5
2011,Bayan-Ulgii,7.0
2011,Bayankhongor,5.0
2011,Bulgan,13.4
2011,Darkhan-Uul,8.4
2011,Dornod,10.9
2011,Dornogovi,5.5
2011,Dundgovi,8.8
2011,Govi-Altai,10.8
2011,Govisumber,4.7
2011,Khentii,8.7
2011,Khovd,8.6
2011,Khuvsgul,9.1
2011,Orkhon,11.9
2011,Selenge,1.4
2011,Sukhbaatar,13.7
2011,Tuv,5.5
2011,Ulaanbaatar,5.6
2011,Umnugovi,15.3
2011,Uvs,10.4
2011,Uvurkhangai,8.2
2011,Zavkhan,18.2
2012,Arkhangai,3.3
2012,Bayan-Ulgii,12.4
2012,Bayankhongor,3.6
2012,Bulgan,9.1
2012,Darkhan-Uul,14.3
2012,Dornod,8.1
2012,Dornogovi,3.8
2012,Dundgovi,8.5
2012,Govi-Altai,13.7
2012,Govisumber,6.1
2012,Khentii,13.0
2012,Khovd,8.1
2012,Khuvsgul,15.2
2012,Orkhon,14.2
2012,Selenge,6.0
2012,Sukhbaatar,10.7
2012,Tuv,6.0
2012,Ulaanbaatar,7.1
2012,Umnugovi,6.5
2012,Uvs,8.4
2012,Uvurkhangai,3.4
2012,Zavkhan,6.4
2013,Arkhangai,4.4
