жил,аймаг,ажилгүйдлийн_түвшин
2009,Архангай,7.1
2009,Баян-Өлгий,8.3
2009,Баянхонгор,0.3
2009,Булган,13.2
2009,Говь-Алтай,6.6
2009,Говьсүмбэр,21.0
2009,Дархан-Уул,15.6
2009,Дорноговь,20.5
2009,Дорнод,2.5
2009,Дундговь,13.4
2009,Завхан,4.0
2009,Орхон,29.2
2009,Сэлэнгэ,2.6
2009,Сүхбаатар,16.0
2009,Төв,6.6
2009,Увс,7.8
2009,Улаанбаатар,14.0
2009,Ховд,9.7
2009,Хэнтий,7.3
2009,Хөвсгөл,15.7
2009,Өвөрхангай,7.2
2009,Өмнөговь,14.9
2010,Архангай,7.0
2010,Баян-Өлгий,2.8
2010,Баянхонгор,3.6
2010,Булган,15.2
2010,Говь-Алтай,9.0
2010,Говьсүмбэр,14.4
2010,Дархан-Уул,11.0
2010,Дорноговь,15.8
2010,Дорнод,12.3
2010,Дундговь,10.1
2010,Завхан,14.8
2010,Орхон,25.9
2010,Сэлэнгэ,2.1
2010,Сүхбаатар,13.8
2010,Төв,6.0
2010,Увс,15.0
2010,Улаанбаатар,8.7
2010,Ховд,9.2
2010,Хэнтий,4.2
2010,Хөвсгөл,17.1
2010,Өвөрхангай,4.9
2010,Өмнөговь,15.4
2011,Архангай,4.5
2011,Баян-Өлгий,7.0
2011,Баянхонгор,5.0
2011,Булган,13.4
2011,Говь-Алтай,10.8
2011,Говьсүмбэр,4.7
2011,Дархан-Уул,8.4
2011,Дорноговь,5.5
2011,Дорнод,10.9
2011,Дундговь,8.8
2011,Завхан,18.2
2011,Орхон,11.9
2011,Сэлэнгэ,1.4
2011,Сүхбаатар,13.7
2011,Төв,5.5
2011,Увс,10.4
2011,Улаанбаатар,5.6
2011,Ховд,8.6
2011,Хэнтий,8.7
2011,Хөвсгөл,9.1
2011,Өвөрхангай,8.2
2011,Өмнөговь,15.3
2012,Архангай,3.3
2012,Баян-Өлгий,12.4
2012,Баянхонгор,3.6
2012,Булган,9.1
2012,Говь-Алтай,13.7
2012,Говьсүмбэр,6.1
2012,Дархан-Уул,14.3
2012,Дорноговь,3.8
2012,Дорнод,8.1
2012,Дундговь,8.5
2012,Завхан,6.4
2012,Орхон,14.2
2012,Сэлэнгэ,6.0
2012,Сүхбаатар,10.7
2012,Төв,6.0
2012,Увс,8.4
2012,Улаанбаатар,7.1
2012,Ховд,8.1
2012,Хэнтий,13.0
2012,Хөвсгөл,15.2
2012,Өвөрхангай,3.4
2012,Өмнөговь,6.5
2013,Архангай,4.4
2013,Баян-Өлгий,23.5
2013,Баянхонгор,7.3
2013,Булган,4.7
2013,Говь-Алтай,10.8
2013,Говьсүмбэр,6.2
2013,Дархан-Уул,8.1
2013,Дорноговь,7.8
2013,Дорнод,7.9
2013,Дундговь,6.3
2013,Завхан,5.6
2013,Орхон,21.1
2013,Сэлэнгэ,9.0
2013,Сүхбаатар,7.0
2013,Төв,8.4
2013,Увс,10.1
2013,Улаанбаатар,4.6
2013,Ховд,6.3
2013,Хэнтий,17.5
2013,Хөвсгөл,15.1
2013,Өвөрхангай,5.0
2013,Өмнөговь,4.9
2014,Архангай,3.9
2014,Баян-Өлгий,22.5
2014,Баянхонгор,5.6
2014,Булган,9.7
2014,Говь-Алтай,10.2
2014,Говьсүмбэр,5.5
2014,Дархан-Уул,9.4
2014,Дорноговь,13.6
2014,Дорнод,10.8
2014,Дундговь,5.2
2014,Завхан,4.0
2014,Орхон,12.3
2014,Сэлэнгэ,10.2
2014,Сүхбаатар,10.1
2014,Төв,6.2
2014,Увс,14.8
2014,Улаанбаатар,5.1
2014,Ховд,11.7
2014,Хэнтий,17.7
2014,Хөвсгөл,7.9
2014,Өвөрхангай,3.5
2014,Өмнөговь,11.3
2015,Архангай,5.0
2015,Баян-Өлгий,11.9
2015,Баянхонгор,6.4
2015,Булган,4.6
2015,Говь-Алтай,8.8
2015,Говьсүмбэр,16.5
2015,Дархан-Уул,13.2
2015,Дорноговь,14.0
2015,Дорнод,7.9
2015,Дундговь,5.5
2015,Завхан,6.9
2015,Орхон,2.2
2015,Сэлэнгэ,4.9
2015,Сүхбаатар,9.7
2015,Төв,4.4
2015,Увс,8.5
2015,Улаанбаатар,6.9
2015,Ховд,8.6
2015,Хэнтий,14.0
2015,Хөвсгөл,6.7
2015,Өвөрхангай,3.6
2015,Өмнөговь,11.8
2016,Архангай,5.0
2016,Баян-Өлгий,9.3
2016,Баянхонгор,11.2
2016,Булган,8.2
2016,Говь-Алтай,10.1
2016,Говьсүмбэр,18.1
2016,Дархан-Уул,15.4
2016,Дорноговь,9.9
2016,Дорнод,11.3
2016,Дундговь,5.1
2016,Завхан,11.4
2016,Орхон,22.4
2016,Сэлэнгэ,8.1
2016,Сүхбаатар,9.9
2016,Төв,2.7
2016,Увс,14.2
2016,Улаанбаатар,9.1
2016,Ховд,15.1
2016,Хэнтий,12.9
2016,Хөвсгөл,8.5
2016,Өвөрхангай,8.9
2016,Өмнөговь,14.3
2017,Архангай,5.4
2017,Баян-Өлгий,12.4
2017,Баянхонгор,5.6
2017,Булган,10.7
2017,Говь-Алтай,8.6
2017,Говьсүмбэр,7.8
2017,Дархан-Уул,14.2
2017,Дорноговь,6.1
2017,Дорнод,10.2
2017,Дундговь,4.4
2017,Завхан,4.4
2017,Орхон,23.5
2017,Сэлэнгэ,6.6
2017,Сүхбаатар,10.9
2017,Төв,3.2
2017,Увс,13.0
2017,Улаанбаатар,7.5
2017,Ховд,13.5
2017,Хэнтий,10.3
2017,Хөвсгөл,8.6
2017,Өвөрхангай,7.6
2017,Өмнөговь,16.4
2018,Архангай,5.2
2018,Баян-Өлгий,12.6
2018,Баянхонгор,7.3
2018,Булган,7.4
2018,Говь-Алтай,6.1
2018,Говьсүмбэр,11.7
2018,Дархан-Уул,19.6
2018,Дорноговь,5.3
2018,Дорнод,6.3
2018,Дундговь,5.0
2018,Завхан,4.3
2018,Орхон,12.8
2018,Сэлэнгэ,5.6
2018,Сүхбаатар,8.5
2018,Төв,2.6
2018,Увс,10.2
2018,Улаанбаатар,7.6
2018,Ховд,8.4
2018,Хэнтий,11.3
2018,Хөвсгөл,6.4
2018,Өвөрхангай,5.3
2018,Өмнөговь,7.3
2019,Архангай,4.1
2019,Баян-Өлгий,28.6
2019,Баянхонгор,5.4
2019,Булган,5.6
2019,Говь-Алтай,11.2
2019,Говьсүмбэр,10.0
2019,Дархан-Уул,19.4
2019,Дорноговь,2.1
2019,Дорнод,16.8
2019,Дундговь,4.3
2019,Завхан,4.7
2019,Орхон,12.1
2019,Сэлэнгэ,4.7
2019,Сүхбаатар,7.9
2019,Төв,4.7
2019,Увс,7.0
