жил,аймаг,ажилгүйдлийн_түвшин
2009,Баян-Өлгий,8.3
2009,Говьсүмбэр,21.0
2009,Дархан-Уул,15.6
2009,Орхон,29.2
2009,Улаанбаатар,14.0
2009,Хөвсгөл,15.7
2010,Баян-Өлгий,2.8
2010,Говьсүмбэр,14.4
2010,Дархан-Уул,11.0
2010,Орхон,25.9
2010,Улаанбаатар,8.7
2010,Хөвсгөл,17.1
2011,Баян-Өлгий,7.0
2011,Говьсүмбэр,4.7
2011,Дархан-Уул,8.4
2011,Орхон,11.9
2011,Улаанбаатар,5.6
2011,Хөвсгөл,9.1
2012,Баян-Өлгий,12.4
2012,Говьсүмбэр,6.1
2012,Дархан-Уул,14.3
2012,Орхон,14.2
2012,Улаанбаатар,7.1
2012,Хөвсгөл,15.2
2013,Баян-Өлгий,23.5
2013,Говьсүмбэр,6.2
2013,Дархан-Уул,8.1
2013,Орхон,21.1
2013,Улаанбаатар,4.6
2013,Хөвсгөл,15.1
2014,Баян-Өлгий,22.5
2014,Говьсүмбэр,5.5
2014,Дархан-Уул,9.4
2014,Орхон,12.3
2014,Улаанбаатар,5.1
2014,Хөвсгөл,7.9
2015,Баян-Өлгий,11.9
2015,Говьсүмбэр,16.5
2015,Дархан-Уул,13.2
2015,Орхон,2.2
2015,Улаанбаатар,6.9
2015,Хөвсгөл,6.7
2016,Баян-Өлгий,9.3
2016,Говьсүмбэр,18.1
2016,Дархан-Уул,15.4
2016,Орхон,22.4
2016,Улаанбаатар,9.1
2016,Хөвсгөл,8.5
2017,Баян-Өлгий,12.4
2017,Говьсүмбэр,7.8
2017,Дархан-Уул,14.2
2017,Орхон,23.5
2017,Улаанбаатар,7.5
2017,Хөвсгөл,8.6
2018,Баян-Өлгий,12.6
2018,Говьсүмбэр,11.7
2018,Дархан-Уул,19.6
2018,Орхон,12.8
2018,Улаанбаатар,7.6
2018,Хөвсгөл,6.4
2019,Баян-Өлгий,28.6
2019,Говьсүмбэр,10.0
2019,Дархан-Уул,19.4
2019,Орхон,12.1
2019,Улаанбаатар,11.2
2019,Хөвсгөл,12.8
2020,Баян-Өлгий,21.4
2020,Говьсүмбэр,9.8
2020,Дархан-Уул,12.2
2020,Орхон,7.4
2020,Улаанбаатар,6.3
2020,Хөвсгөл,6.3
2021,Баян-Өлгий,16.4
2021,Говьсүмбэр,13.6
2021,Дархан-Уул,16.5
2021,Орхон,15.4
2021,Улаанбаатар,8.1
2021,Хөвсгөл,8.3
2022,Баян-Өлгий,11.5
2022,Говьсүмбэр,5.7
2022,Дархан-Уул,8.5
2022,Орхон,10.0
2022,Улаанбаатар,5.8
2022,Хөвсгөл,6.9
2023,Баян-Өлгий,6.8
2023,Говьсүмбэр,5.8
2023,Дархан-Уул,12.6
2023,Орхон,8.4
2023,Улаанбаатар,5.0
2023,Хөвсгөл,4.0
2024,Баян-Өлгий,9.8
2024,Говьсүмбэр,13.4
2024,Дархан-Уул,11.1
2024,Орхон,7.3
2024,Улаанбаатар,5.8
2024,Хөвсгөл,9.1
