ангилал,он,утга
Бүгд,2024,5.9
Бүгд,2023,5.3
Бүгд,2022,6.4
Бүгд,2021,8.3
Бүгд,2020,6.7
Бүгд,2019,9.9
Бүгд,2018,7.8
Бүгд,2017,8.8
Бүгд,2016,10.0
Бүгд,2015,7.5
Бүгд,2014,7.9
Бүгд,2013,7.9
Бүгд,2012,8.2
Бүгд,2011,7.7
Бүгд,2010,9.9
Бүгд,2009,11.6
Эрэгтэй,2024,6.2
Эрэгтэй,2023,6.0
Эрэгтэй,2022,7.3
Эрэгтэй,2021,8.7
Эрэгтэй,2020,6.9
Эрэгтэй,2019,10.7
Эрэгтэй,2018,8.3
Эрэгтэй,2017,9.6
Эрэгтэй,2016,11.6
Эрэгтэй,2015,8.2
Эрэгтэй,2014,8.5
Эрэгтэй,2013,7.6
Эрэгтэй,2012,8.4
Эрэгтэй,2011,8.1
Эрэгтэй,2010,10.5
Эрэгтэй,2009,11.6
Эмэгтэй,2024,5.6
Эмэгтэй,2023,4.5
Эмэгтэй,2022,5.3
Эмэгтэй,2021,7.8
Эмэгтэй,2020,6.6
Эмэгтэй,2019,8.9
Эмэгтэй,2018,7.1
Эмэгтэй,2017,7.8
Эмэгтэй,2016,8.2
Эмэгтэй,2015,6.7
Эмэгтэй,2014,7.3
Эмэгтэй,2013,8.3
Эмэгтэй,2012,8.1
Эмэгтэй,2011,7.4
Эмэгтэй,2010,9.2
Эмэгтэй,2009,11.6
Хот,2024,6.8
Хот,2023,6.3
Хот,2022,7.7
Хот,2021,9.8
Хот,2020,8.0
Хот,2019,12.3
Хот,2018,9.4
Хот,2017,10.4
Хот,2016,12.2
Хот,2015,8.7
Хот,2014,8.5
Хот,2013,8.5
Хот,2012,9.7
Хот,2011,8.3
Хот,2010,11.6
Хот,2009,15.0
Хөдөө,2024,2.2
Хөдөө,2023,3.7
Хөдөө,2022,4.0
Хөдөө,2021,5.8
Хөдөө,2020,4.6
Хөдөө,2019,5.9
Хөдөө,2018,5.2
Хөдөө,2017,6.3
Хөдөө,2016,6.8
Хөдөө,2015,5.7
Хөдөө,2014,7.2
Хөдөө,2013,7.2
Хөдөө,2012,6.5
Хөдөө,2011,7.0
Хөдөө,2010,7.8
Хөдөө,2009,7.3
15-24 насны,2024,14.7
15-24 насны,2023,4.7
15-24 насны,2022,12.6
15-24 насны,2021,18.0
15-24 насны,2020,16.3
15-24 насны,2019,23.9
15-24 насны,2018,20.4
15-24 насны,2017,22.7
15-24 насны,2016,25.1
15-24 насны,2015,17.9
15-24 насны,2014,17.4
15-24 насны,2013,16.6
15-24 насны,2012,14.0
15-24 насны,2011,15.6
15-24 насны,2010,19.5
15-24 насны,2009,22.0
25-64 насны,2024,5.1
25-64 насны,2023,5.7
25-64 насны,2022,5.7
25-64 насны,2021,7.3
25-64 насны,2020,5.6
25-64 насны,2019,8.1
25-64 насны,2018,6.5
25-64 насны,2017,7.5
25-64 насны,2016,8.5
25-64 насны,2015,6.2
25-64 насны,2014,6.8
25-64 насны,2013,6.7
25-64 насны,2012,7.2
25-64 насны,2011,6.5
25-64 насны,2010,8.3
25-64 насны,2009,9.5
65 болон түүнээс дээш насны,2024,3.3
65 болон түүнээс дээш насны,2023,1.2
65 болон түүнээс дээш насны,2022,0.8
65 болон түүнээс дээш насны,2021,1.4
65 болон түүнээс дээш насны,2020,0.0
65 болон түүнээс дээш насны,2019,0.4
65 болон түүнээс дээш насны,2018,
