хүйс,салбар,жил,цалин_мнт
Бүгд,Барилга,2001,73.7
Бүгд,Барилга,2002,90.6
Бүгд,Барилга,2003,85.9
Бүгд,Барилга,2004,99.6
Бүгд,Барилга,2005,110.9
Бүгд,Барилга,2006,137.1
Бүгд,Барилга,2007,167.7
Бүгд,Барилга,2008,223.2
Бүгд,Барилга,2009,234.8
Бүгд,Барилга,2010,247.5
Бүгд,Барилга,2011,341.7
Бүгд,Барилга,2012,485.1
Бүгд,Барилга,2013,719.0
Бүгд,Барилга,2014,678.7
Бүгд,Барилга,2015,662.8
Бүгд,Барилга,2016,729.5
Бүгд,Барилга,2017,852.3
Бүгд,Барилга,2018,1032.7
Бүгд,Барилга,2019,1161.9
Бүгд,Барилга,2020,1273.9
Бүгд,Барилга,2021,1227.0
Бүгд,Барилга,2022,1431.0
Бүгд,Барилга,2023,1818.5
Бүгд,Барилга,2024,2166.9
Бүгд,Барилга,2025,2426.2
Бүгд,Боловсрол,2001,60.8
Бүгд,Боловсрол,2002,64.5
Бүгд,Боловсрол,2003,77.5
Бүгд,Боловсрол,2004,88.2
Бүгд,Боловсрол,2005,92.8
Бүгд,Боловсрол,2006,105.2
Бүгд,Боловсрол,2007,174.3
Бүгд,Боловсрол,2008,289.2
Бүгд,Боловсрол,2009,297.3
Бүгд,Боловсрол,2010,311.6
Бүгд,Боловсрол,2011,366.1
Бүгд,Боловсрол,2012,529.4
Бүгд,Боловсрол,2013,663.2
Бүгд,Боловсрол,2014,705.2
Бүгд,Боловсрол,2015,735.5
Бүгд,Боловсрол,2016,712.9
Бүгд,Боловсрол,2017,720.8
Бүгд,Боловсрол,2018,760.2
Бүгд,Боловсрол,2019,903.3
Бүгд,Боловсрол,2020,1013.0
Бүгд,Боловсрол,2021,1045.2
Бүгд,Боловсрол,2022,1211.6
Бүгд,Боловсрол,2023,1515.1
Бүгд,Боловсрол,2024,2018.1
Бүгд,Боловсрол,2025,2360.7
Бүгд,Боловсруулах үйлдвэрлэл,2001,66.6
Бүгд,Боловсруулах үйлдвэрлэл,2002,68.7
