sex,occupation,year,wages_mnt
Female,Clerical support workers,2001,49.0
Female,Craft and related trades workers,2001,67.2
Female,Elementary occupations,2001,46.6
Female,Managers,2001,85.2
Female,National average,2001,61.0
Female,"Plant and machine operators, and assemblers",2001,63.1
Female,Professionals,2001,67.9
Female,Service and sales workers,2001,50.9
Female,"Skilled agricultural, forestry and fishery workers",2001,44.2
Female,Technicians and associate professionals,2001,64.2
Male,Clerical support workers,2001,55.5
Male,Craft and related trades workers,2001,73.5
Male,Elementary occupations,2001,50.3
Male,Managers,2001,97.8
Male,National average,2001,69.2
Male,"Plant and machine operators, and assemblers",2001,67.5
Male,Professionals,2001,74.0
Male,Service and sales workers,2001,64.1
Male,"Skilled agricultural, forestry and fishery workers",2001,43.6
Male,Technicians and associate professionals,2001,82.3
National average,Clerical support workers,2001,52.0
National average,Craft and related trades workers,2001,70.6
National average,Elementary occupations,2001,48.7
National average,Managers,2001,93.3
National average,National average,2001,65.2
National average,"Plant and machine operators, and assemblers",2001,66.6
National average,Professionals,2001,70.3
National average,Service and sales workers,2001,56.2
National average,"Skilled agricultural, forestry and fishery workers",2001,43.8
National average,Technicians and associate professionals,2001,73.1
Female,Clerical support workers,2002,56.5
Female,Craft and related trades workers,2002,68.6
Female,Elementary occupations,2002,53.6
Female,Managers,2002,93.2
Female,National average,2002,65.9
Female,"Plant and machine operators, and assemblers",2002,84.2
Female,Professionals,2002,74.0
Female,Service and sales workers,2002,56.0
Female,"Skilled agricultural, forestry and fishery workers",2002,49.4
Female,Technicians and associate professionals,2002,69.6
Male,Clerical support workers,2002,65.8
Male,Craft and related trades workers,2002,83.2
Male,Elementary occupations,2002,58.8
Male,Managers,2002,107.0
Male,National average,2002,76.3
Male,"Plant and machine operators, and assemblers",2002,78.2
Male,Professionals,2002,78.6
Male,Service and sales workers,2002,63.5
Male,"Skilled agricultural, forestry and fishery workers",2002,55.7
Male,Technicians and associate professionals,2002,96.3
National average,Clerical support workers,2002,61.0
National average,Craft and related trades workers,2002,76.0
National average,Elementary occupations,2002,56.8
National average,Managers,2002,102.1
National average,National average,2002,71.3
National average,"Plant and machine operators, and assemblers",2002,79.4
National average,Professionals,2002,75.8
National average,Service and sales workers,2002,59.2
National average,"Skilled agricultural, forestry and fishery workers",2002,54.0
National average,Technicians and associate professionals,2002,81.9
Female,Clerical support workers,2003,64.9
Female,Craft and related trades workers,2003,81.4
Female,Elementary occupations,2003,58.1
Female,Managers,2003,106.2
Female,National average,2003,76.0
Female,"Plant and machine operators, and assemblers",2003,89.3
Female,Professionals,2003,86.9
Female,Service and sales workers,2003,63.6
Female,"Skilled agricultural, forestry and fishery workers",2003,60.5
Female,Technicians and associate professionals,2003,79.9
Male,Clerical support workers,2003,70.1
Male,Craft and related trades workers,2003,92.1
Male,Elementary occupations,2003,70.3
Male,Managers,2003,119.9
Male,National average,2003,86.9
Male,"Plant and machine operators, and assemblers",2003,89.7
Male,Professionals,2003,91.0
Male,Service and sales workers,2003,75.6
Male,"Skilled agricultural, forestry and fishery workers",2003,63.1
Male,Technicians and associate professionals,2003,103.7
National average,Clerical support workers,2003,67.3
National average,Craft and related trades workers,2003,86.8
National average,Elementary occupations,2003,65.2
National average,Managers,2003,114.7
National average,National average,2003,81.5
National average,"Plant and machine operators, and assemblers",2003,89.6
National average,Professionals,2003,88.4
National average,Service and sales workers,2003,68.6
National average,"Skilled agricultural, forestry and fishery workers",2003,63.0
National average,Technicians and associate professionals,2003,90.3
Female,Clerical support workers,2004,76.9
Female,Craft and related trades workers,2004,94.4
Female,Elementary occupations,2004,63.2
Female,Managers,2004,120.7
Female,National average,2004,88.0
Female,"Plant and machine operators, and assemblers",2004,112.7
Female,Professionals,2004,100.6
Female,Service and sales workers,2004,73.0
Female,"Skilled agricultural, forestry and fishery workers",2004,62.9
Female,Technicians and associate professionals,2004,93.4
Male,Clerical support workers,2004,76.9
Male,Craft and related trades workers,2004,105.8
Male,Elementary occupations,2004,74.2
Male,Managers,2004,144.4
Male,National average,2004,98.3
Male,"Plant and machine operators, and assemblers",2004,103.0
Male,Professionals,2004,101.3
Male,Service and sales workers,2004,83.4
Male,"Skilled agricultural, forestry and fishery workers",2004,56.6
Male,Technicians and associate professionals,2004,124.4
National average,Clerical support workers,2004,77.0
National average,Craft and related trades workers,2004,100.1
National average,Elementary occupations,2004,69.6
National average,Managers,2004,135.0
National average,National average,2004,93.0
National average,"Plant and machine operators, and assemblers",2004,104.5
National average,Professionals,2004,100.8
National average,Service and sales workers,2004,77.4
National average,"Skilled agricultural, forestry and fishery workers",2004,58.0
National average,Technicians and associate professionals,2004,106.4
Female,Clerical support workers,2005,75.3
Female,Craft and related trades workers,2005,89.6
Female,Elementary occupations,2005,68.9
Female,Managers,2005,139.7
Female,National average,2005,92.3
Female,"Plant and machine operators, and assemblers",2005,128.8
Female,Professionals,2005,108.3
Female,Service and sales workers,2005,81.8
Female,"Skilled agricultural, forestry and fishery workers",2005,50.7
Female,Technicians and associate professionals,2005,94.5
Male,Clerical support workers,2005,76.1
Male,Craft and related trades workers,2005,116.3
Male,Elementary occupations,2005,79.4
Male,Managers,2005,157.7
Male,National average,2005,110.0
Male,"Plant and machine operators, and assemblers",2005,127.0
Male,Professionals,2005,114.8
Male,Service and sales workers,2005,90.4
Male,"Skilled agricultural, forestry and fishery workers",2005,68.3
Male,Technicians and associate professionals,2005,135.8
National average,Clerical support workers,2005,75.7
National average,Craft and related trades workers,2005,105.1
National average,Elementary occupations,2005,74.3
National average,Managers,2005,150.9
National average,National average,2005,101.3
National average,"Plant and machine operators, and assemblers",2005,127.4
National average,Professionals,2005,111.0
National average,Service and sales workers,2005,85.7
National average,"Skilled agricultural, forestry and fishery workers",2005,62.2
National average,Technicians and associate professionals,2005,110.7
Female,Clerical support workers,2006,73.0
Female,Craft and related trades workers,2006,107.0
Female,Elementary occupations,2006,90.4
Female,Managers,2006,127.2
Female,National average,2006,117.3
Female,"Plant and machine operators, and assemblers",2006,142.1
Female,Professionals,2006,94.9
Female,Service and sales workers,2006,72.7
Female,"Skilled agricultural, forestry and fishery workers",2006,48.8
Female,Technicians and associate professionals,2006,94.7
Male,Clerical support workers,2006,136.5
Male,Craft and related trades workers,2006,142.7
Male,Elementary occupations,2006,95.6
Male,Managers,2006,241.3
Male,National average,2006,138.1
Male,"Plant and machine operators, and assemblers",2006,150.3
Male,Professionals,2006,222.6
Male,Service and sales workers,2006,145.5
Male,"Skilled agricultural, forestry and fishery workers",2006,86.7
Male,Technicians and associate professionals,2006,191.5
National average,Clerical support workers,2006,99.1
National average,Craft and related trades workers,2006,128.4
National average,Elementary occupations,2006,92.4
National average,Managers,2006,197.2
National average,National average,2006,127.7
National average,"Plant and machine operators, and assemblers",2006,148.6
National average,Professionals,2006,146.7
National average,Service and sales workers,2006,104.6
National average,"Skilled agricultural, forestry and fishery workers",2006,75.9
National average,Technicians and associate professionals,2006,133.3
Female,Clerical support workers,2007,132.8
Female,Craft and related trades workers,2007,130.7
Female,Elementary occupations,2007,119.7
Female,Managers,2007,263.5
Female,National average,2007,159.3
Female,"Plant and machine operators, and assemblers",2007,192.7
Female,Professionals,2007,193.8
Female,Service and sales workers,2007,129.2
Female,"Skilled agricultural, forestry and fishery workers",2007,103.3
Female,Technicians and associate professionals,2007,165.3
Male,Clerical support workers,2007,148.1
Male,Craft and related trades workers,2007,177.2
Male,Elementary occupations,2007,137.0
Male,Managers,2007,295.9
Male,National average,2007,186.7
Male,"Plant and machine operators, and assemblers",2007,201.5
Male,Professionals,2007,218.1
Male,Service and sales workers,2007,154.0
Male,"Skilled agricultural, forestry and fishery workers",2007,141.6
Male,Technicians and associate professionals,2007,199.7
National average,Clerical support workers,2007,138.5
National average,Craft and related trades workers,2007,159.4
National average,Elementary occupations,2007,129.5
National average,Managers,2007,282.8
National average,National average,2007,173.0
National average,"Plant and machine operators, and assemblers",2007,200.1
National average,Professionals,2007,203.1
National average,Service and sales workers,2007,139.7
National average,"Skilled agricultural, forestry and fishery workers",2007,133.1
National average,Technicians and associate professionals,2007,179.1
Female,Clerical support workers,2008,216.7
Female,Craft and related trades workers,2008,199.9
Female,Elementary occupations,2008,190.8
Female,Managers,2008,407.5
Female,National average,2008,258.1
Female,"Plant and machine operators, and assemblers",2008,309.4
Female,Professionals,2008,315.3
Female,Service and sales workers,2008,196.4
Female,"Skilled agricultural, forestry and fishery workers",2008,173.0
Female,Technicians and associate professionals,2008,279.0
Male,Clerical support workers,2008,218.9
Male,Craft and related trades workers,2008,259.1
Male,Elementary occupations,2008,209.3
Male,Managers,2008,462.2
Male,National average,2008,291.3
Male,"Plant and machine operators, and assemblers",2008,324.2
Male,Professionals,2008,349.1
Male,Service and sales workers,2008,251.5
Male,"Skilled agricultural, forestry and fishery workers",2008,220.5
Male,Technicians and associate professionals,2008,302.5
National average,Clerical support workers,2008,217.3
National average,Craft and related trades workers,2008,236.8
National average,Elementary occupations,2008,201.3
National average,Managers,2008,439.5
National average,National average,2008,274.2
National average,"Plant and machine operators, and assemblers",2008,321.6
National average,Professionals,2008,327.2
National average,Service and sales workers,2008,219.0
National average,"Skilled agricultural, forestry and fishery workers",2008,201.7
National average,Technicians and associate professionals,2008,288.8
Female,Clerical support workers,2009,238.6
Female,Craft and related trades workers,2009,223.2
Female,Elementary occupations,2009,203.1
Female,Managers,2009,421.3
Female,National average,2009,279.9
Female,"Plant and machine operators, and assemblers",2009,316.8
Female,Professionals,2009,344.2
Female,Service and sales workers,2009,219.7
Female,"Skilled agricultural, forestry and fishery workers",2009,196.2
Female,Technicians and associate professionals,2009,293.9
Male,Clerical support workers,2009,266.5
Male,Craft and related trades workers,2009,285.8
Male,Elementary occupations,2009,220.1
Male,Managers,2009,515.6
Male,National average,2009,322.6
Male,"Plant and machine operators, and assemblers",2009,331.4
Male,Professionals,2009,396.5
Male,Service and sales workers,2009,274.6
Male,"Skilled agricultural, forestry and fishery workers",2009,253.6
Male,Technicians and associate professionals,2009,346.3
National average,Clerical support workers,2009,251.4
National average,Craft and related trades workers,2009,261.7
National average,Elementary occupations,2009,212.8
National average,Managers,2009,475.5
National average,National average,2009,300.5
National average,"Plant and machine operators, and assemblers",2009,329.3
National average,Professionals,2009,363.5
National average,Service and sales workers,2009,240.9
National average,"Skilled agricultural, forestry and fishery workers",2009,230.6
National average,Technicians and associate professionals,2009,314.3
Female,Clerical support workers,2010,268.9
Female,Craft and related trades workers,2010,248.5
Female,Elementary occupations,2010,239.6
Female,Managers,2010,484.6
Female,National average,2010,314.5
Female,"Plant and machine operators, and assemblers",2010,330.5
Female,Professionals,2010,382.6
Female,Service and sales workers,2010,252.0
Female,"Skilled agricultural, forestry and fishery workers",2010,182.2
Female,Technicians and associate professionals,2010,326.8
Male,Clerical support workers,2010,308.0
Male,Craft and related trades workers,2010,359.3
Male,Elementary occupations,2010,263.8
Male,Managers,2010,579.8
Male,National average,2010,370.4
Male,"Plant and machine operators, and assemblers",2010,403.6
Male,Professionals,2010,401.9
Male,Service and sales workers,2010,303.1
Male,"Skilled agricultural, forestry and fishery workers",2010,408.0
Male,Technicians and associate professionals,2010,424.4
National average,Clerical support workers,2010,288.1
National average,Craft and related trades workers,2010,314.3
National average,Elementary occupations,2010,253.6
National average,Managers,2010,538.7
National average,National average,2010,341.5
National average,"Plant and machine operators, and assemblers",2010,394.8
National average,Professionals,2010,389.8
National average,Service and sales workers,2010,272.8
