хүйс,мэргэжил,жил,цалин_мнт
Бүгд,"Контор, үйлчилгээний ажилтан",2001,52.0
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2001,66.6
Бүгд,Менежер,2001,93.3
Бүгд,Мэргэжилтэн,2001,70.3
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2001,73.1
Бүгд,Улсын дундаж,2001,65.2
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2001,56.2
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2001,43.8
Бүгд,"Энгийн ажил, мэргэжил",2001,48.7
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2001,70.6
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2001,49.0
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2001,63.1
Эмэгтэй,Менежер,2001,85.2
Эмэгтэй,Мэргэжилтэн,2001,67.9
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2001,64.2
Эмэгтэй,Улсын дундаж,2001,61.0
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2001,50.9
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2001,44.2
Эмэгтэй,"Энгийн ажил, мэргэжил",2001,46.6
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2001,67.2
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2001,55.5
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2001,67.5
Эрэгтэй,Менежер,2001,97.8
Эрэгтэй,Мэргэжилтэн,2001,74.0
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2001,82.3
Эрэгтэй,Улсын дундаж,2001,69.2
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2001,64.1
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2001,43.6
Эрэгтэй,"Энгийн ажил, мэргэжил",2001,50.3
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2001,73.5
Бүгд,"Контор, үйлчилгээний ажилтан",2002,61.0
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2002,79.4
Бүгд,Менежер,2002,102.1
Бүгд,Мэргэжилтэн,2002,75.8
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2002,81.9
Бүгд,Улсын дундаж,2002,71.3
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2002,59.2
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2002,54.0
Бүгд,"Энгийн ажил, мэргэжил",2002,56.8
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2002,76.0
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2002,56.5
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2002,84.2
Эмэгтэй,Менежер,2002,93.2
Эмэгтэй,Мэргэжилтэн,2002,74.0
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2002,69.6
Эмэгтэй,Улсын дундаж,2002,65.9
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2002,56.0
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2002,49.4
Эмэгтэй,"Энгийн ажил, мэргэжил",2002,53.6
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2002,68.6
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2002,65.8
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2002,78.2
Эрэгтэй,Менежер,2002,107.0
Эрэгтэй,Мэргэжилтэн,2002,78.6
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2002,96.3
Эрэгтэй,Улсын дундаж,2002,76.3
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2002,63.5
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2002,55.7
Эрэгтэй,"Энгийн ажил, мэргэжил",2002,58.8
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2002,83.2
Бүгд,"Контор, үйлчилгээний ажилтан",2003,67.3
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2003,89.6
Бүгд,Менежер,2003,114.7
Бүгд,Мэргэжилтэн,2003,88.4
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2003,90.3
Бүгд,Улсын дундаж,2003,81.5
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2003,68.6
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2003,63.0
Бүгд,"Энгийн ажил, мэргэжил",2003,65.2
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2003,86.8
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2003,64.9
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2003,89.3
Эмэгтэй,Менежер,2003,106.2
Эмэгтэй,Мэргэжилтэн,2003,86.9
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2003,79.9
Эмэгтэй,Улсын дундаж,2003,76.0
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2003,63.6
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2003,60.5
Эмэгтэй,"Энгийн ажил, мэргэжил",2003,58.1
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2003,81.4
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2003,70.1
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2003,89.7
Эрэгтэй,Менежер,2003,119.9
Эрэгтэй,Мэргэжилтэн,2003,91.0
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2003,103.7
Эрэгтэй,Улсын дундаж,2003,86.9
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2003,75.6
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2003,63.1
Эрэгтэй,"Энгийн ажил, мэргэжил",2003,70.3
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2003,92.1
Бүгд,"Контор, үйлчилгээний ажилтан",2004,77.0
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2004,104.5
Бүгд,Менежер,2004,135.0
Бүгд,Мэргэжилтэн,2004,100.8
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2004,106.4
Бүгд,Улсын дундаж,2004,93.0
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2004,77.4
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2004,58.0
Бүгд,"Энгийн ажил, мэргэжил",2004,69.6
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2004,100.1
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2004,76.9
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2004,112.7
Эмэгтэй,Менежер,2004,120.7
Эмэгтэй,Мэргэжилтэн,2004,100.6
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2004,93.4
Эмэгтэй,Улсын дундаж,2004,88.0
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2004,73.0
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2004,62.9
Эмэгтэй,"Энгийн ажил, мэргэжил",2004,63.2
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2004,94.4
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2004,76.9
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2004,103.0
Эрэгтэй,Менежер,2004,144.4
Эрэгтэй,Мэргэжилтэн,2004,101.3
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2004,124.4
Эрэгтэй,Улсын дундаж,2004,98.3
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2004,83.4
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2004,56.6
Эрэгтэй,"Энгийн ажил, мэргэжил",2004,74.2
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2004,105.8
Бүгд,"Контор, үйлчилгээний ажилтан",2005,75.7
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2005,127.4
Бүгд,Менежер,2005,150.9
Бүгд,Мэргэжилтэн,2005,111.0
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2005,110.7
Бүгд,Улсын дундаж,2005,101.3
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2005,85.7
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2005,62.2
Бүгд,"Энгийн ажил, мэргэжил",2005,74.3
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2005,105.1
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2005,75.3
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2005,128.8
Эмэгтэй,Менежер,2005,139.7
Эмэгтэй,Мэргэжилтэн,2005,108.3
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2005,94.5
Эмэгтэй,Улсын дундаж,2005,92.3
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2005,81.8
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2005,50.7
Эмэгтэй,"Энгийн ажил, мэргэжил",2005,68.9
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2005,89.6
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2005,76.1
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2005,127.0
Эрэгтэй,Менежер,2005,157.7
Эрэгтэй,Мэргэжилтэн,2005,114.8
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2005,135.8
Эрэгтэй,Улсын дундаж,2005,110.0
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2005,90.4
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2005,68.3
Эрэгтэй,"Энгийн ажил, мэргэжил",2005,79.4
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2005,116.3
Бүгд,"Контор, үйлчилгээний ажилтан",2006,99.1
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2006,148.6
Бүгд,Менежер,2006,197.2
Бүгд,Мэргэжилтэн,2006,146.7
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2006,133.3
Бүгд,Улсын дундаж,2006,127.7
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2006,104.6
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2006,75.9
Бүгд,"Энгийн ажил, мэргэжил",2006,92.4
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2006,128.4
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2006,73.0
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2006,142.1
Эмэгтэй,Менежер,2006,127.2
Эмэгтэй,Мэргэжилтэн,2006,94.9
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2006,94.7
Эмэгтэй,Улсын дундаж,2006,117.3
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2006,72.7
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2006,48.8
Эмэгтэй,"Энгийн ажил, мэргэжил",2006,90.4
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2006,107.0
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2006,136.5
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2006,150.3
Эрэгтэй,Менежер,2006,241.3
Эрэгтэй,Мэргэжилтэн,2006,222.6
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2006,191.5
Эрэгтэй,Улсын дундаж,2006,138.1
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2006,145.5
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2006,86.7
Эрэгтэй,"Энгийн ажил, мэргэжил",2006,95.6
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2006,142.7
