хүйс,мэргэжил,жил,цалин_мнт
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2025,2534.6
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2025,2382.7
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2025,3121.3
Эмэгтэй,Менежер,2025,2862.7
Эмэгтэй,Мэргэжилтэн,2025,2728.7
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2025,2579.2
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2025,1696.5
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2025,1626.6
Эмэгтэй,"Энгийн ажил, мэргэжил",2025,1728.1
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2025,1905.8
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2025,2487.0
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2025,3022.5
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2025,3437.5
Эрэгтэй,Менежер,2025,3303.7
Эрэгтэй,Мэргэжилтэн,2025,3542.3
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2025,3159.7
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2025,2155.0
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2025,1531.8
Эрэгтэй,"Энгийн ажил, мэргэжил",2025,2100.2
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2025,2984.0
