огноо,чуулган,товлосон_цаг,эхэлсэн_цаг,цагийн_мэдээллийн_төлөв,өгөгдлийн_төлөв,эх_сурвалжийн_нийтлэл,эх_файлын_холбоос,үзүүлэлт,утга,нэгж
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Хэлэлцэх асуудал,0,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Албан ёсоор цагтаа ирсэн,69,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Албан ёсоор хоцорсон,31,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Чөлөөтэй,2,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Эмнэлгийн чөлөө,4,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Орон нутгийн томилолт,2,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Гадаад томилолт,12,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Тайлбаргүй тасалсан,6,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Биеэр оролцсон,100,тоо
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Биеэр оролцсон хувь,79.4,хувь
2024-10-17,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63100/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,69.0,хувь
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Хэлэлцэх асуудал,0,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Албан ёсоор цагтаа ирсэн,78,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Албан ёсоор хоцорсон,20,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Чөлөөтэй,0,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Эмнэлгийн чөлөө,6,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Орон нутгийн томилолт,2,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Гадаад томилолт,13,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Тайлбаргүй тасалсан,7,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Биеэр оролцсон,98,тоо
2024-10-18,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63122/,,Биеэр оролцсон хувь,77.8,хувь
