хүйс,он,утга
Эмэгтэй,1956,425190
Эрэгтэй,1956,420291
Эмэгтэй,1963,509129
Эрэгтэй,1963,508029
Эмэгтэй,1969,600236
Эрэгтэй,1969,597359
Эмэгтэй,1979,796138
Эрэгтэй,1979,798868
Эмэгтэй,1989,1023285
Эрэгтэй,1989,1020669
Эмэгтэй,1990,1079819
Эрэгтэй,1990,1073647
Эмэгтэй,1991,1091813
Эрэгтэй,1991,1085404
Эмэгтэй,1992,1082367
Эрэгтэй,1992,1075995
Эмэгтэй,1993,1089403
Эрэгтэй,1993,1082495
Эмэгтэй,1994,1110095
Эрэгтэй,1994,1096797
Эмэгтэй,1995,1128628
Эрэгтэй,1995,1114370
Эмэгтэй,1996,1146168
Эрэгтэй,1996,1129848
Эмэгтэй,1997,1161916
Эрэгтэй,1997,1145568
Эмэгтэй,1998,1178468
Эрэгтэй,1998,1161666
Эмэгтэй,1999,1195512
Эрэгтэй,1999,1177981
Эмэгтэй,2000,1212861
Эрэгтэй,2000,1190244
Эмэгтэй,2001,1227695
Эрэгтэй,2001,1204702
Эмэгтэй,2002,1242422
Эрэгтэй,2002,1223235
Эмэгтэй,2003,1257253
Эрэгтэй,2003,1237838
Эмэгтэй,2004,1270681
Эрэгтэй,2004,1251052
Эмэгтэй,2005,1285467
Эрэгтэй,2005,1265614
Эмэгтэй,2006,1323601
Эрэгтэй,2006,1259653
Эмэгтэй,2007,1343197
Эрэгтэй,2007,1277249
Эмэгтэй,2008,1364650
Эрэгтэй,2008,1301305
Эмэгтэй,2009,1388135
Эрэгтэй,2009,1328140
Эмэгтэй,2010,1418887
Эрэгтэй,2010,1342081
Эмэгтэй,2011,1446943
Эрэгтэй,2011,1364723
Эмэгтэй,2012,1474291
Эрэгтэй,2012,1393453
Эмэгтэй,2013,1504434
Эрэгтэй,2013,1425843
Эмэгтэй,2014,1529494
Эрэгтэй,2014,1466455
Эмэгтэй,2015,1554166
Эрэгтэй,2015,1503612
Эмэгтэй,2016,1585952
Эрэгтэй,2016,1533983
Эмэгтэй,2017,1615529
Эрэгтэй,2017,1562370
Эмэгтэй,2018,1646631
Эрэгтэй,2018,1591848
Эмэгтэй,2019,1677293
Эрэгтэй,2019,1619573
Эмэгтэй,2020,1708563
Эрэгтэй,2020,1648979
Эмэгтэй,2021,1735881
Эрэгтэй,2021,1674058
Эмэгтэй,2022,1761400
Эрэгтэй,2022,1696148
Эмэгтэй,2023,1786466
Эрэгтэй,2023,1718275
Эмэгтэй,2024,1808475
Эрэгтэй,2024,1736360
