хүйс,насны_бүлэг,утга
Эмэгтэй,0-4,165879
Эрэгтэй,0-4,174398
Эмэгтэй,10-14,182034
Эрэгтэй,10-14,190491
Эмэгтэй,15-19,136545
Эрэгтэй,15-19,142033
Эмэгтэй,20-24,109355
Эрэгтэй,20-24,112835
Эмэгтэй,25-29,118313
Эрэгтэй,25-29,120014
Эмэгтэй,30-34,137571
Эрэгтэй,30-34,137736
Эмэгтэй,35-39,152145
Эрэгтэй,35-39,149092
Эмэгтэй,40-44,126414
Эрэгтэй,40-44,120723
Эмэгтэй,45-49,113759
Эрэгтэй,45-49,104331
Эмэгтэй,5-9,186965
Эрэгтэй,5-9,197034
Эмэгтэй,50-54,101682
Эрэгтэй,50-54,88833
Эмэгтэй,55-59,86508
Эрэгтэй,55-59,70347
Эмэгтэй,60-64,75089
Эрэгтэй,60-64,56792
Эмэгтэй,65-69,51391
Эрэгтэй,65-69,34712
Эмэгтэй,70+,64825
Эрэгтэй,70+,36989
