он,утга
1956,845481
1963,1017158
1969,1197595
1979,1595006
1989,2043954
1990,2153466
1991,2177217
1992,2158362
1993,2171898
1994,2206892
1995,2242998
1996,2276016
1997,2307484
1998,2340134
1999,2373493
2000,2403105
2001,2432397
2002,2465657
2003,2495091
2004,2521733
2005,2551081
2006,2583254
2007,2620446
2008,2665955
2009,2716275
2010,2760968
2011,2811666
2012,2867744
2013,2930277
2014,2995949
2015,3057778
2016,3119935
2017,3177899
2018,3238479
2019,3296866
2020,3357542
2021,3409939
2022,3457548
2023,3504741
2024,3544835
