indicator,location,year,percent
Poverty Headcount,National average,1995,36.3
Poverty Headcount,Urban,1995,38.5
Poverty Headcount,Rural,1995,33.1
Poverty Gap,National average,1995,10.9
Poverty Gap,Urban,1995,12.2
Poverty Gap,Rural,1995,8.9
Poverty Severity,National average,1995,4.8
Poverty Severity,Urban,1995,5.7
Poverty Severity,Rural,1995,3.6
Poverty Headcount,National average,1998,35.6
Poverty Headcount,Urban,1998,39.4
Poverty Headcount,Rural,1998,32.6
Poverty Gap,National average,1998,11.7
Poverty Gap,Urban,1998,13.9
Poverty Gap,Rural,1998,9.8
Poverty Severity,National average,1998,5.6
Poverty Severity,Urban,1998,7.1
Poverty Severity,Rural,1998,4.4
Poverty Headcount,National average,2003,36.1
Poverty Headcount,Urban,2003,30.3
Poverty Headcount,Rural,2003,43.4
Poverty Headcount,Western region,2003,51.1
Poverty Headcount,Khangai region,2003,38.7
Poverty Headcount,Central region,2003,34.4
Poverty Headcount,Eastern region,2003,34.5
Poverty Headcount,Ulaanbaatar,2003,27.3
Poverty Headcount,Aimag center,2003,33.9
Poverty Headcount,Soum center,2003,44.5
Poverty Headcount,Rural area,2003,42.7
Poverty Gap,National average,2003,11.0
Poverty Gap,Urban,2003,9.2
Poverty Gap,Rural,2003,13.2
Poverty Gap,Western region,2003,14.6
Poverty Gap,Khangai region,2003,12.3
Poverty Gap,Central region,2003,10.1
Poverty Gap,Eastern region,2003,12.4
Poverty Gap,Ulaanbaatar,2003,8.1
Poverty Gap,Aimag center,2003,10.5
Poverty Gap,Soum center,2003,14.4
Poverty Gap,Rural area,2003,12.6
Poverty Severity,National average,2003,4.7
Poverty Severity,Urban,2003,4.0
Poverty Severity,Rural,2003,5.6
Poverty Severity,Western region,2003,5.7
Poverty Severity,Khangai region,2003,5.2
Poverty Severity,Central region,2003,4.3
Poverty Severity,Eastern region,2003,6.6
Poverty Severity,Ulaanbaatar,2003,3.3
Poverty Severity,Aimag center,2003,4.7
Poverty Severity,Soum center,2003,6.4
Poverty Severity,Rural area,2003,5.1
Poverty Headcount,National average,2008,35.2
Poverty Headcount,Urban,2008,26.9
Poverty Headcount,Rural,2008,46.6
Poverty Headcount,Western region,2008,47.1
Poverty Headcount,Khangai region,2008,46.6
Poverty Headcount,Central region,2008,30.7
Poverty Headcount,Eastern region,2008,46.7
Poverty Headcount,Ulaanbaatar,2008,21.9
Poverty Headcount,Aimag center,2008,34.9
Poverty Headcount,Soum center,2008,42.0
Poverty Headcount,Rural area,2008,49.7
Poverty Gap,National average,2008,10.1
Poverty Gap,Urban,2008,7.7
Poverty Gap,Rural,2008,13.4
