үзүүлэлт,байршил,он,хувь
Ядуурлын хамралтын хүрээ,Улсын дундаж,1995,36.3
Ядуурлын хамралтын хүрээ,Хот,1995,38.5
Ядуурлын хамралтын хүрээ,Хөдөө,1995,33.1
Ядуурлын гүнзгийрэлт,Улсын дундаж,1995,10.9
Ядуурлын гүнзгийрэлт,Хот,1995,12.2
Ядуурлын гүнзгийрэлт,Хөдөө,1995,8.9
Ядуурлын мэдрэмж,Улсын дундаж,1995,4.8
Ядуурлын мэдрэмж,Хот,1995,5.7
Ядуурлын мэдрэмж,Хөдөө,1995,3.6
Ядуурлын хамралтын хүрээ,Улсын дундаж,1998,35.6
Ядуурлын хамралтын хүрээ,Хот,1998,39.4
Ядуурлын хамралтын хүрээ,Хөдөө,1998,32.6
Ядуурлын гүнзгийрэлт,Улсын дундаж,1998,11.7
Ядуурлын гүнзгийрэлт,Хот,1998,13.9
Ядуурлын гүнзгийрэлт,Хөдөө,1998,9.8
Ядуурлын мэдрэмж,Улсын дундаж,1998,5.6
Ядуурлын мэдрэмж,Хот,1998,7.1
Ядуурлын мэдрэмж,Хөдөө,1998,4.4
Ядуурлын хамралтын хүрээ,Улсын дундаж,2003,36.1
Ядуурлын хамралтын хүрээ,Хот,2003,30.3
Ядуурлын хамралтын хүрээ,Хөдөө,2003,43.4
Ядуурлын хамралтын хүрээ,Баруун бүс,2003,51.1
Ядуурлын хамралтын хүрээ,Хангайн бүс,2003,38.7
Ядуурлын хамралтын хүрээ,Төвийн бүс,2003,34.4
Ядуурлын хамралтын хүрээ,Зүүн бүс,2003,34.5
Ядуурлын хамралтын хүрээ,Улаанбаатар,2003,27.3
Ядуурлын хамралтын хүрээ,Аймгийн төв,2003,33.9
Ядуурлын хамралтын хүрээ,Сумын төв,2003,44.5
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2003,42.7
Ядуурлын гүнзгийрэлт,Улсын дундаж,2003,11.0
Ядуурлын гүнзгийрэлт,Хот,2003,9.2
Ядуурлын гүнзгийрэлт,Хөдөө,2003,13.2
Ядуурлын гүнзгийрэлт,Баруун бүс,2003,14.6
Ядуурлын гүнзгийрэлт,Хангайн бүс,2003,12.3
Ядуурлын гүнзгийрэлт,Төвийн бүс,2003,10.1
Ядуурлын гүнзгийрэлт,Зүүн бүс,2003,12.4
Ядуурлын гүнзгийрэлт,Улаанбаатар,2003,8.1
Ядуурлын гүнзгийрэлт,Аймгийн төв,2003,10.5
Ядуурлын гүнзгийрэлт,Сумын төв,2003,14.4
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2003,12.6
Ядуурлын мэдрэмж,Улсын дундаж,2003,4.7
Ядуурлын мэдрэмж,Хот,2003,4.0
Ядуурлын мэдрэмж,Хөдөө,2003,5.6
Ядуурлын мэдрэмж,Баруун бүс,2003,5.7
Ядуурлын мэдрэмж,Хангайн бүс,2003,5.2
Ядуурлын мэдрэмж,Төвийн бүс,2003,4.3
Ядуурлын мэдрэмж,Зүүн бүс,2003,6.6
Ядуурлын мэдрэмж,Улаанбаатар,2003,3.3
Ядуурлын мэдрэмж,Аймгийн төв,2003,4.7
Ядуурлын мэдрэмж,Сумын төв,2003,6.4
Ядуурлын мэдрэмж,Хөдөө нутаг,2003,5.1
Ядуурлын хамралтын хүрээ,Улсын дундаж,2008,35.2
Ядуурлын хамралтын хүрээ,Хот,2008,26.9
Ядуурлын хамралтын хүрээ,Хөдөө,2008,46.6
Ядуурлын хамралтын хүрээ,Баруун бүс,2008,47.1
Ядуурлын хамралтын хүрээ,Хангайн бүс,2008,46.6
Ядуурлын хамралтын хүрээ,Төвийн бүс,2008,30.7
Ядуурлын хамралтын хүрээ,Зүүн бүс,2008,46.7
Ядуурлын хамралтын хүрээ,Улаанбаатар,2008,21.9
Ядуурлын хамралтын хүрээ,Аймгийн төв,2008,34.9
Ядуурлын хамралтын хүрээ,Сумын төв,2008,42.0
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2008,49.7
Ядуурлын гүнзгийрэлт,Улсын дундаж,2008,10.1
Ядуурлын гүнзгийрэлт,Хот,2008,7.7
Ядуурлын гүнзгийрэлт,Хөдөө,2008,13.4
Ядуурлын гүнзгийрэлт,Баруун бүс,2008,12.8
Ядуурлын гүнзгийрэлт,Хангайн бүс,2008,13.6
Ядуурлын гүнзгийрэлт,Төвийн бүс,2008,8.4
Ядуурлын гүнзгийрэлт,Зүүн бүс,2008,14.9
Ядуурлын гүнзгийрэлт,Улаанбаатар,2008,6.3
Ядуурлын гүнзгийрэлт,Аймгийн төв,2008,9.9
Ядуурлын гүнзгийрэлт,Сумын төв,2008,12.7
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2008,13.9
Ядуурлын мэдрэмж,Улсын дундаж,2008,4.0
Ядуурлын мэдрэмж,Хот,2008,3.1
Ядуурлын мэдрэмж,Хөдөө,2008,5.2
Ядуурлын мэдрэмж,Баруун бүс,2008,4.7
Ядуурлын мэдрэмж,Хангайн бүс,2008,5.3
Ядуурлын мэдрэмж,Төвийн бүс,2008,3.3
Ядуурлын мэдрэмж,Зүүн бүс,2008,6.6
Ядуурлын мэдрэмж,Улаанбаатар,2008,2.6
Ядуурлын мэдрэмж,Аймгийн төв,2008,3.9
Ядуурлын мэдрэмж,Сумын төв,2008,5.2
Ядуурлын мэдрэмж,Хөдөө нутаг,2008,5.3
Ядуурлын хамралтын хүрээ,Улсын дундаж,2009,38.7
Ядуурлын хамралтын хүрээ,Хот,2009,30.6
Ядуурлын хамралтын хүрээ,Хөдөө,2009,49.6
Ядуурлын хамралтын хүрээ,Баруун бүс,2009,48.7
Ядуурлын хамралтын хүрээ,Хангайн бүс,2009,55.2
Ядуурлын хамралтын хүрээ,Төвийн бүс,2009,29.3
Ядуурлын хамралтын хүрээ,Зүүн бүс,2009,43.8
Ядуурлын хамралтын хүрээ,Улаанбаатар,2009,26.7
Ядуурлын хамралтын хүрээ,Аймгийн төв,2009,37.0
Ядуурлын хамралтын хүрээ,Сумын төв,2009,42.6
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2009,53.2
Ядуурлын гүнзгийрэлт,Улсын дундаж,2009,10.6
Ядуурлын гүнзгийрэлт,Хот,2009,7.9
Ядуурлын гүнзгийрэлт,Хөдөө,2009,14.4
Ядуурлын гүнзгийрэлт,Баруун бүс,2009,12.5
Ядуурлын гүнзгийрэлт,Хангайн бүс,2009,17.4
Ядуурлын гүнзгийрэлт,Төвийн бүс,2009,7.7
Ядуурлын гүнзгийрэлт,Зүүн бүс,2009,12.4
Ядуурлын гүнзгийрэлт,Улаанбаатар,2009,6.4
Ядуурлын гүнзгийрэлт,Аймгийн төв,2009,10.3
Ядуурлын гүнзгийрэлт,Сумын төв,2009,12.9
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2009,15.1
Ядуурлын мэдрэмж,Улсын дундаж,2009,4.1
Ядуурлын мэдрэмж,Хот,2009,2.9
Ядуурлын мэдрэмж,Хөдөө,2009,5.6
Ядуурлын мэдрэмж,Баруун бүс,2009,4.6
Ядуурлын мэдрэмж,Хангайн бүс,2009,7.2
Ядуурлын мэдрэмж,Төвийн бүс,2009,2.8
Ядуурлын мэдрэмж,Зүүн бүс,2009,4.8
Ядуурлын мэдрэмж,Улаанбаатар,2009,2.3
Ядуурлын мэдрэмж,Аймгийн төв,2009,4.0
Ядуурлын мэдрэмж,Сумын төв,2009,5.3
Ядуурлын мэдрэмж,Хөдөө нутаг,2009,5.8
Ядуурлын хамралтын хүрээ,Улсын дундаж,2010,38.8
Ядуурлын хамралтын хүрээ,Хот,2010,33.2
Ядуурлын хамралтын хүрээ,Хөдөө,2010,49.0
Ядуурлын хамралтын хүрээ,Баруун бүс,2010,52.7
Ядуурлын хамралтын хүрээ,Хангайн бүс,2010,51.9
Ядуурлын хамралтын хүрээ,Төвийн бүс,2010,29.9
Ядуурлын хамралтын хүрээ,Зүүн бүс,2010,42.3
Ядуурлын хамралтын хүрээ,Улаанбаатар,2010,31.2
Ядуурлын хамралтын хүрээ,Аймгийн төв,2010,37.3
Ядуурлын хамралтын хүрээ,Сумын төв,2010,39.7
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2010,56.1
Ядуурлын гүнзгийрэлт,Улсын дундаж,2010,11.5
Ядуурлын гүнзгийрэлт,Хот,2010,9.4
Ядуурлын гүнзгийрэлт,Хөдөө,2010,15.2
Ядуурлын гүнзгийрэлт,Баруун бүс,2010,16.9
Ядуурлын гүнзгийрэлт,Хангайн бүс,2010,16.1
Ядуурлын гүнзгийрэлт,Төвийн бүс,2010,8.3
Ядуурлын гүнзгийрэлт,Зүүн бүс,2010,13.2
Ядуурлын гүнзгийрэлт,Улаанбаатар,2010,8.5
Ядуурлын гүнзгийрэлт,Аймгийн төв,2010,11.2
Ядуурлын гүнзгийрэлт,Сумын төв,2010,11.9
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2010,17.7
Ядуурлын мэдрэмж,Улсын дундаж,2010,4.6
Ядуурлын мэдрэмж,Хот,2010,3.7
Ядуурлын мэдрэмж,Хөдөө,2010,6.4
Ядуурлын мэдрэмж,Баруун бүс,2010,7.2
Ядуурлын мэдрэмж,Хангайн бүс,2010,6.8
Ядуурлын мэдрэмж,Төвийн бүс,2010,3.2
Ядуурлын мэдрэмж,Зүүн бүс,2010,5.6
Ядуурлын мэдрэмж,Улаанбаатар,2010,3.2
Ядуурлын мэдрэмж,Аймгийн төв,2010,4.6
Ядуурлын мэдрэмж,Сумын төв,2010,4.9
Ядуурлын мэдрэмж,Хөдөө нутаг,2010,7.5
Ядуурлын хамралтын хүрээ,Улсын дундаж,2011,33.7
Ядуурлын хамралтын хүрээ,Хот,2011,28.7
Ядуурлын хамралтын хүрээ,Хөдөө,2011,43.2
Ядуурлын хамралтын хүрээ,Баруун бүс,2011,40.5
Ядуурлын хамралтын хүрээ,Хангайн бүс,2011,49.1
Ядуурлын хамралтын хүрээ,Төвийн бүс,2011,28.1
Ядуурлын хамралтын хүрээ,Зүүн бүс,2011,40.0
Ядуурлын хамралтын хүрээ,Улаанбаатар,2011,25.8
