байршил,он,хувь
Улсын дундаж,1995,36.3
Хот,1995,38.5
Хөдөө,1995,33.1
Улсын дундаж,1998,35.6
Хот,1998,39.4
Хөдөө,1998,32.6
Улсын дундаж,2003,36.1
Хот,2003,30.3
Хөдөө,2003,43.4
Улсын дундаж,2008,35.2
Хот,2008,26.9
Хөдөө,2008,46.6
Улсын дундаж,2009,38.7
Хот,2009,30.6
Хөдөө,2009,49.6
Улсын дундаж,2010,38.8
Хот,2010,33.2
Хөдөө,2010,49.0
Улсын дундаж,2011,33.7
Хот,2011,28.7
Хөдөө,2011,43.2
Улсын дундаж,2012,27.4
Хот,2012,23.3
Хөдөө,2012,35.4
Улсын дундаж,2014,21.6
Хот,2014,18.8
Хөдөө,2014,26.4
Улсын дундаж,2016,29.6
Хот,2016,27.1
Хөдөө,2016,34.9
Улсын дундаж,2018,28.4
Хот,2018,27.2
Хөдөө,2018,30.8
Улсын дундаж,2020,27.8
Хот,2020,26.5
Хөдөө,2020,30.5
Улсын дундаж,2022,27.1
Хот,2022,23.0
Хөдөө,2022,35.6
