year,age_group,count
2012,4-6,30039
2012,7-9,48443
2012,0-3,56323
2012,10 or more,473469
2013,10 or more,532599
2013,4-6,40890
2013,7-9,56633
2013,0-3,42984
2014,4-6,59481
2014,10 or more,584564
2014,0-3,30257
2014,7-9,66143
2015,10 or more,633692
2015,4-6,70262
2015,7-9,64079
2015,0-3,21687
2016,0-3,18134
2016,10 or more,691006
2016,7-9,74543
2016,4-6,57869
2017,7-9,93344
2017,4-6,42882
2017,10 or more,745079
2017,0-3,18840
2018,0-3,34482
2018,10 or more,749081
2018,7-9,129268
2018,4-6,58049
2019,4-6,32424
2019,7-9,175722
2019,0-3,33300
2019,10 or more,801594
2020,7-9,156517
2020,10 or more,905053
2020,4-6,35903
2020,0-3,39261
2021,10 or more,1003207
2021,4-6,40671
2021,7-9,143657
2021,0-3,47172
2022,7-9,170088
2022,0-3,71774
2022,4-6,44227
2022,10 or more,978803
2023,7-9,99338
2023,4-6,51570
2023,0-3,67027
2023,10 or more,974585
2024,7-9,108577
2024,0-3,69854
2024,4-6,66001
2024,10 or more,1094573
2025,10 or more,1156753
2025,7-9,116270
2025,4-6,83227
2025,0-3,62641
