year,province,count
2025,Улаанбаатар,795756
2025,Өмнөговь,74860
2025,Хөвсгөл,42564
2025,Орхон,38527
2025,Сэлэнгэ,36930
2025,Дархан-Уул,36903
2025,Өвөрхангай,34796
2025,Баян-Өлгий,33838
2025,Дорноговь,32229
2025,Ховд,31910
2025,Төв,29364
2025,Дорнод,27331
2025,Увс,25686
2025,Баянхонгор,25522
2025,Архангай,24978
2025,Хэнтий,24286
2025,Завхан,22185
2025,Сүхбаатар,21290
2025,Булган,19230
2025,Говь-Алтай,17914
2025,Дундговь,17535
2025,Говьсүмбэр,5257
2024,Улаанбаатар,796989
2024,Өмнөговь,66152
2024,Хөвсгөл,35439
2024,Орхон,33857
2024,Сэлэнгэ,32358
2024,Дархан-Уул,30877
2024,Өвөрхангай,29915
2024,Дорноговь,29293
2024,Баян-Өлгий,29251
2024,Ховд,28229
2024,Увс,23822
2024,Дорнод,23629
2024,Төв,22863
2024,Баянхонгор,22773
2024,Архангай,21772
2024,Хэнтий,20688
2024,Завхан,19469
2024,Сүхбаатар,19038
2024,Булган,16686
2024,Говь-Алтай,16387
2024,Дундговь,14997
2024,Говьсүмбэр,4521
2023,Улаанбаатар,697870
2023,Өмнөговь,64354
2023,Хөвсгөл,31564
2023,Орхон,30440
2023,Сэлэнгэ,30093
2023,Дархан-Уул,27871
2023,Өвөрхангай,27207
2023,Дорноговь,26664
2023,Баян-Өлгий,25346
2023,Ховд,23799
2023,Увс,21407
2023,Төв,21097
2023,Дорнод,20976
2023,Архангай,20616
2023,Баянхонгор,19969
2023,Хэнтий,19821
2023,Завхан,17790
2023,Сүхбаатар,17370
2023,Булган,15429
2023,Говь-Алтай,14880
2023,Дундговь,13836
2023,Говьсүмбэр,4121
2022,Улаанбаатар,712992
2022,Өмнөговь,65872
2022,Орхон,34962
2022,Сэлэнгэ,34457
2022,Хөвсгөл,34427
2022,Өвөрхангай,33933
2022,Дархан-Уул,32487
2022,Баян-Өлгий,29018
2022,Ховд,27663
2022,Дорноговь,26983
2022,Төв,26392
2022,Баянхонгор,23949
2022,Увс,22709
2022,Хэнтий,22024
2022,Дорнод,21188
2022,Завхан,20143
2022,Архангай,20087
2022,Сүхбаатар,19489
2022,Говь-Алтай,18328
2022,Булган,18133
2022,Дундговь,15034
2022,Говьсүмбэр,4622
2021,Улаанбаатар,662644
2021,Өмнөговь,60619
2021,Өвөрхангай,38814
2021,Хөвсгөл,34450
2021,Орхон,33878
2021,Сэлэнгэ,33572
2021,Дархан-Уул,31283
2021,Дорноговь,30453
2021,Баянхонгор,28774
2021,Баян-Өлгий,28728
2021,Төв,27251
2021,Ховд,26163
2021,Дорнод,25344
2021,Увс,24309
2021,Завхан,22015
2021,Хэнтий,21861
2021,Архангай,21826
2021,Сүхбаатар,19969
2021,Булган,19897
2021,Говь-Алтай,19110
2021,Дундговь,18695
2021,Говьсүмбэр,5052
2020,Улаанбаатар,615622
2020,Өмнөговь,50784
2020,Хөвсгөл,35791
2020,Өвөрхангай,32718
2020,Сэлэнгэ,31925
2020,Орхон,31288
2020,Дархан-Уул,28802
2020,Баянхонгор,27502
2020,Баян-Өлгий,25711
2020,Дорноговь,25568
2020,Төв,25559
2020,Ховд,23808
2020,Дорнод,23140
2020,Увс,21826
2020,Завхан,20378
2020,Архангай,20008
2020,Хэнтий,19651
2020,Булган,18455
2020,Сүхбаатар,18217
2020,Говь-Алтай,17777
2020,Дундговь,17596
2020,Говьсүмбэр,4608
2019,Улаанбаатар,568872
2019,Өмнөговь,42064
2019,Хөвсгөл,31577
2019,Өвөрхангай,30934
2019,Сэлэнгэ,29242
2019,Орхон,29063
2019,Дархан-Уул,26984
2019,Баянхонгор,25292
2019,Дорноговь,24104
2019,Төв,23940
2019,Баян-Өлгий,23154
2019,Ховд,21906
2019,Дорнод,21233
2019,Увс,19352
2019,Завхан,18792
2019,Архангай,17908
2019,Хэнтий,17884
2019,Булган,17272
2019,Сүхбаатар,16825
2019,Дундговь,16280
2019,Говь-Алтай,16023
2019,Говьсүмбэр,4339
2018,Улаанбаатар,537672
2018,Өмнөговь,38973
2018,Өвөрхангай,28510
2018,Хөвсгөл,28313
2018,Сэлэнгэ,27825
2018,Орхон,27107
2018,Дархан-Уул,25291
2018,Баян-Өлгий,23242
2018,Төв,22256
2018,Дорноговь,21840
2018,Баянхонгор,21293
2018,Ховд,19896
2018,Дорнод,19408
2018,Увс,17328
2018,Завхан,17049
2018,Булган,15880
2018,Хэнтий,15829
2018,Архангай,15432
2018,Сүхбаатар,15085
2018,Дундговь,14322
2018,Говь-Алтай,14303
2018,Говьсүмбэр,4026
2017,Улаанбаатар,512007
2017,Өмнөговь,33154
2017,Хөвсгөл,25613
2017,Орхон,25327
2017,Сэлэнгэ,25214
2017,Өвөрхангай,25084
2017,Дархан-Уул,23212
2017,Баян-Өлгий,20746
2017,Төв,20556
2017,Дорноговь,19853
2017,Баянхонгор,19496
2017,Ховд,17792
2017,Дорнод,17387
2017,Завхан,15467
2017,Увс,15250
2017,Булган,14691
2017,Хэнтий,13715
2017,Архангай,13639
2017,Сүхбаатар,13432
2017,Говь-Алтай,12436
2017,Дундговь,12427
2017,Говьсүмбэр,3647
2016,Улаанбаатар,487528
