Sector,Salary (MNT 1000s)
Mining and quarrying,4935.9
Activities of extraterritorial organizations and bodies,4758.1
"Electricity, gas, steam and air conditioning supply",2923.7
Financial and insurance activities,2897.0
"Professional, scientific and technical activities",2709.2
Transportation and storage,2541.6
Information and communication,2467.8
Real estate activities,2461.3
Public administration and defense; compulsory social security,2454.7
Human health and social work activities,2249.1
Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2194.2
Construction,2166.9
Manufacturing,2125.9
"Water supply, sewerage, waste management and remedation activities",2101.8
Education,2018.1
Other service activities,1955.2
Administrative and support service activities,1950.6
"Agriculture, forestry, fishing and hunting",1929.8
"Arts, entertainment and recreation",1843.3
"Wholesale and retail trade, repair of motor vehicles and motorcycles",1818.6
Accomodation and food service activities,1420.7
