Салбар,Цалин (МНТ 1000)
"Уул уурхай, олборлолт",4935.9
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",4758.1
"Цахилгаан, хий, агааржуулалт",2923.7
Санхүүгийн болон даатгалын үйл ажиллагаа,2897.0
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2709.2
Тээвэр ба агуулахын үйл ажиллагаа,2541.6
"Мэдээлэл, холбоо",2467.8
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2461.3
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2454.7
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2249.1
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2194.2
Барилга,2166.9
Боловсруулах үйлдвэрлэл,2125.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2101.8
Боловсрол,2018.1
Үйлчилгээний бусад үйл ажиллагаа,1955.2
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,1950.6
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1929.8
"Урлаг, үзвэр, тоглоом, наадам",1843.3
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1818.6
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1420.7
