level,year,students
Early childhood education,2010,157200
General education,2010,512200
Vocational education,2010,46100
Higher education,2010,170100
Early childhood education,2011,164300
General education,2011,505400
Vocational education,2011,48100
Higher education,2011,172800
Early childhood education,2012,181000
General education,2012,496100
Vocational education,2012,45300
Higher education,2012,175500
Early childhood education,2013,193700
General education,2013,497000
Vocational education,2013,42800
Higher education,2013,174100
Early childhood education,2014,206600
General education,2014,505800
Vocational education,2014,42800
Higher education,2014,178300
Early childhood education,2015,225400
General education,2015,535100
Vocational education,2015,42700
Higher education,2015,162600
Early childhood education,2016,243400
General education,2016,552000
Vocational education,2016,40100
Higher education,2016,157100
Early childhood education,2017,256700
General education,2017,572800
Vocational education,2017,35800
Higher education,2017,155200
Early childhood education,2018,261300
General education,2018,593200
Vocational education,2018,37000
Higher education,2018,157600
Early childhood education,2019,263300
General education,2019,640400
Vocational education,2019,37800
Higher education,2019,148400
Early childhood education,2020,247000
General education,2020,680800
Vocational education,2020,40200
Higher education,2020,147300
Early childhood education,2021,191000
General education,2021,712400
Vocational education,2021,42600
Higher education,2021,149000
Early childhood education,2022,266000
General education,2022,746400
Vocational education,2022,38000
Higher education,2022,145300
Early childhood education,2023,274200
General education,2023,771700
Vocational education,2023,38300
Higher education,2023,145300
Early childhood education,2024,264800
General education,2024,797900
Vocational education,2024,40900
Higher education,2024,150300
Early childhood education,2025,258800
General education,2025,819900
Vocational education,2025,41600
Higher education,2025,161900
