түвшин,он,суралцагчид
Дээд боловсрол,2010,170100
Ерөнхий боловсрол,2010,512200
Мэргэжлийн боловсрол,2010,46100
Сургуулийн өмнөх боловсрол,2010,157200
Дээд боловсрол,2011,172800
Ерөнхий боловсрол,2011,505400
Мэргэжлийн боловсрол,2011,48100
Сургуулийн өмнөх боловсрол,2011,164300
Дээд боловсрол,2012,175500
Ерөнхий боловсрол,2012,496100
Мэргэжлийн боловсрол,2012,45300
Сургуулийн өмнөх боловсрол,2012,181000
Дээд боловсрол,2013,174100
Ерөнхий боловсрол,2013,497000
Мэргэжлийн боловсрол,2013,42800
Сургуулийн өмнөх боловсрол,2013,193700
Дээд боловсрол,2014,178300
Ерөнхий боловсрол,2014,505800
Мэргэжлийн боловсрол,2014,42800
Сургуулийн өмнөх боловсрол,2014,206600
Дээд боловсрол,2015,162600
Ерөнхий боловсрол,2015,535100
Мэргэжлийн боловсрол,2015,42700
Сургуулийн өмнөх боловсрол,2015,225400
Дээд боловсрол,2016,157100
Ерөнхий боловсрол,2016,552000
Мэргэжлийн боловсрол,2016,40100
Сургуулийн өмнөх боловсрол,2016,243400
Дээд боловсрол,2017,155200
Ерөнхий боловсрол,2017,572800
Мэргэжлийн боловсрол,2017,35800
Сургуулийн өмнөх боловсрол,2017,256700
Дээд боловсрол,2018,157600
Ерөнхий боловсрол,2018,593200
Мэргэжлийн боловсрол,2018,37000
Сургуулийн өмнөх боловсрол,2018,261300
Дээд боловсрол,2019,148400
Ерөнхий боловсрол,2019,640400
Мэргэжлийн боловсрол,2019,37800
Сургуулийн өмнөх боловсрол,2019,263300
Дээд боловсрол,2020,147300
Ерөнхий боловсрол,2020,680800
Мэргэжлийн боловсрол,2020,40200
Сургуулийн өмнөх боловсрол,2020,247000
Дээд боловсрол,2021,149000
Ерөнхий боловсрол,2021,712400
Мэргэжлийн боловсрол,2021,42600
Сургуулийн өмнөх боловсрол,2021,191000
Дээд боловсрол,2022,145300
Ерөнхий боловсрол,2022,746400
Мэргэжлийн боловсрол,2022,38000
Сургуулийн өмнөх боловсрол,2022,266000
Дээд боловсрол,2023,145300
Ерөнхий боловсрол,2023,771700
Мэргэжлийн боловсрол,2023,38300
Сургуулийн өмнөх боловсрол,2023,274200
Дээд боловсрол,2024,150300
Ерөнхий боловсрол,2024,797900
Мэргэжлийн боловсрол,2024,40900
Сургуулийн өмнөх боловсрол,2024,264800
Дээд боловсрол,2025,161900
Ерөнхий боловсрол,2025,819900
Мэргэжлийн боловсрол,2025,41600
Сургуулийн өмнөх боловсрол,2025,258800
