үзүүлэлт,он,сурагч
Yүнээс: Эмэгтэй,2010,257302
Ахлах,2010,73727
Бага,2010,265639
Бүгд,2010,512213
Дунд,2010,172847
Төрийн өмчийн,2010,484878
Хувийн өмчийн,2010,27335
Yүнээс: Эмэгтэй,2011,253456
Ахлах,2011,79550
Бага,2011,256584
Бүгд,2011,505409
Дунд,2011,169275
Төрийн өмчийн,2011,477073
Хувийн өмчийн,2011,28336
Yүнээс: Эмэгтэй,2012,248974
Ахлах,2012,95418
Бага,2012,245387
Бүгд,2012,496123
Дунд,2012,155318
Төрийн өмчийн,2012,467918
Хувийн өмчийн,2012,28205
Yүнээс: Эмэгтэй,2013,248960
Ахлах,2013,93100
Бага,2013,239289
Бүгд,2013,497022
Дунд,2013,164633
Төрийн өмчийн,2013,468370
Хувийн өмчийн,2013,28652
Yүнээс: Эмэгтэй,2014,253505
Ахлах,2014,95978
Бага,2014,251204
Бүгд,2014,505816
Дунд,2014,158634
Төрийн өмчийн,2014,476676
Хувийн өмчийн,2014,29140
Yүнээс: Эмэгтэй,2015,269384
Ахлах,2015,116337
Бага,2015,271687
Бүгд,2015,535055
Дунд,2015,147031
Төрийн өмчийн,2015,504070
Хувийн өмчийн,2015,30985
Yүнээс: Эмэгтэй,2016,277047
Ахлах,2016,96244
Бага,2016,288345
Бүгд,2016,551953
Дунд,2016,167364
Төрийн өмчийн,2016,520201
Хувийн өмчийн,2016,31752
Yүнээс: Эмэгтэй,2017,286014
Ахлах,2017,87187
Бага,2017,309355
Бүгд,2017,572752
Дунд,2017,176210
Төрийн өмчийн,2017,537740
Хувийн өмчийн,2017,35012
Yүнээс: Эмэгтэй,2018,295558
Ахлах,2018,82114
Бага,2018,327019
Бүгд,2018,593150
Дунд,2018,184017
Төрийн өмчийн,2018,553562
Хувийн өмчийн,2018,39588
Yүнээс: Эмэгтэй,2019,319912
Ахлах,2019,97009
Бага,2019,342634
Бүгд,2019,640449
Дунд,2019,200806
Төрийн өмчийн,2019,593438
Хувийн өмчийн,2019,47011
Yүнээс: Эмэгтэй,2020,339681
Ахлах,2020,101780
Бага,2020,356904
Бүгд,2020,680837
Дунд,2020,222153
Төрийн өмчийн,2020,632499
Хувийн өмчийн,2020,48338
Yүнээс: Эмэгтэй,2021,355170
Ахлах,2021,102525
Бага,2021,371480
Бүгд,2021,712353
Дунд,2021,238348
Төрийн өмчийн,2021,658634
Хувийн өмчийн,2021,53719
Yүнээс: Эмэгтэй,2022,371533
Ахлах,2022,113056
Бага,2022,382002
Бүгд,2022,746405
Дунд,2022,251347
Төрийн өмчийн,2022,683708
Хувийн өмчийн,2022,62697
Yүнээс: Эмэгтэй,2023,383583
Ахлах,2023,127975
Бага,2023,381481
Бүгд,2023,771722
Дунд,2023,262266
Төрийн өмчийн,2023,701065
Хувийн өмчийн,2023,70657
Yүнээс: Эмэгтэй,2024,396663
Ахлах,2024,144315
Бага,2024,379647
Бүгд,2024,797905
Дунд,2024,273943
Төрийн өмчийн,2024,721758
Хувийн өмчийн,2024,76147
Yүнээс: Эмэгтэй,2025,407097
Ахлах,2025,150871
Бага,2025,378408
Бүгд,2025,819907
Дунд,2025,290628
Төрийн өмчийн,2025,739382
Хувийн өмчийн,2025,80525
