crop_type,year,value
Cereals,1978,569.9
Fodder crops,1978,102.6
Potatoes,1978,2.3
Vegetables,1978,6.6
Cereals,1979,585.5
Fodder crops,1979,102.1
Potatoes,1979,7.3
Vegetables,1979,2.4
Cereals,1980,557.5
Fodder crops,1980,136.7
Potatoes,1980,7.4
Vegetables,1980,9.8
Cereals,1981,542.3
Fodder crops,1981,133.8
Potatoes,1981,4.7
Vegetables,1981,2.5
Cereals,1982,529.1
Fodder crops,1982,102.9
Potatoes,1982,7.5
Vegetables,1982,3.0
Cereals,1983,586.6
Fodder crops,1983,124.2
Potatoes,1983,9.6
Vegetables,1983,2.8
Cereals,1984,619.6
Fodder crops,1984,124.7
Potatoes,1984,9.7
Vegetables,1984,2.9
Cereals,1985,636.2
Fodder crops,1985,139.8
Potatoes,1985,10.3
Vegetables,1985,3.3
Cereals,1986,629.7
Fodder crops,1986,159.0
Potatoes,1986,11.2
Vegetables,1986,3.8
Cereals,1987,622.9
Fodder crops,1987,160.8
Potatoes,1987,12.4
Vegetables,1987,4.0
Cereals,1988,641.6
Fodder crops,1988,169.5
Potatoes,1988,13.1
Vegetables,1988,4.1
Cereals,1989,673.4
Fodder crops,1989,147.7
Potatoes,1989,12.6
Vegetables,1989,4.2
Cereals,1990,654.1
Fodder crops,1990,117.8
Potatoes,1990,12.2
Vegetables,1990,3.6
Cereals,1991,615.3
Fodder crops,1991,79.9
Potatoes,1991,10.1
Vegetables,1991,2.8
Cereals,1992,592.6
Fodder crops,1992,52.9
Potatoes,1992,8.7
Vegetables,1992,2.2
Cereals,2014,315.03
Fodder crops,2014,16.98
Industrial crops,2014,86.68
Potatoes,2014,13.2
Vegetables,2014,8.66
Cereals,2015,390.69
Fodder crops,2015,23.84
Industrial crops,2015,84.46
Potatoes,2015,12.82
Vegetables,2015,7.65
Cereals,2016,377.8
Fodder crops,2016,29.89
Industrial crops,2016,66.18
Potatoes,2016,14.95
Vegetables,2016,8.9
Cereals,2017,390.86
Fodder crops,2017,26.22
Industrial crops,2017,81.01
Potatoes,2017,15.15
Vegetables,2017,8.36
Cereals,2018,366.81
Fodder crops,2018,46.31
Industrial crops,2018,71.95
Potatoes,2018,12.92
Vegetables,2018,8.87
Cereals,2019,369.45
Fodder crops,2019,43.8
Industrial crops,2019,86.18
Potatoes,2019,14.94
Vegetables,2019,8.44
Cereals,2020,408.07
Fodder crops,2020,84.54
Industrial crops,2020,64.64
Potatoes,2020,19.02
Vegetables,2020,10.57
Cereals,2021,432.75
Fodder crops,2021,108.34
Industrial crops,2021,99.68
Potatoes,2021,21.42
Vegetables,2021,11.22
Cereals,2022,385.06
Fodder crops,2022,73.51
Industrial crops,2022,124.11
Potatoes,2022,21.01
Vegetables,2022,14.21
Cereals,2023,363.06
Fodder crops,2023,106.93
Industrial crops,2023,136.91
Potatoes,2023,19.42
Vegetables,2023,15.79
Cereals,2024,354.36
Fodder crops,2024,100.81
Industrial crops,2024,132.39
Potatoes,2024,19.61
Vegetables,2024,20.23
Cereals,2025,310.87
Fodder crops,2025,93.36
Industrial crops,2025,154.79
Potatoes,2025,13.39
Vegetables,2025,16.33
