region,year,sown_area
Arkhangai,1960,15.6
Arkhangai,1961,17.84
Arkhangai,1962,17.69
Arkhangai,1963,14.59
Arkhangai,1964,17.68
Arkhangai,1965,21.0
Arkhangai,1966,20.89
Arkhangai,1967,21.0
Arkhangai,1968,23.56
Arkhangai,1969,20.73
Arkhangai,1970,16.44
Arkhangai,1971,18.97
Arkhangai,1972,19.26
Arkhangai,1973,19.86
Arkhangai,1974,20.34
Arkhangai,1975,21.4
Arkhangai,1976,23.17
Arkhangai,1977,24.04
Arkhangai,1978,25.2
Arkhangai,1979,29.23
Arkhangai,1980,31.32
Arkhangai,1981,31.48
Arkhangai,1982,33.63
Arkhangai,1983,37.12
Arkhangai,1984,43.19
Arkhangai,1985,42.93
Arkhangai,1986,42.82
Arkhangai,1987,43.93
Arkhangai,1988,46.01
Arkhangai,1989,47.08
Arkhangai,1990,46.7
Arkhangai,1991,39.32
Arkhangai,1992,31.59
Arkhangai,1993,26.63
Arkhangai,1994,22.34
Arkhangai,1995,22.08
Arkhangai,1996,15.8
Arkhangai,1997,4.31
Arkhangai,1998,2.68
Arkhangai,1999,2.1
Arkhangai,2000,1.91
Arkhangai,2001,1.92
Arkhangai,2002,3.63
Arkhangai,2003,4.59
Arkhangai,2004,2.11
Arkhangai,2005,1.87
Arkhangai,2006,1.42
Arkhangai,2007,1.63
Arkhangai,2008,2.29
Arkhangai,2009,4.81
Arkhangai,2010,5.31
Arkhangai,2011,4.94
Arkhangai,2012,5.08
Arkhangai,2013,3.61
Arkhangai,2014,4.64
Arkhangai,2015,7.59
Arkhangai,2016,7.94
Arkhangai,2017,11.52
Arkhangai,2018,10.62
Arkhangai,2019,11.3
Arkhangai,2020,14.39
Arkhangai,2021,15.69
Arkhangai,2022,16.92
Arkhangai,2023,17.49
Arkhangai,2024,15.15
Arkhangai,2025,12.35
Bayan-Ulgii,1960,1.73
Bayan-Ulgii,1961,1.87
Bayan-Ulgii,1962,3.85
Bayan-Ulgii,1963,2.74
Bayan-Ulgii,1964,2.21
Bayan-Ulgii,1965,2.5
Bayan-Ulgii,1966,2.42
Bayan-Ulgii,1967,2.51
Bayan-Ulgii,1968,2.27
Bayan-Ulgii,1969,2.48
Bayan-Ulgii,1970,1.92
Bayan-Ulgii,1971,2.08
Bayan-Ulgii,1972,2.17
Bayan-Ulgii,1973,2.26
Bayan-Ulgii,1974,2.33
Bayan-Ulgii,1975,2.38
Bayan-Ulgii,1976,2.5
Bayan-Ulgii,1977,2.57
Bayan-Ulgii,1978,2.37
Bayan-Ulgii,1979,2.57
Bayan-Ulgii,1980,3.28
Bayan-Ulgii,1981,3.38
Bayan-Ulgii,1982,3.91
Bayan-Ulgii,1983,4.33
Bayan-Ulgii,1984,5.27
Bayan-Ulgii,1985,4.9
Bayan-Ulgii,1986,5.42
Bayan-Ulgii,1987,5.49
Bayan-Ulgii,1988,5.71
Bayan-Ulgii,1989,5.32
Bayan-Ulgii,1990,5.18
Bayan-Ulgii,1991,3.85
Bayan-Ulgii,1992,3.76
Bayan-Ulgii,1993,2.71
Bayan-Ulgii,1994,0.37
Bayan-Ulgii,1995,1.23
