он,тариалсан_талбай
1960,265.5
1961,382.7
1962,439.4
1963,455.1
1964,453.9
1965,480.6
1966,460.9
1967,482.5
1968,492.1
1969,490.6
1970,454.6
1971,464.9
1972,475.3
1973,488.5
1974,494.9
1975,509.9
1976,538.3
1977,592.3
1978,681.4
1979,697.3
1980,704.0
1981,683.3
1982,641.5
1983,723.1
1984,756.9
1985,789.6
1986,803.7
1987,800.2
1988,828.4
1989,837.9
1990,787.8
1991,708.4
1992,657.7
1993,584.8
1994,470.6
1995,372.6
1996,347.8
1997,333.8
1998,326.6
1999,296.3
2000,209.3
2001,217.6
2002,285.7
2003,225.9
2004,200.5
2005,189.5
2006,162.0
2007,202.7
2008,192.5
2009,282.2
2010,316.4
2011,347.4
2012,381.7
2013,418.0
2014,444.4
2015,527.7
2016,508.1
2017,527.0
2018,511.8
2019,526.0
2020,591.2
2021,678.3
2022,621.7
2023,645.8
2024,635.9
2025,601.7
