classification,year,teachers
Total,2010,40335
Total - Female,2010,31688
Kindergartens,2010,4651
Kindergartens - Female,2010,4569
General educational schools,2010,26358
General educational schools - Female,2010,21614
Technical and vocational educational institutions,2010,2143
Technical and vocational educational institutions - Female,2010,1331
"Universities, institutes, colleges",2010,7183
"Universities, institutes, colleges - Female",2010,4174
Total,2011,40787
Total - Female,2011,32147
Kindergartens,2011,4907
Kindergartens - Female,2011,4813
General educational schools,2011,26492
General educational schools - Female,2011,21717
Technical and vocational educational institutions,2011,2093
Technical and vocational educational institutions - Female,2011,1330
"Universities, institutes, colleges",2011,7295
"Universities, institutes, colleges - Female",2011,4287
Total,2012,41762
Total - Female,2012,33006
Kindergartens,2012,5332
Kindergartens - Female,2012,5238
General educational schools,2012,26863
General educational schools - Female,2012,21936
Technical and vocational educational institutions,2012,2236
Technical and vocational educational institutions - Female,2012,1461
"Universities, institutes, colleges",2012,7331
"Universities, institutes, colleges - Female",2012,4371
Total,2013,42983
Total - Female,2013,33974
Kindergartens,2013,5895
Kindergartens - Female,2013,5773
General educational schools,2013,27205
General educational schools - Female,2013,22051
Technical and vocational educational institutions,2013,2498
Technical and vocational educational institutions - Female,2013,1608
"Universities, institutes, colleges",2013,7385
"Universities, institutes, colleges - Female",2013,4542
Total,2014,43462
Total - Female,2014,34456
Kindergartens,2014,6158
Kindergartens - Female,2014,6046
General educational schools,2014,27449
General educational schools - Female,2014,22285
Technical and vocational educational institutions,2014,2327
Technical and vocational educational institutions - Female,2014,1497
"Universities, institutes, colleges",2014,7528
"Universities, institutes, colleges - Female",2014,4628
Total,2015,44948
Total - Female,2015,35795
Kindergartens,2015,6833
Kindergartens - Female,2015,6686
General educational schools,2015,28490
General educational schools - Female,2015,23120
Technical and vocational educational institutions,2015,2504
Technical and vocational educational institutions - Female,2015,1621
"Universities, institutes, colleges",2015,7121
"Universities, institutes, colleges - Female",2015,4368
Total,2016,45618
Total - Female,2016,36325
Kindergartens,2016,7302
Kindergartens - Female,2016,7142
General educational schools,2016,28889
General educational schools - Female,2016,23479
Technical and vocational educational institutions,2016,2510
Technical and vocational educational institutions - Female,2016,1574
"Universities, institutes, colleges",2016,6917
"Universities, institutes, colleges - Female",2016,4130
Total,2017,45941
Total - Female,2017,36784
Kindergartens,2017,7745
Kindergartens - Female,2017,7542
General educational schools,2017,29242
General educational schools - Female,2017,23876
Technical and vocational educational institutions,2017,2230
Technical and vocational educational institutions - Female,2017,1369
"Universities, institutes, colleges",2017,6724
"Universities, institutes, colleges - Female",2017,3997
Total,2018,47391
Total - Female,2018,38080
Kindergartens,2018,7843
Kindergartens - Female,2018,7609
General educational schools,2018,30411
General educational schools - Female,2018,24879
Technical and vocational educational institutions,2018,2469
Technical and vocational educational institutions - Female,2018,1564
"Universities, institutes, colleges",2018,6668
"Universities, institutes, colleges - Female",2018,4028
Total,2019,49871
Total - Female,2019,40000
Kindergartens,2019,8068
Kindergartens - Female,2019,7809
General educational schools,2019,32085
General educational schools - Female,2019,26149
Technical and vocational educational institutions,2019,2388
Technical and vocational educational institutions - Female,2019,1551
"Universities, institutes, colleges",2019,7330
"Universities, institutes, colleges - Female",2019,4491
Total,2020,52285
Total - Female,2020,41992
Kindergartens,2020,8827
Kindergartens - Female,2020,8516
General educational schools,2020,34073
General educational schools - Female,2020,27729
Technical and vocational educational institutions,2020,2242
Technical and vocational educational institutions - Female,2020,1433
"Universities, institutes, colleges",2020,7143
"Universities, institutes, colleges - Female",2020,4314
Total,2021,52160
Total - Female,2021,42256
Kindergartens,2021,8824
Kindergartens - Female,2021,8487
General educational schools,2021,35110
General educational schools - Female,2021,28642
Technical and vocational educational institutions,2021,2124
Technical and vocational educational institutions - Female,2021,1387
"Universities, institutes, colleges",2021,6102
"Universities, institutes, colleges - Female",2021,3740
Total,2022,52989
Total - Female,2022,43273
Kindergartens,2022,9450
Kindergartens - Female,2022,9098
General educational schools,2022,36118
General educational schools - Female,2022,29546
Technical and vocational educational institutions,2022,2252
Technical and vocational educational institutions - Female,2022,1460
"Universities, institutes, colleges",2022,5169
"Universities, institutes, colleges - Female",2022,3169
Total,2023,54189
Total - Female,2023,44338
Kindergartens,2023,9733
Kindergartens - Female,2023,9332
General educational schools,2023,36993
General educational schools - Female,2023,30341
Technical and vocational educational institutions,2023,2351
Technical and vocational educational institutions - Female,2023,1524
"Universities, institutes, colleges",2023,5112
"Universities, institutes, colleges - Female",2023,3141
Total,2024,55006
Total - Female,2024,45191
Kindergartens,2024,9945
Kindergartens - Female,2024,9496
General educational schools,2024,37770
General educational schools - Female,2024,31161
Technical and vocational educational institutions,2024,2140
Technical and vocational educational institutions - Female,2024,1391
"Universities, institutes, colleges",2024,5151
"Universities, institutes, colleges - Female",2024,3143
Total,2025,56853
Total - Female,2025,46753
Kindergartens,2025,10298
Kindergartens - Female,2025,9819
General educational schools,2025,39126
General educational schools - Female,2025,32292
Technical and vocational educational institutions,2025,2163
Technical and vocational educational institutions - Female,2025,1400
"Universities, institutes, colleges",2025,5266
"Universities, institutes, colleges - Female",2025,3242
