ангилал,он,багш
Бүгд,2010,40335
Бүгд - Эмэгтэй,2010,31688
Цэцэрлэг,2010,4651
Цэцэрлэг - Эмэгтэй,2010,4569
Ерөнхий боловсролын сургууль,2010,26358
Ерөнхий боловсролын сургууль - Эмэгтэй,2010,21614
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2010,2143
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2010,1331
"Их, дээд сургууль, коллеж",2010,7183
"Их, дээд сургууль, коллеж - Эмэгтэй",2010,4174
Бүгд,2011,40787
Бүгд - Эмэгтэй,2011,32147
Цэцэрлэг,2011,4907
Цэцэрлэг - Эмэгтэй,2011,4813
Ерөнхий боловсролын сургууль,2011,26492
Ерөнхий боловсролын сургууль - Эмэгтэй,2011,21717
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2011,2093
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2011,1330
"Их, дээд сургууль, коллеж",2011,7295
"Их, дээд сургууль, коллеж - Эмэгтэй",2011,4287
Бүгд,2012,41762
Бүгд - Эмэгтэй,2012,33006
Цэцэрлэг,2012,5332
Цэцэрлэг - Эмэгтэй,2012,5238
Ерөнхий боловсролын сургууль,2012,26863
Ерөнхий боловсролын сургууль - Эмэгтэй,2012,21936
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2012,2236
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2012,1461
"Их, дээд сургууль, коллеж",2012,7331
"Их, дээд сургууль, коллеж - Эмэгтэй",2012,4371
Бүгд,2013,42983
Бүгд - Эмэгтэй,2013,33974
Цэцэрлэг,2013,5895
Цэцэрлэг - Эмэгтэй,2013,5773
Ерөнхий боловсролын сургууль,2013,27205
Ерөнхий боловсролын сургууль - Эмэгтэй,2013,22051
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2013,2498
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2013,1608
"Их, дээд сургууль, коллеж",2013,7385
"Их, дээд сургууль, коллеж - Эмэгтэй",2013,4542
Бүгд,2014,43462
Бүгд - Эмэгтэй,2014,34456
Цэцэрлэг,2014,6158
Цэцэрлэг - Эмэгтэй,2014,6046
Ерөнхий боловсролын сургууль,2014,27449
Ерөнхий боловсролын сургууль - Эмэгтэй,2014,22285
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2014,2327
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2014,1497
"Их, дээд сургууль, коллеж",2014,7528
"Их, дээд сургууль, коллеж - Эмэгтэй",2014,4628
Бүгд,2015,44948
Бүгд - Эмэгтэй,2015,35795
Цэцэрлэг,2015,6833
Цэцэрлэг - Эмэгтэй,2015,6686
Ерөнхий боловсролын сургууль,2015,28490
Ерөнхий боловсролын сургууль - Эмэгтэй,2015,23120
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2015,2504
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2015,1621
"Их, дээд сургууль, коллеж",2015,7121
"Их, дээд сургууль, коллеж - Эмэгтэй",2015,4368
Бүгд,2016,45618
Бүгд - Эмэгтэй,2016,36325
Цэцэрлэг,2016,7302
Цэцэрлэг - Эмэгтэй,2016,7142
Ерөнхий боловсролын сургууль,2016,28889
Ерөнхий боловсролын сургууль - Эмэгтэй,2016,23479
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2016,2510
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2016,1574
"Их, дээд сургууль, коллеж",2016,6917
"Их, дээд сургууль, коллеж - Эмэгтэй",2016,4130
Бүгд,2017,45941
Бүгд - Эмэгтэй,2017,36784
Цэцэрлэг,2017,7745
Цэцэрлэг - Эмэгтэй,2017,7542
Ерөнхий боловсролын сургууль,2017,29242
Ерөнхий боловсролын сургууль - Эмэгтэй,2017,23876
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2017,2230
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2017,1369
"Их, дээд сургууль, коллеж",2017,6724
"Их, дээд сургууль, коллеж - Эмэгтэй",2017,3997
Бүгд,2018,47391
Бүгд - Эмэгтэй,2018,38080
Цэцэрлэг,2018,7843
Цэцэрлэг - Эмэгтэй,2018,7609
Ерөнхий боловсролын сургууль,2018,30411
Ерөнхий боловсролын сургууль - Эмэгтэй,2018,24879
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2018,2469
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2018,1564
"Их, дээд сургууль, коллеж",2018,6668
"Их, дээд сургууль, коллеж - Эмэгтэй",2018,4028
Бүгд,2019,49871
Бүгд - Эмэгтэй,2019,40000
Цэцэрлэг,2019,8068
Цэцэрлэг - Эмэгтэй,2019,7809
Ерөнхий боловсролын сургууль,2019,32085
Ерөнхий боловсролын сургууль - Эмэгтэй,2019,26149
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2019,2388
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2019,1551
"Их, дээд сургууль, коллеж",2019,7330
"Их, дээд сургууль, коллеж - Эмэгтэй",2019,4491
Бүгд,2020,52285
Бүгд - Эмэгтэй,2020,41992
Цэцэрлэг,2020,8827
Цэцэрлэг - Эмэгтэй,2020,8516
Ерөнхий боловсролын сургууль,2020,34073
Ерөнхий боловсролын сургууль - Эмэгтэй,2020,27729
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2020,2242
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2020,1433
"Их, дээд сургууль, коллеж",2020,7143
"Их, дээд сургууль, коллеж - Эмэгтэй",2020,4314
Бүгд,2021,52160
Бүгд - Эмэгтэй,2021,42256
Цэцэрлэг,2021,8824
Цэцэрлэг - Эмэгтэй,2021,8487
Ерөнхий боловсролын сургууль,2021,35110
Ерөнхий боловсролын сургууль - Эмэгтэй,2021,28642
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2021,2124
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2021,1387
"Их, дээд сургууль, коллеж",2021,6102
"Их, дээд сургууль, коллеж - Эмэгтэй",2021,3740
Бүгд,2022,52989
Бүгд - Эмэгтэй,2022,43273
Цэцэрлэг,2022,9450
Цэцэрлэг - Эмэгтэй,2022,9098
Ерөнхий боловсролын сургууль,2022,36118
Ерөнхий боловсролын сургууль - Эмэгтэй,2022,29546
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2022,2252
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2022,1460
"Их, дээд сургууль, коллеж",2022,5169
"Их, дээд сургууль, коллеж - Эмэгтэй",2022,3169
Бүгд,2023,54189
Бүгд - Эмэгтэй,2023,44338
Цэцэрлэг,2023,9733
Цэцэрлэг - Эмэгтэй,2023,9332
Ерөнхий боловсролын сургууль,2023,36993
Ерөнхий боловсролын сургууль - Эмэгтэй,2023,30341
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2023,2351
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2023,1524
"Их, дээд сургууль, коллеж",2023,5112
"Их, дээд сургууль, коллеж - Эмэгтэй",2023,3141
Бүгд,2024,55006
Бүгд - Эмэгтэй,2024,45191
Цэцэрлэг,2024,9945
Цэцэрлэг - Эмэгтэй,2024,9496
Ерөнхий боловсролын сургууль,2024,37770
Ерөнхий боловсролын сургууль - Эмэгтэй,2024,31161
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2024,2140
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2024,1391
"Их, дээд сургууль, коллеж",2024,5151
"Их, дээд сургууль, коллеж - Эмэгтэй",2024,3143
Бүгд,2025,56853
Бүгд - Эмэгтэй,2025,46753
Цэцэрлэг,2025,10298
Цэцэрлэг - Эмэгтэй,2025,9819
Ерөнхий боловсролын сургууль,2025,39126
Ерөнхий боловсролын сургууль - Эмэгтэй,2025,32292
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага,2025,2163
Техникийн болон мэргэжлийн боловсролын сургалтын байгууллага - Эмэгтэй,2025,1400
"Их, дээд сургууль, коллеж",2025,5266
"Их, дээд сургууль, коллеж - Эмэгтэй",2025,3242
