month,indicator,temperature
2005-01,Average,-22.0
2005-01,Maximum,-8.0
2005-01,Minimum,-33.0
2005-02,Average,-24.4
2005-02,Maximum,-8.0
2005-02,Minimum,-35.4
2005-03,Average,-8.2
2005-03,Maximum,12.9
2005-03,Minimum,-28.2
2005-04,Average,1.9
2005-04,Maximum,20.2
2005-04,Minimum,-13.9
2005-05,Average,9.0
2005-05,Maximum,24.2
2005-05,Minimum,-8.4
2005-06,Average,16.0
2005-06,Maximum,35.6
2005-06,Minimum,2.1
2005-07,Average,20.5
2005-07,Maximum,36.5
2005-07,Minimum,9.0
2005-08,Average,18.2
2005-08,Maximum,33.4
2005-08,Minimum,10.1
2005-09,Average,9.9
2005-09,Maximum,27.5
2005-09,Minimum,-3.3
2005-10,Average,2.6
2005-10,Maximum,16.8
2005-10,Minimum,-8.8
2005-11,Average,-8.5
2005-11,Maximum,10.3
2005-11,Minimum,-17.6
2005-12,Average,-19.4
2005-12,Maximum,-3.3
2005-12,Minimum,-31.3
2006-01,Average,-20.5
2006-01,Maximum,-5.4
2006-01,Minimum,-31.0
2006-02,Average,-17.3
2006-02,Maximum,2.9
2006-02,Minimum,-37.3
2006-03,Average,-6.3
2006-03,Maximum,12.2
2006-03,Minimum,-21.4
2006-04,Average,-0.5
2006-04,Maximum,18.3
2006-04,Minimum,-15.9
2006-05,Average,8.0
2006-05,Maximum,27.0
2006-05,Minimum,-6.2
2006-06,Average,15.2
2006-06,Maximum,28.4
2006-06,Minimum,2.0
2006-07,Average,18.0
2006-07,Maximum,33.0
2006-07,Minimum,6.6
2006-08,Average,17.6
2006-08,Maximum,31.6
2006-08,Minimum,5.3
2006-09,Average,11.1
2006-09,Maximum,28.0
2006-09,Minimum,-3.3
2006-10,Average,2.6
2006-10,Maximum,20.9
2006-10,Minimum,-12.6
2006-11,Average,-8.4
2006-11,Maximum,8.5
2006-11,Minimum,-24.9
2006-12,Average,-16.1
2006-12,Maximum,-5.5
2006-12,Minimum,-27.3
2007-01,Average,-18.7
2007-01,Maximum,-4.6
2007-01,Minimum,-26.8
2007-02,Average,-10.4
2007-02,Maximum,11.1
2007-02,Minimum,-22.6
2007-03,Average,-9.0
2007-03,Maximum,11.0
2007-03,Minimum,-26.5
2007-04,Average,3.6
2007-04,Maximum,21.8
2007-04,Minimum,-12.7
2007-05,Average,11.8
2007-05,Maximum,31.4
2007-05,Minimum,-1.7
2007-06,Average,18.7
2007-06,Maximum,35.4
2007-06,Minimum,0.5
2007-07,Average,21.9
2007-07,Maximum,38.0
2007-07,Minimum,7.6
2007-08,Average,18.3
2007-08,Maximum,33.8
2007-08,Minimum,8.7
2007-09,Average,13.2
2007-09,Maximum,27.0
2007-09,Minimum,-3.4
2007-10,Average,0.2
2007-10,Maximum,19.8
2007-10,Minimum,-15.2
2007-11,Average,-9.1
2007-11,Maximum,7.8
2007-11,Minimum,-20.8
2007-12,Average,-16.8
2007-12,Maximum,-3.8
2007-12,Minimum,-26.6
2008-01,Average,-23.6
2008-01,Maximum,-11.8
2008-01,Minimum,-33.8
2008-02,Average,-17.7
2008-02,Maximum,1.3
2008-02,Minimum,-31.6
2008-03,Average,-2.4
2008-03,Maximum,11.0
2008-03,Minimum,-18.1
2008-04,Average,5.2
2008-04,Maximum,20.4
2008-04,Minimum,-10.1
2008-05,Average,8.2
2008-05,Maximum,28.6
2008-05,Minimum,-5.3
2008-06,Average,17.4
2008-06,Maximum,34.0
2008-06,Minimum,1.8
2008-07,Average,20.2
2008-07,Maximum,34.8
2008-07,Minimum,9.2
2008-08,Average,17.3
2008-08,Maximum,33.6
2008-08,Minimum,2.2
2008-09,Average,10.9
2008-09,Maximum,24.6
2008-09,Minimum,-3.0
2008-10,Average,1.5
2008-10,Maximum,15.8
2008-10,Minimum,-14.0
2008-11,Average,-7.1
2008-11,Maximum,7.4
2008-11,Minimum,-20.0
2008-12,Average,-19.1
2008-12,Maximum,-6.7
2008-12,Minimum,-32.5
2009-01,Average,-20.5
2009-01,Maximum,-6.8
2009-01,Minimum,-32.9
2009-02,Average,-17.3
2009-02,Maximum,0.0
2009-02,Minimum,-33.3
2009-03,Average,-7.5
2009-03,Maximum,6.9
2009-03,Minimum,-25.6
2009-04,Average,7.2
2009-04,Maximum,24.1
2009-04,Minimum,-8.1
2009-05,Average,12.3
2009-05,Maximum,29.8
