сар,үзүүлэлт,температур
2005-01,Дундаж,-22.0
2005-01,Хамгийн бага,-33.0
2005-01,Хамгийн их,-8.0
2005-02,Дундаж,-24.4
2005-02,Хамгийн бага,-35.4
2005-02,Хамгийн их,-8.0
2005-03,Дундаж,-8.2
2005-03,Хамгийн бага,-28.2
2005-03,Хамгийн их,12.9
2005-04,Дундаж,1.9
2005-04,Хамгийн бага,-13.9
2005-04,Хамгийн их,20.2
2005-05,Дундаж,9.0
2005-05,Хамгийн бага,-8.4
2005-05,Хамгийн их,24.2
2005-06,Дундаж,16.0
2005-06,Хамгийн бага,2.1
2005-06,Хамгийн их,35.6
2005-07,Дундаж,20.5
2005-07,Хамгийн бага,9.0
2005-07,Хамгийн их,36.5
2005-08,Дундаж,18.2
2005-08,Хамгийн бага,10.1
2005-08,Хамгийн их,33.4
2005-09,Дундаж,9.9
2005-09,Хамгийн бага,-3.3
2005-09,Хамгийн их,27.5
2005-10,Дундаж,2.6
2005-10,Хамгийн бага,-8.8
2005-10,Хамгийн их,16.8
2005-11,Дундаж,-8.5
2005-11,Хамгийн бага,-17.6
2005-11,Хамгийн их,10.3
2005-12,Дундаж,-19.4
2005-12,Хамгийн бага,-31.3
2005-12,Хамгийн их,-3.3
2006-01,Дундаж,-20.5
2006-01,Хамгийн бага,-31.0
2006-01,Хамгийн их,-5.4
2006-02,Дундаж,-17.3
2006-02,Хамгийн бага,-37.3
2006-02,Хамгийн их,2.9
2006-03,Дундаж,-6.3
2006-03,Хамгийн бага,-21.4
2006-03,Хамгийн их,12.2
2006-04,Дундаж,-0.5
2006-04,Хамгийн бага,-15.9
2006-04,Хамгийн их,18.3
2006-05,Дундаж,8.0
2006-05,Хамгийн бага,-6.2
2006-05,Хамгийн их,27.0
2006-06,Дундаж,15.2
2006-06,Хамгийн бага,2.0
2006-06,Хамгийн их,28.4
2006-07,Дундаж,18.0
2006-07,Хамгийн бага,6.6
2006-07,Хамгийн их,33.0
2006-08,Дундаж,17.6
2006-08,Хамгийн бага,5.3
2006-08,Хамгийн их,31.6
2006-09,Дундаж,11.1
2006-09,Хамгийн бага,-3.3
2006-09,Хамгийн их,28.0
2006-10,Дундаж,2.6
2006-10,Хамгийн бага,-12.6
2006-10,Хамгийн их,20.9
2006-11,Дундаж,-8.4
2006-11,Хамгийн бага,-24.9
2006-11,Хамгийн их,8.5
2006-12,Дундаж,-16.1
2006-12,Хамгийн бага,-27.3
2006-12,Хамгийн их,-5.5
2007-01,Дундаж,-18.7
2007-01,Хамгийн бага,-26.8
2007-01,Хамгийн их,-4.6
2007-02,Дундаж,-10.4
2007-02,Хамгийн бага,-22.6
2007-02,Хамгийн их,11.1
2007-03,Дундаж,-9.0
2007-03,Хамгийн бага,-26.5
2007-03,Хамгийн их,11.0
2007-04,Дундаж,3.6
2007-04,Хамгийн бага,-12.7
2007-04,Хамгийн их,21.8
2007-05,Дундаж,11.8
2007-05,Хамгийн бага,-1.7
2007-05,Хамгийн их,31.4
2007-06,Дундаж,18.7
2007-06,Хамгийн бага,0.5
2007-06,Хамгийн их,35.4
2007-07,Дундаж,21.9
2007-07,Хамгийн бага,7.6
2007-07,Хамгийн их,38.0
2007-08,Дундаж,18.3
2007-08,Хамгийн бага,8.7
2007-08,Хамгийн их,33.8
2007-09,Дундаж,13.2
2007-09,Хамгийн бага,-3.4
2007-09,Хамгийн их,27.0
2007-10,Дундаж,0.2
2007-10,Хамгийн бага,-15.2
2007-10,Хамгийн их,19.8
2007-11,Дундаж,-9.1
2007-11,Хамгийн бага,-20.8
2007-11,Хамгийн их,7.8
2007-12,Дундаж,-16.8
2007-12,Хамгийн бага,-26.6
2007-12,Хамгийн их,-3.8
2008-01,Дундаж,-23.6
2008-01,Хамгийн бага,-33.8
2008-01,Хамгийн их,-11.8
2008-02,Дундаж,-17.7
2008-02,Хамгийн бага,-31.6
2008-02,Хамгийн их,1.3
2008-03,Дундаж,-2.4
2008-03,Хамгийн бага,-18.1
2008-03,Хамгийн их,11.0
2008-04,Дундаж,5.2
2008-04,Хамгийн бага,-10.1
2008-04,Хамгийн их,20.4
2008-05,Дундаж,8.2
2008-05,Хамгийн бага,-5.3
2008-05,Хамгийн их,28.6
2008-06,Дундаж,17.4
2008-06,Хамгийн бага,1.8
2008-06,Хамгийн их,34.0
2008-07,Дундаж,20.2
2008-07,Хамгийн бага,9.2
2008-07,Хамгийн их,34.8
2008-08,Дундаж,17.3
2008-08,Хамгийн бага,2.2
2008-08,Хамгийн их,33.6
2008-09,Дундаж,10.9
2008-09,Хамгийн бага,-3.0
2008-09,Хамгийн их,24.6
2008-10,Дундаж,1.5
2008-10,Хамгийн бага,-14.0
2008-10,Хамгийн их,15.8
2008-11,Дундаж,-7.1
2008-11,Хамгийн бага,-20.0
2008-11,Хамгийн их,7.4
2008-12,Дундаж,-19.1
2008-12,Хамгийн бага,-32.5
2008-12,Хамгийн их,-6.7
2009-01,Дундаж,-20.5
2009-01,Хамгийн бага,-32.9
2009-01,Хамгийн их,-6.8
2009-02,Дундаж,-17.3
2009-02,Хамгийн бага,-33.3
2009-02,Хамгийн их,0.0
2009-03,Дундаж,-7.5
2009-03,Хамгийн бага,-25.6
2009-03,Хамгийн их,6.9
2009-04,Дундаж,7.2
2009-04,Хамгийн бага,-8.1
2009-04,Хамгийн их,24.1
2009-05,Дундаж,12.3
2009-05,Хамгийн бага,-4.0
2009-05,Хамгийн их,29.8
2009-06,Дундаж,16.5
2009-06,Хамгийн бага,1.8
2009-06,Хамгийн их,30.0
2009-07,Дундаж,25.1
2009-07,Хамгийн бага,10.2
2009-07,Хамгийн их,33.3
2009-08,Дундаж,16.7
2009-08,Хамгийн бага,4.2
2009-08,Хамгийн их,32.5
2009-09,Дундаж,10.1
2009-09,Хамгийн бага,-4.4
2009-09,Хамгийн их,28.7
2009-10,Дундаж,1.2
2009-10,Хамгийн бага,-12.7
2009-10,Хамгийн их,17.9
2009-11,Дундаж,-13.5
2009-11,Хамгийн бага,-25.5
2009-11,Хамгийн их,9.5
2009-12,Дундаж,-20.9
2009-12,Хамгийн бага,-33.6
2009-12,Хамгийн их,-5.2
2010-01,Дундаж,-23.6
2010-01,Хамгийн бага,-35.7
2010-01,Хамгийн их,-7.4
2010-02,Дундаж,-20.8
2010-02,Хамгийн бага,-31.1
2010-02,Хамгийн их,-4.6
2010-03,Дундаж,-11.5
2010-03,Хамгийн бага,-29.1
2010-03,Хамгийн их,7.8
2010-04,Дундаж,-2.2
2010-04,Хамгийн бага,-17.0
2010-04,Хамгийн их,22.3
2010-05,Дундаж,12.1
2010-05,Хамгийн бага,-1.5
2010-05,Хамгийн их,29.5
2010-06,Дундаж,19.4
2010-06,Хамгийн бага,3.4
2010-06,Хамгийн их,38.3
2010-07,Дундаж,21.7
2010-07,Хамгийн бага,7.4
2010-07,Хамгийн их,37.4
2010-08,Дундаж,15.6
2010-08,Хамгийн бага,2.4
2010-08,Хамгийн их,30.1
2010-09,Дундаж,12.2
2010-09,Хамгийн бага,-5.3
2010-09,Хамгийн их,31.5
2010-10,Дундаж,1.6
2010-10,Хамгийн бага,-9.8
2010-10,Хамгийн их,21.9
2010-11,Дундаж,-8.9
2010-11,Хамгийн бага,-23.9
2010-11,Хамгийн их,8.1
2010-12,Дундаж,-19.0
2010-12,Хамгийн бага,-33.0
2010-12,Хамгийн их,-3.0
2011-01,Дундаж,-23.8
2011-01,Хамгийн бага,-32.5
2011-01,Хамгийн их,-10.5
2011-02,Дундаж,-15.6
2011-02,Хамгийн бага,-27.5
2011-02,Хамгийн их,1.8
2011-03,Дундаж,-9.6
2011-03,Хамгийн бага,-27.1
2011-03,Хамгийн их,12.6
2011-04,Дундаж,4.2
2011-04,Хамгийн бага,-10.2
2011-04,Хамгийн их,23.5
2011-05,Дундаж,8.2
2011-05,Хамгийн бага,-5.4
2011-05,Хамгийн их,26.8
2011-06,Дундаж,17.3
2011-06,Хамгийн бага,5.9
2011-06,Хамгийн их,32.1
2011-07,Дундаж,17.4
2011-07,Хамгийн бага,6.1
2011-07,Хамгийн их,29.7
2011-08,Дундаж,18.4
2011-08,Хамгийн бага,5.7
2011-08,Хамгийн их,31.8
2011-09,Дундаж,8.0
2011-09,Хамгийн бага,-6.9
2011-09,Хамгийн их,23.9
2011-10,Дундаж,3.7
2011-10,Хамгийн бага,-7.7
2011-10,Хамгийн их,22.0
2011-11,Дундаж,-10.4
2011-11,Хамгийн бага,-24.6
2011-11,Хамгийн их,9.3
2011-12,Дундаж,-22.1
2011-12,Хамгийн бага,-31.5
2011-12,Хамгийн их,-11.4
2012-01,Дундаж,-25.5
2012-01,Хамгийн бага,-37.0
2012-01,Хамгийн их,-11.6
2012-02,Дундаж,-20.2
2012-02,Хамгийн бага,-34.4
2012-02,Хамгийн их,-6.4
2012-03,Дундаж,-8.0
2012-03,Хамгийн бага,-23.9
2012-03,Хамгийн их,14.0
2012-04,Дундаж,2.7
2012-04,Хамгийн бага,-9.7
2012-04,Хамгийн их,21.7
2012-05,Дундаж,11.5
2012-05,Хамгийн бага,-2.0
2012-05,Хамгийн их,29.5
2012-06,Дундаж,15.2
2012-06,Хамгийн бага,4.0
2012-06,Хамгийн их,32.7
2012-07,Дундаж,18.0
2012-07,Хамгийн бага,7.5
2012-07,Хамгийн их,29.4
2012-08,Дундаж,15.9
2012-08,Хамгийн бага,0.0
2012-08,Хамгийн их,30.9
2012-09,Дундаж,11.6
2012-09,Хамгийн бага,-1.9
2012-09,Хамгийн их,27.4
2012-10,Дундаж,0.2
2012-10,Хамгийн бага,-14.1
2012-10,Хамгийн их,17.8
2012-11,Дундаж,-12.3
2012-11,Хамгийн бага,-28.4
2012-11,Хамгийн их,8.1
2012-12,Дундаж,-22.4
2012-12,Хамгийн бага,-32.9
2012-12,Хамгийн их,-9.5
2013-01,Дундаж,-20.8
2013-01,Хамгийн бага,-33.2
2013-01,Хамгийн их,-7.1
2013-02,Дундаж,-19.4
2013-02,Хамгийн бага,-29.9
2013-02,Хамгийн их,-2.5
2013-03,Дундаж,-6.3
2013-03,Хамгийн бага,-20.8
2013-03,Хамгийн их,9.6
2013-04,Дундаж,0.2
2013-04,Хамгийн бага,-14.8
2013-04,Хамгийн их,19.5
2013-05,Дундаж,11.6
2013-05,Хамгийн бага,-1.1
2013-05,Хамгийн их,28.7
2013-06,Дундаж,15.8
2013-06,Хамгийн бага,1.8
2013-06,Хамгийн их,29.5
2013-07,Дундаж,17.9
2013-07,Хамгийн бага,7.3
2013-07,Хамгийн их,30.0
2013-08,Дундаж,15.5
2013-08,Хамгийн бага,3.4
2013-08,Хамгийн их,27.4
2013-09,Дундаж,9.3
2013-09,Хамгийн бага,-4.2
2013-09,Хамгийн их,26.5
2013-10,Дундаж,1.0
2013-10,Хамгийн бага,-12.4
2013-10,Хамгийн их,20.2
2013-11,Дундаж,-8.0
2013-11,Хамгийн бага,-20.6
2013-11,Хамгийн их,9.1
2013-12,Дундаж,-15.9
2013-12,Хамгийн бага,-28.7
2013-12,Хамгийн их,-3.1
2014-01,Дундаж,-18.5
2014-01,Хамгийн бага,-31.6
2014-01,Хамгийн их,-3.7
2014-02,Дундаж,-18.4
2014-02,Хамгийн бага,-29.5
2014-02,Хамгийн их,2.1
2014-03,Дундаж,-4.7
