month,station,temperature
2005-01,Choibalsan,-22.0
2005-01,Dalanzadgad,-15.7
2005-01,Darkhan,-26.4
2005-01,Khovd,-31.3
2005-01,Ulaanbaatar,-22.0
2005-02,Choibalsan,-22.8
2005-02,Dalanzadgad,-18.6
2005-02,Darkhan,-28.9
2005-02,Khovd,-30.6
2005-02,Ulaanbaatar,-24.4
2005-03,Choibalsan,-8.2
2005-03,Dalanzadgad,-2.0
2005-03,Darkhan,-8.3
2005-03,Khovd,-9.3
2005-03,Ulaanbaatar,-8.2
2005-04,Choibalsan,3.9
2005-04,Dalanzadgad,8.7
2005-04,Darkhan,4.0
2005-04,Khovd,6.6
2005-04,Ulaanbaatar,1.9
2005-05,Choibalsan,11.5
2005-05,Dalanzadgad,14.2
2005-05,Darkhan,11.0
2005-05,Khovd,11.4
2005-05,Ulaanbaatar,9.0
2005-06,Choibalsan,20.0
2005-06,Dalanzadgad,21.3
2005-06,Darkhan,18.2
2005-06,Khovd,17.9
2005-06,Ulaanbaatar,16.0
2005-07,Choibalsan,21.9
2005-07,Dalanzadgad,24.6
2005-07,Darkhan,22.4
2005-07,Khovd,21.3
2005-07,Ulaanbaatar,20.5
2005-08,Choibalsan,21.2
2005-08,Dalanzadgad,21.0
2005-08,Darkhan,19.9
2005-08,Khovd,17.6
2005-08,Ulaanbaatar,18.2
2005-09,Choibalsan,13.3
2005-09,Dalanzadgad,15.5
2005-09,Darkhan,11.9
2005-09,Khovd,12.1
2005-09,Ulaanbaatar,9.9
2005-10,Choibalsan,5.1
2005-10,Dalanzadgad,6.8
2005-10,Darkhan,5.4
2005-10,Khovd,3.6
2005-10,Ulaanbaatar,2.6
2005-11,Choibalsan,-7.3
2005-11,Dalanzadgad,-2.4
2005-11,Darkhan,-9.2
2005-11,Khovd,-8.0
2005-11,Ulaanbaatar,-8.5
2005-12,Choibalsan,-19.0
2005-12,Dalanzadgad,-14.9
2005-12,Darkhan,-22.5
2005-12,Khovd,-23.9
2005-12,Ulaanbaatar,-19.4
2006-01,Choibalsan,-21.8
2006-01,Dalanzadgad,-12.8
2006-01,Darkhan,-24.9
2006-01,Khovd,-19.7
2006-01,Ulaanbaatar,-20.5
2006-02,Choibalsan,-18.1
2006-02,Dalanzadgad,-9.3
2006-02,Darkhan,-18.4
2006-02,Khovd,-12.9
2006-02,Ulaanbaatar,-17.3
2006-03,Choibalsan,-6.1
2006-03,Dalanzadgad,-0.3
2006-03,Darkhan,-4.6
2006-03,Khovd,-3.4
2006-03,Ulaanbaatar,-6.3
2006-04,Choibalsan,1.0
2006-04,Dalanzadgad,6.8
2006-04,Darkhan,1.6
2006-04,Khovd,5.7
2006-04,Ulaanbaatar,-0.5
2006-05,Choibalsan,11.8
2006-05,Dalanzadgad,14.1
2006-05,Darkhan,10.2
2006-05,Khovd,10.8
2006-05,Ulaanbaatar,8.0
2006-06,Choibalsan,17.8
2006-06,Dalanzadgad,19.9
2006-06,Darkhan,18.2
2006-06,Khovd,17.7
2006-06,Ulaanbaatar,15.2
2006-07,Choibalsan,20.4
2006-07,Dalanzadgad,22.1
2006-07,Darkhan,21.3
2006-07,Khovd,19.7
2006-07,Ulaanbaatar,18.0
2006-08,Choibalsan,20.2
2006-08,Dalanzadgad,23.2
2006-08,Darkhan,18.2
2006-08,Khovd,18.3
2006-08,Ulaanbaatar,17.6
2006-09,Choibalsan,13.9
2006-09,Dalanzadgad,15.4
2006-09,Darkhan,11.0
2006-09,Khovd,11.8
2006-09,Ulaanbaatar,11.1
2006-10,Choibalsan,3.8
2006-10,Dalanzadgad,9.1
2006-10,Darkhan,3.8
2006-10,Khovd,4.5
2006-10,Ulaanbaatar,2.6
2006-11,Choibalsan,-8.9
2006-11,Dalanzadgad,-2.2
2006-11,Darkhan,-7.6
2006-11,Khovd,-6.2
2006-11,Ulaanbaatar,-8.4
2006-12,Choibalsan,-15.2
2006-12,Dalanzadgad,-12.4
2006-12,Darkhan,-22.5
2006-12,Khovd,-16.8
2006-12,Ulaanbaatar,-16.1
2007-01,Choibalsan,-19.1
2007-01,Dalanzadgad,-11.8
2007-01,Darkhan,-20.0
2007-01,Khovd,-21.5
2007-01,Ulaanbaatar,-18.7
2007-02,Choibalsan,-11.4
2007-02,Dalanzadgad,-2.7
2007-02,Darkhan,-10.4
2007-02,Khovd,-12.8
2007-02,Ulaanbaatar,-10.4
2007-03,Choibalsan,-8.1
2007-03,Dalanzadgad,-2.2
2007-03,Darkhan,-5.9
2007-03,Khovd,-4.6
