year,region,tourists
2006,East Asia and the Pacific,257234
2006,Europe,128652
2006,America,14790
2006,South Asia,1385
2006,Middle East,1240
2006,Africa,1077
2006,Stateless,102
2007,East Asia and the Pacific,289603
2007,Europe,143159
2007,America,15417
2007,Middle East,1301
2007,South Asia,1254
2007,Africa,801
2007,Stateless,253
2008,East Asia and the Pacific,273292
2008,Europe,153363
2008,America,15812
2008,Middle East,1582
2008,South Asia,1351
2008,Africa,615
2008,Stateless,378
2009,East Asia and the Pacific,247065
2009,Europe,146872
2009,America,14169
2009,Middle East,1594
2009,South Asia,1428
2009,Africa,488
2009,Stateless,48
2010,East Asia and the Pacific,270197
2010,Europe,164672
2010,America,16508
2010,Middle East,2529
2010,South Asia,1570
2010,Africa,595
2010,Stateless,11
2011,East Asia and the Pacific,282659
2011,Europe,147546
2011,America,19885
2011,South Asia,5800
2011,Middle East,2327
2011,Africa,2134
2011,Stateless,9
2012,East Asia and the Pacific,321625
2012,Europe,128530
2012,America,19984
2012,Middle East,2914
2012,South Asia,2023
2012,Africa,812
2012,Stateless,4
2013,East Asia and the Pacific,271967
2013,Europe,119540
2013,America,18947
2013,Middle East,3987
2013,South Asia,2307
2013,Africa,1064
2013,Stateless,3
2014,East Asia and the Pacific,252513
2014,Europe,116286
2014,America,17635
2014,Middle East,3528
2014,South Asia,2031
2014,Africa,849
2014,Stateless,2
2015,East Asia and the Pacific,244613
2015,Europe,116161
2015,America,18586
2015,Middle East,3897
2015,South Asia,2119
2015,Africa,808
2015,Stateless,20
2016,East Asia and the Pacific,243242
2016,Europe,133174
2016,America,20461
2016,Middle East,3730
2016,South Asia,2699
2016,Africa,848
2016,Stateless,9
2017,East Asia and the Pacific,280157
2017,Europe,159297
2017,America,22200
2017,Middle East,3794
2017,South Asia,2864
2017,Africa,966
2017,Stateless,31
2018,East Asia and the Pacific,313575
2018,Europe,182803
2018,America,23640
2018,Middle East,4707
2018,South Asia,3568
2018,Africa,1045
2018,Stateless,32
2019,East Asia and the Pacific,342138
2019,Europe,198056
2019,America,24945
2019,South Asia,6032
2019,Middle East,5010
2019,Africa,1084
2019,Stateless,35
2020,Europe,33964
2020,East Asia and the Pacific,22505
2020,America,1404
2020,Middle East,585
2020,South Asia,233
2020,Africa,166
2020,Stateless,2
2021,Europe,18825
2021,East Asia and the Pacific,10119
2021,Middle East,1791
2021,America,1748
2021,South Asia,452
2021,Africa,164
2021,Stateless,1
2022,Europe,172543
2022,East Asia and the Pacific,97026
2022,America,10126
2022,Middle East,4322
2022,South Asia,1650
2022,Africa,604
2022,Stateless,11
2023,East Asia and the Pacific,314099
2023,Europe,251575
2023,America,16409
2023,Middle East,7975
2023,South Asia,2989
2023,Africa,960
2023,Stateless,6
2024,East Asia and the Pacific,438477
2024,Europe,257544
2024,America,18219
2024,Middle East,8699
2024,South Asia,3451
2024,Africa,987
2024,Stateless,9
2025,East Asia and the Pacific,509749
2025,Europe,291950
2025,America,23980
2025,Middle East,15740
2025,South Asia,4759
2025,Africa,980
2025,Stateless,12
