он,бүс_нутаг,жуулчид
2006,Зүүн Ази болон Номхон далайн орнууд,257234
2006,Европ,128652
2006,Америк,14790
2006,Өмнөд Ази,1385
2006,Ойрхи Дорнод,1240
2006,Африк,1077
2006,Харьяалалгүй,102
2007,Зүүн Ази болон Номхон далайн орнууд,289603
2007,Европ,143159
2007,Америк,15417
2007,Ойрхи Дорнод,1301
2007,Өмнөд Ази,1254
2007,Африк,801
2007,Харьяалалгүй,253
2008,Зүүн Ази болон Номхон далайн орнууд,273292
2008,Европ,153363
2008,Америк,15812
2008,Ойрхи Дорнод,1582
2008,Өмнөд Ази,1351
2008,Африк,615
2008,Харьяалалгүй,378
2009,Зүүн Ази болон Номхон далайн орнууд,247065
2009,Европ,146872
2009,Америк,14169
2009,Ойрхи Дорнод,1594
2009,Өмнөд Ази,1428
2009,Африк,488
2009,Харьяалалгүй,48
2010,Зүүн Ази болон Номхон далайн орнууд,270197
2010,Европ,164672
2010,Америк,16508
2010,Ойрхи Дорнод,2529
2010,Өмнөд Ази,1570
2010,Африк,595
2010,Харьяалалгүй,11
2011,Зүүн Ази болон Номхон далайн орнууд,282659
2011,Европ,147546
2011,Америк,19885
2011,Өмнөд Ази,5800
2011,Ойрхи Дорнод,2327
2011,Африк,2134
2011,Харьяалалгүй,9
2012,Зүүн Ази болон Номхон далайн орнууд,321625
2012,Европ,128530
2012,Америк,19984
2012,Ойрхи Дорнод,2914
2012,Өмнөд Ази,2023
2012,Африк,812
2012,Харьяалалгүй,4
2013,Зүүн Ази болон Номхон далайн орнууд,271967
2013,Европ,119540
2013,Америк,18947
2013,Ойрхи Дорнод,3987
2013,Өмнөд Ази,2307
2013,Африк,1064
2013,Харьяалалгүй,3
2014,Зүүн Ази болон Номхон далайн орнууд,252513
2014,Европ,116286
2014,Америк,17635
2014,Ойрхи Дорнод,3528
2014,Өмнөд Ази,2031
2014,Африк,849
2014,Харьяалалгүй,2
2015,Зүүн Ази болон Номхон далайн орнууд,244613
2015,Европ,116161
2015,Америк,18586
2015,Ойрхи Дорнод,3897
2015,Өмнөд Ази,2119
2015,Африк,808
2015,Харьяалалгүй,20
2016,Зүүн Ази болон Номхон далайн орнууд,243242
2016,Европ,133174
2016,Америк,20461
2016,Ойрхи Дорнод,3730
2016,Өмнөд Ази,2699
2016,Африк,848
2016,Харьяалалгүй,9
2017,Зүүн Ази болон Номхон далайн орнууд,280157
2017,Европ,159297
2017,Америк,22200
2017,Ойрхи Дорнод,3794
2017,Өмнөд Ази,2864
2017,Африк,966
2017,Харьяалалгүй,31
2018,Зүүн Ази болон Номхон далайн орнууд,313575
2018,Европ,182803
2018,Америк,23640
2018,Ойрхи Дорнод,4707
2018,Өмнөд Ази,3568
2018,Африк,1045
2018,Харьяалалгүй,32
2019,Зүүн Ази болон Номхон далайн орнууд,342138
2019,Европ,198056
2019,Америк,24945
2019,Өмнөд Ази,6032
2019,Ойрхи Дорнод,5010
2019,Африк,1084
2019,Харьяалалгүй,35
2020,Европ,33964
2020,Зүүн Ази болон Номхон далайн орнууд,22505
2020,Америк,1404
2020,Ойрхи Дорнод,585
2020,Өмнөд Ази,233
2020,Африк,166
2020,Харьяалалгүй,2
2021,Европ,18825
2021,Зүүн Ази болон Номхон далайн орнууд,10119
2021,Ойрхи Дорнод,1791
2021,Америк,1748
2021,Өмнөд Ази,452
2021,Африк,164
2021,Харьяалалгүй,1
2022,Европ,172543
2022,Зүүн Ази болон Номхон далайн орнууд,97026
2022,Америк,10126
2022,Ойрхи Дорнод,4322
2022,Өмнөд Ази,1650
2022,Африк,604
2022,Харьяалалгүй,11
2023,Зүүн Ази болон Номхон далайн орнууд,314099
2023,Европ,251575
2023,Америк,16409
2023,Ойрхи Дорнод,7975
2023,Өмнөд Ази,2989
2023,Африк,960
2023,Харьяалалгүй,6
2024,Зүүн Ази болон Номхон далайн орнууд,438477
2024,Европ,257544
2024,Америк,18219
2024,Ойрхи Дорнод,8699
2024,Өмнөд Ази,3451
2024,Африк,987
2024,Харьяалалгүй,9
2025,Зүүн Ази болон Номхон далайн орнууд,509749
2025,Европ,291950
2025,Америк,23980
2025,Ойрхи Дорнод,15740
2025,Өмнөд Ази,4759
2025,Африк,980
2025,Харьяалалгүй,12
