indicator,year,value
Exports,1924,1.4
Imports,1924,1.1
Exports,1925,1.5
Imports,1925,1.5
Exports,1926,3.1
Imports,1926,1.9
Exports,1927,4.9
Imports,1927,3.1
Exports,1928,1.8
Imports,1928,0.8
Exports,1929,6.2
Imports,1929,4.1
Exports,1930,8.0
Imports,1930,7.2
Exports,1931,11.6
Imports,1931,15.1
Exports,1932,7.8
Imports,1932,16.7
Exports,1933,8.4
Imports,1933,18.8
Exports,1934,13.8
Imports,1934,30.2
Exports,1935,5.4
Imports,1935,7.9
Exports,1936,1.4
Imports,1936,2.2
Exports,1937,1.1
Imports,1937,2.1
Exports,1938,1.2
Imports,1938,2.2
Exports,1939,2.1
Imports,1939,2.4
Exports,1940,2.3
Imports,1940,3.8
Exports,1941,4.3
Imports,1941,3.5
Exports,1942,4.5
Imports,1942,1.9
Exports,1943,4.7
Imports,1943,2.6
Exports,1944,4.8
Imports,1944,3.1
Exports,1945,4.6
Imports,1945,4.1
Exports,1946,4.1
Imports,1946,4.4
Exports,1947,7.3
Imports,1947,5.1
Exports,1948,5.5
Imports,1948,4.9
Exports,1949,5.8
Imports,1949,5.3
Exports,1950,7.8
Imports,1950,7.3
Exports,1951,9.4
Imports,1951,8.3
Exports,1952,9.8
Imports,1952,9.0
Exports,1953,10.7
Imports,1953,9.1
Exports,1954,11.9
Imports,1954,10.5
Exports,1955,11.8
Imports,1955,11.4
Exports,1956,12.7
Imports,1956,15.0
Exports,1957,12.9
Imports,1957,17.0
Exports,1958,12.5
Imports,1958,17.4
Exports,1959,13.9
Imports,1959,18.6
Exports,1960,16.3
Imports,1960,21.8
Exports,1961,75.3
Imports,1961,137.0
Exports,1962,78.9
Imports,1962,130.4
Exports,1963,67.9
Imports,1963,101.1
Exports,1964,66.3
Imports,1964,118.0
Exports,1965,81.0
Imports,1965,98.4
Exports,1966,82.0
Imports,1966,109.0
Exports,1967,86.1
Imports,1967,116.2
Exports,1968,77.2
Imports,1968,116.1
Exports,1969,76.6
Imports,1969,110.4
Exports,1970,84.4
Imports,1970,120.7
Exports,1971,105.5
Imports,1971,128.3
Exports,1972,131.0
Imports,1972,158.5
Exports,1973,166.5
Imports,1973,228.6
Exports,1974,205.9
Imports,1974,225.2
Exports,1975,218.2
Imports,1975,265.8
Exports,1976,216.7
Imports,1976,264.4
Exports,1977,217.1
Imports,1977,302.3
Exports,1978,264.2
Imports,1978,329.4
Exports,1979,323.5
Imports,1979,376.3
Exports,1980,402.8
Imports,1980,547.8
Exports,1981,468.8
Imports,1981,703.7
Exports,1982,561.8
Imports,1982,790.9
Exports,1983,609.9
Imports,1983,928.2
Exports,1984,674.4
Imports,1984,975.2
Exports,1985,689.1
Imports,1985,1095.5
Exports,1986,716.1
Imports,1986,1139.7
Exports,1987,717.9
Imports,1987,1104.6
Exports,1988,739.1
Imports,1988,1113.6
Exports,1989,721.5
Imports,1989,963.0
Exports,1990,660.7
Imports,1990,924.0
Exports,1991,348.0
Imports,1991,360.9
Exports,1992,388.4
Imports,1992,418.3
Exports,1993,382.6
Imports,1993,379.0
Exports,1994,356.1
Imports,1994,258.4
Exports,1995,473.3
Imports,1995,415.3
Exports,1996,424.3
Imports,1996,450.9
Exports,1997,568.5
Imports,1997,468.3
Exports,1998,462.3
Imports,1998,503.3
Exports,1999,454.2
Imports,1999,512.8
Exports,2000,535.8
Imports,2000,614.5
Exports,2001,521.5
Imports,2001,637.7
Exports,2002,524.0
Imports,2002,690.8
Exports,2003,615.9
Imports,2003,801.0
Exports,2004,869.7
Imports,2004,1021.1
Exports,2005,1063.9
Imports,2005,1177.3
Exports,2006,1542.0
Imports,2006,1435.0
Exports,2007,1947.5
Imports,2007,2061.8
Exports,2008,2534.5
Imports,2008,3244.5
Exports,2009,1885.4
Imports,2009,2137.7
Exports,2010,2908.5
Imports,2010,3200.1
Exports,2011,4817.5
Imports,2011,6598.36
Exports,2012,4384.67
Imports,2012,6738.38
Exports,2013,4269.06
Imports,2013,6357.82
Exports,2014,5774.33
Imports,2014,5236.67
Exports,2015,4669.28
Imports,2015,3797.52
Exports,2016,4916.33
Imports,2016,3339.62
Exports,2017,6200.59
Imports,2017,4337.32
Exports,2018,7011.76
Imports,2018,5874.8
Exports,2019,7619.63
Imports,2019,6127.52
Exports,2020,7576.31
Imports,2020,5298.91
Exports,2021,9241.12
Imports,2021,6845.45
Exports,2022,12538.59
Imports,2022,8704.39
Exports,2023,15186.9
Imports,2023,9250.25
Exports,2024,15783.38
Imports,2024,11614.66
