ангилал,он,утга
Хот,2024,6.8
Хот,2023,6.3
Хот,2022,7.7
Хот,2021,9.8
Хот,2020,8.0
Хот,2019,12.3
Хот,2018,9.4
Хот,2017,10.4
Хот,2016,12.2
Хот,2015,8.7
Хот,2014,8.5
Хот,2013,8.5
Хот,2012,9.7
Хот,2011,8.3
Хот,2010,11.6
Хот,2009,15.0
Хөдөө,2024,2.2
Хөдөө,2023,3.7
Хөдөө,2022,4.0
Хөдөө,2021,5.8
Хөдөө,2020,4.6
Хөдөө,2019,5.9
Хөдөө,2018,5.2
Хөдөө,2017,6.3
Хөдөө,2016,6.8
Хөдөө,2015,5.7
Хөдөө,2014,7.2
Хөдөө,2013,7.2
Хөдөө,2012,6.5
Хөдөө,2011,7.0
Хөдөө,2010,7.8
Хөдөө,2009,7.3
Улаанбаатар,2024,5.8
Улаанбаатар,2023,5.0
Улаанбаатар,2022,5.8
Улаанбаатар,2021,8.1
Улаанбаатар,2020,6.3
Улаанбаатар,2019,11.2
Улаанбаатар,2018,7.6
Улаанбаатар,2017,7.5
Улаанбаатар,2016,9.1
Улаанбаатар,2015,6.9
Улаанбаатар,2014,5.1
Улаанбаатар,2013,4.6
Улаанбаатар,2012,7.1
Улаанбаатар,2011,5.6
Улаанбаатар,2010,8.7
Улаанбаатар,2009,14.0
