ангилал,он,утга
Баруун бүс,2025,9.5
Баруун бүс,2024,7.3
Баруун бүс,2023,5.7
Баруун бүс,2022,9.2
Баруун бүс,2021,9.1
Баруун бүс,2020,8.3
Баруун бүс,2019,11.1
Баруун бүс,2018,8.9
Баруун бүс,2017,10.7
Баруун бүс,2016,12.1
Баруун бүс,2015,9.2
Баруун бүс,2014,13.3
Баруун бүс,2013,11.9
Баруун бүс,2012,9.8
Баруун бүс,2011,10.8
Баруун бүс,2010,10.1
Баруун бүс,2009,7.5
Хангайн бүс,2025,5.3
Хангайн бүс,2024,6.1
Хангайн бүс,2023,5.7
Хангайн бүс,2022,6.5
Хангайн бүс,2021,7.9
Хангайн бүс,2020,6.2
Хангайн бүс,2019,8.1
Хангайн бүс,2018,7.1
Хангайн бүс,2017,9.8
Хангайн бүс,2016,10.6
Хангайн бүс,2015,4.9
Хангайн бүс,2014,6.8
Хангайн бүс,2013,9.8
Хангайн бүс,2012,8.3
Хангайн бүс,2011,8.3
Хангайн бүс,2010,11.9
Хангайн бүс,2009,12.0
Төвийн бүс,2025,5.2
Төвийн бүс,2024,5.7
Төвийн бүс,2023,6.2
Төвийн бүс,2022,6.3
Төвийн бүс,2021,10.3
Төвийн бүс,2020,6.8
Төвийн бүс,2019,7.3
Төвийн бүс,2018,7.6
Төвийн бүс,2017,8.3
Төвийн бүс,2016,9.2
Төвийн бүс,2015,8.9
Төвийн бүс,2014,9.2
Төвийн бүс,2013,7.7
Төвийн бүс,2012,7.7
Төвийн бүс,2011,6.8
Төвийн бүс,2010,9.3
Төвийн бүс,2009,11.2
Зүүн бүс,2025,6.3
Зүүн бүс,2024,4.3
Зүүн бүс,2023,3.8
Зүүн бүс,2022,4.6
Зүүн бүс,2021,4.9
Зүүн бүс,2020,7.8
Зүүн бүс,2019,11.1
Зүүн бүс,2018,8.7
Зүүн бүс,2017,10.4
Зүүн бүс,2016,11.4
Зүүн бүс,2015,10.7
Зүүн бүс,2014,13.1
Зүүн бүс,2013,11.2
Зүүн бүс,2012,10.8
Зүүн бүс,2011,11.1
Зүүн бүс,2010,10.5
Зүүн бүс,2009,9.1
