category,year,value
Male,2025,6.0
Male,2024,6.2
Male,2023,6.0
Male,2022,7.3
Male,2021,8.7
Male,2020,6.9
Male,2019,10.7
Male,2018,8.3
Male,2017,9.6
Male,2016,11.6
Male,2015,8.2
Male,2014,8.5
Male,2013,7.6
Male,2012,8.4
Male,2011,8.1
Male,2010,10.5
Male,2009,11.6
Female,2025,4.8
Female,2024,5.6
Female,2023,4.5
Female,2022,5.3
Female,2021,7.8
Female,2020,6.6
Female,2019,8.9
Female,2018,7.1
Female,2017,7.8
Female,2016,8.2
Female,2015,6.7
Female,2014,7.3
Female,2013,8.3
Female,2012,8.1
Female,2011,7.4
Female,2010,9.2
Female,2009,11.6
