чиглэл,он,төгсөгч
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2024,255
"Урлаг, хүмүүнлэг",2024,1934
"Бизнес, удирдахуй, хууль, эрх зүй",2024,6433
Боловсрол,2024,3151
"Инженер, үйлдвэрлэл, барилга угсралт",2024,2701
"Эрүүл мэнд, нийгмийн хамгаалал",2024,4886
"Мэдээлэл, харилцаа холбооны технологи",2024,1230
"Байгалийн шинжлэх ухаан, математик, статистик",2024,424
Үйлчилгээ,2024,1330
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2024,1424
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2023,271
"Урлаг, хүмүүнлэг",2023,1759
"Бизнес, удирдахуй, хууль, эрх зүй",2023,8816
Боловсрол,2023,4229
"Инженер, үйлдвэрлэл, барилга угсралт",2023,3118
"Эрүүл мэнд, нийгмийн хамгаалал",2023,4779
"Мэдээлэл, харилцаа холбооны технологи",2023,1082
"Байгалийн шинжлэх ухаан, математик, статистик",2023,522
Үйлчилгээ,2023,1277
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2023,1702
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2022,295
"Урлаг, хүмүүнлэг",2022,1545
"Бизнес, удирдахуй, хууль, эрх зүй",2022,7194
Боловсрол,2022,3535
"Инженер, үйлдвэрлэл, барилга угсралт",2022,2910
"Эрүүл мэнд, нийгмийн хамгаалал",2022,4455
"Мэдээлэл, харилцаа холбооны технологи",2022,690
"Байгалийн шинжлэх ухаан, математик, статистик",2022,476
Үйлчилгээ,2022,1020
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2022,1194
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2021,348
"Урлаг, хүмүүнлэг",2021,2317
"Бизнес, удирдахуй, хууль, эрх зүй",2021,10506
Боловсрол,2021,6001
"Инженер, үйлдвэрлэл, барилга угсралт",2021,4225
"Эрүүл мэнд, нийгмийн хамгаалал",2021,4293
"Мэдээлэл, харилцаа холбооны технологи",2021,882
"Байгалийн шинжлэх ухаан, математик, статистик",2021,767
Үйлчилгээ,2021,1685
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2021,1901
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2020,407
"Урлаг, хүмүүнлэг",2020,2127
"Бизнес, удирдахуй, хууль, эрх зүй",2020,9794
Боловсрол,2020,6296
"Инженер, үйлдвэрлэл, барилга угсралт",2020,4061
"Эрүүл мэнд, нийгмийн хамгаалал",2020,3661
"Мэдээлэл, харилцаа холбооны технологи",2020,887
"Байгалийн шинжлэх ухаан, математик, статистик",2020,864
Үйлчилгээ,2020,1260
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2020,1804
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2019,397
"Урлаг, хүмүүнлэг",2019,1741
"Бизнес, удирдахуй, хууль, эрх зүй",2019,9462
Боловсрол,2019,5513
"Инженер, үйлдвэрлэл, барилга угсралт",2019,4306
"Эрүүл мэнд, нийгмийн хамгаалал",2019,3276
"Мэдээлэл, харилцаа холбооны технологи",2019,867
"Байгалийн шинжлэх ухаан, математик, статистик",2019,745
Үйлчилгээ,2019,455
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2019,1283
