чиглэл,он,төгсөгч
"Байгалийн шинжлэх ухаан, математик, статистик",2024,424
"Бизнес, удирдахуй, хууль, эрх зүй",2024,6433
Боловсрол,2024,3151
"Инженер, үйлдвэрлэл, барилга угсралт",2024,2701
"Мэдээлэл, харилцаа холбооны технологи",2024,1230
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2024,1424
"Урлаг, хүмүүнлэг",2024,1934
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2024,255
"Эрүүл мэнд, нийгмийн хамгаалал",2024,4886
Үйлчилгээ,2024,1330
"Байгалийн шинжлэх ухаан, математик, статистик",2023,522
"Бизнес, удирдахуй, хууль, эрх зүй",2023,8816
Боловсрол,2023,4229
"Инженер, үйлдвэрлэл, барилга угсралт",2023,3118
"Мэдээлэл, харилцаа холбооны технологи",2023,1082
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2023,1702
"Урлаг, хүмүүнлэг",2023,1759
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2023,271
"Эрүүл мэнд, нийгмийн хамгаалал",2023,4779
Үйлчилгээ,2023,1277
"Байгалийн шинжлэх ухаан, математик, статистик",2022,476
"Бизнес, удирдахуй, хууль, эрх зүй",2022,7194
Боловсрол,2022,3535
"Инженер, үйлдвэрлэл, барилга угсралт",2022,2910
"Мэдээлэл, харилцаа холбооны технологи",2022,690
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2022,1194
"Урлаг, хүмүүнлэг",2022,1545
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2022,295
"Эрүүл мэнд, нийгмийн хамгаалал",2022,4455
Үйлчилгээ,2022,1020
"Байгалийн шинжлэх ухаан, математик, статистик",2021,767
"Бизнес, удирдахуй, хууль, эрх зүй",2021,10506
Боловсрол,2021,6001
"Инженер, үйлдвэрлэл, барилга угсралт",2021,4225
"Мэдээлэл, харилцаа холбооны технологи",2021,882
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2021,1901
"Урлаг, хүмүүнлэг",2021,2317
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2021,348
"Эрүүл мэнд, нийгмийн хамгаалал",2021,4293
Үйлчилгээ,2021,1685
"Байгалийн шинжлэх ухаан, математик, статистик",2020,864
"Бизнес, удирдахуй, хууль, эрх зүй",2020,9794
Боловсрол,2020,6296
"Инженер, үйлдвэрлэл, барилга угсралт",2020,4061
"Мэдээлэл, харилцаа холбооны технологи",2020,887
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2020,1804
"Урлаг, хүмүүнлэг",2020,2127
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2020,407
"Эрүүл мэнд, нийгмийн хамгаалал",2020,3661
Үйлчилгээ,2020,1260
"Байгалийн шинжлэх ухаан, математик, статистик",2019,745
"Бизнес, удирдахуй, хууль, эрх зүй",2019,9462
Боловсрол,2019,5513
"Инженер, үйлдвэрлэл, барилга угсралт",2019,4306
"Мэдээлэл, харилцаа холбооны технологи",2019,867
"Нийгмийн шинжлэх ухаан, мэдээлэл, сэтгүүл зүй",2019,1283
"Урлаг, хүмүүнлэг",2019,1741
"Хөдөө аж ахуй, ой, загасны аж ахуй, мал эмнэлэг",2019,397
"Эрүүл мэнд, нийгмийн хамгаалал",2019,3276
Үйлчилгээ,2019,455
