sex,region,year,students
Female,Arkhangai,2010,1693.0
Female,Bayan-Ulgii,2010,611.0
Female,Bayankhongor,2010,186.0
Female,Bulgan,2010,
Female,Central region,2010,5168.0
Female,Darkhan-Uul,2010,4390.0
Female,Dornod,2010,723.0
Female,Dornogovi,2010,778.0
Female,Dundgovi,2010,
Female,Eastern region,2010,859.0
Female,Govi-Altai,2010,1067.0
Female,Govisumber,2010,
Female,Khangai region,2010,4321.0
Female,Khentii,2010,
Female,Khovd,2010,1779.0
Female,Khuvsgul,2010,310.0
Female,Orkhon,2010,1774.0
Female,Selenge,2010,
Female,Sukhbaatar,2010,136.0
Female,Total,2010,101455.0
Female,Tuv,2010,
Female,Ulaanbaatar,2010,87076.0
Female,Ulaanbaatar,2010,87076.0
Female,Umnugovi,2010,
Female,Uvs,2010,93.0
Female,Uvurkhangai,2010,358.0
Female,Western region,2010,4031.0
Female,Zavkhan,2010,481.0
Male,Arkhangai,2010,340.0
Male,Bayan-Ulgii,2010,167.0
Male,Bayankhongor,2010,64.0
Male,Bulgan,2010,
Male,Central region,2010,3283.0
Male,Darkhan-Uul,2010,3111.0
Male,Dornod,2010,78.0
Male,Dornogovi,2010,172.0
Male,Dundgovi,2010,
Male,Eastern region,2010,158.0
Male,Govi-Altai,2010,266.0
Male,Govisumber,2010,
Male,Khangai region,2010,1966.0
Male,Khentii,2010,
Male,Khovd,2010,820.0
Male,Khuvsgul,2010,102.0
Male,Orkhon,2010,1289.0
Male,Selenge,2010,
Male,Sukhbaatar,2010,80.0
Male,Total,2010,68671.0
Male,Tuv,2010,
Male,Ulaanbaatar,2010,61650.0
Male,Ulaanbaatar,2010,61650.0
Male,Umnugovi,2010,
Male,Uvs,2010,71.0
Male,Uvurkhangai,2010,171.0
Male,Western region,2010,1614.0
Male,Zavkhan,2010,290.0
Female,Arkhangai,2011,1530.0
Female,Bayan-Ulgii,2011,573.0
Female,Bayankhongor,2011,121.0
Female,Bulgan,2011,
Female,Central region,2011,4128.0
Female,Darkhan-Uul,2011,3509.0
Female,Dornod,2011,733.0
Female,Dornogovi,2011,619.0
Female,Dundgovi,2011,
Female,Eastern region,2011,857.0
Female,Govi-Altai,2011,542.0
Female,Govisumber,2011,
Female,Khangai region,2011,4013.0
Female,Khentii,2011,
Female,Khovd,2011,1862.0
Female,Khuvsgul,2011,281.0
Female,Orkhon,2011,1778.0
Female,Selenge,2011,
Female,Sukhbaatar,2011,124.0
Female,Total,2011,101557.0
Female,Tuv,2011,
Female,Ulaanbaatar,2011,89002.0
Female,Ulaanbaatar,2011,89002.0
Female,Umnugovi,2011,
Female,Uvs,2011,93.0
Female,Uvurkhangai,2011,303.0
Female,Western region,2011,3557.0
Female,Zavkhan,2011,487.0
Male,Arkhangai,2011,304.0
Male,Bayan-Ulgii,2011,153.0
Male,Bayankhongor,2011,36.0
Male,Bulgan,2011,
Male,Central region,2011,3321.0
Male,Darkhan-Uul,2011,3167.0
Male,Dornod,2011,68.0
Male,Dornogovi,2011,154.0
Male,Dundgovi,2011,
Male,Eastern region,2011,136.0
Male,Govi-Altai,2011,143.0
Male,Govisumber,2011,
Male,Khangai region,2011,1818.0
Male,Khentii,2011,
Male,Khovd,2011,831.0
Male,Khuvsgul,2011,101.0
Male,Orkhon,2011,1225.0
Male,Selenge,2011,
Male,Sukhbaatar,2011,68.0
Male,Total,2011,71241.0
Male,Tuv,2011,
Male,Ulaanbaatar,2011,64486.0
Male,Ulaanbaatar,2011,64486.0
Male,Umnugovi,2011,
Male,Uvs,2011,71.0
Male,Uvurkhangai,2011,152.0
Male,Western region,2011,1480.0
Male,Zavkhan,2011,282.0
Female,Arkhangai,2012,1465.0
Female,Bayan-Ulgii,2012,646.0
Female,Bayankhongor,2012,83.0
Female,Bulgan,2012,0.0
Female,Central region,2012,4320.0
Female,Darkhan-Uul,2012,3664.0
Female,Dornod,2012,689.0
Female,Dornogovi,2012,656.0
Female,Dundgovi,2012,0.0
Female,Eastern region,2012,816.0
Female,Govi-Altai,2012,571.0
Female,Govisumber,2012,0.0
Female,Khangai region,2012,3840.0
Female,Khentii,2012,0.0
Female,Khovd,2012,1954.0
Female,Khuvsgul,2012,253.0
Female,Orkhon,2012,1794.0
Female,Selenge,2012,0.0
Female,Sukhbaatar,2012,127.0
Female,Total,2012,102427.0
Female,Tuv,2012,0.0
Female,Ulaanbaatar,2012,102427.0
Female,Ulaanbaatar,2012,102427.0
Female,Umnugovi,2012,0.0
Female,Uvs,2012,172.0
Female,Uvurkhangai,2012,245.0
Female,Western region,2012,3819.0
Female,Zavkhan,2012,476.0
Male,Arkhangai,2012,256.0
Male,Bayan-Ulgii,2012,188.0
Male,Bayankhongor,2012,21.0
Male,Bulgan,2012,0.0
Male,Central region,2012,3310.0
Male,Darkhan-Uul,2012,3146.0
Male,Dornod,2012,69.0
Male,Dornogovi,2012,164.0
Male,Dundgovi,2012,0.0
Male,Eastern region,2012,142.0
Male,Govi-Altai,2012,142.0
Male,Govisumber,2012,0.0
Male,Khangai region,2012,1697.0
Male,Khentii,2012,0.0
Male,Khovd,2012,844.0
Male,Khuvsgul,2012,96.0
Male,Orkhon,2012,1203.0
Male,Selenge,2012,0.0
Male,Sukhbaatar,2012,73.0
Male,Total,2012,73164.0
Male,Tuv,2012,0.0
Male,Ulaanbaatar,2012,73164.0
Male,Ulaanbaatar,2012,73164.0
Male,Umnugovi,2012,0.0
Male,Uvs,2012,71.0
Male,Uvurkhangai,2012,121.0
Male,Western region,2012,1519.0
Male,Zavkhan,2012,274.0
Female,Arkhangai,2013,1245.0
Female,Bayan-Ulgii,2013,642.0
Female,Bayankhongor,2013,152.0
Female,Bulgan,2013,
Female,Central region,2013,3603.0
Female,Darkhan-Uul,2013,3058.0
Female,Dornod,2013,602.0
Female,Dornogovi,2013,545.0
Female,Dundgovi,2013,
Female,Eastern region,2013,602.0
Female,Govi-Altai,2013,578.0
Female,Govisumber,2013,
Female,Khangai region,2013,3526.0
Female,Khentii,2013,
Female,Khovd,2013,2009.0
Female,Khuvsgul,2013,232.0
Female,Orkhon,2013,1739.0
Female,Selenge,2013,
Female,Sukhbaatar,2013,
Female,Total,2013,101783.0
Female,Tuv,2013,
Female,Ulaanbaatar,2013,90232.0
Female,Ulaanbaatar,2013,90232.0
Female,Umnugovi,2013,
Female,Uvs,2013,146.0
Female,Uvurkhangai,2013,158.0
Female,Western region,2013,3820.0
Female,Zavkhan,2013,445.0
Male,Arkhangai,2013,209.0
Male,Bayan-Ulgii,2013,174.0
Male,Bayankhongor,2013,61.0
Male,Bulgan,2013,
Male,Central region,2013,2694.0
Male,Darkhan-Uul,2013,2556.0
Male,Dornod,2013,71.0
Male,Dornogovi,2013,138.0
Male,Dundgovi,2013,
Male,Eastern region,2013,71.0
Male,Govi-Altai,2013,132.0
Male,Govisumber,2013,
Male,Khangai region,2013,1785.0
Male,Khentii,2013,
Male,Khovd,2013,807.0
Male,Khuvsgul,2013,98.0
Male,Orkhon,2013,1345.0
Male,Selenge,2013,
Male,Sukhbaatar,2013,
Male,Total,2013,72292.0
Male,Tuv,2013,
Male,Ulaanbaatar,2013,66306.0
Male,Ulaanbaatar,2013,66306.0
Male,Umnugovi,2013,
Male,Uvs,2013,70.0
Male,Uvurkhangai,2013,72.0
Male,Western region,2013,1436.0
Male,Zavkhan,2013,253.0
Female,Arkhangai,2014,1069.0
Female,Bayan-Ulgii,2014,573.0
Female,Bayankhongor,2014,136.0
Female,Bulgan,2014,
Female,Central region,2014,3960.0
Female,Darkhan-Uul,2014,3425.0
Female,Dornod,2014,693.0
Female,Dornogovi,2014,535.0
Female,Dundgovi,2014,
Female,Eastern region,2014,693.0
Female,Govi-Altai,2014,505.0
Female,Govisumber,2014,
Female,Khangai region,2014,3112.0
Female,Khentii,2014,
Female,Khovd,2014,1990.0
Female,Khuvsgul,2014,209.0
Female,Orkhon,2014,1612.0
Female,Selenge,2014,
Female,Sukhbaatar,2014,
Female,Total,2014,102520.0
Female,Tuv,2014,
Female,Ulaanbaatar,2014,91162.0
Female,Ulaanbaatar,2014,91162.0
Female,Umnugovi,2014,
Female,Uvs,2014,142.0
Female,Uvurkhangai,2014,86.0
Female,Western region,2014,3593.0
Female,Zavkhan,2014,383.0
Male,Arkhangai,2014,145.0
Male,Bayan-Ulgii,2014,125.0
Male,Bayankhongor,2014,69.0
Male,Bulgan,2014,
Male,Central region,2014,2313.0
Male,Darkhan-Uul,2014,2203.0
Male,Dornod,2014,108.0
Male,Dornogovi,2014,110.0
Male,Dundgovi,2014,
Male,Eastern region,2014,108.0
Male,Govi-Altai,2014,136.0
Male,Govisumber,2014,
Male,Khangai region,2014,1495.0
Male,Khentii,2014,
Male,Khovd,2014,833.0
Male,Khuvsgul,2014,87.0
Male,Orkhon,2014,1147.0
Male,Selenge,2014,
Male,Sukhbaatar,2014,
Male,Total,2014,75775.0
Male,Tuv,2014,
Male,Ulaanbaatar,2014,70470.0
Male,Ulaanbaatar,2014,70470.0
Male,Umnugovi,2014,
Male,Uvs,2014,74.0
Male,Uvurkhangai,2014,47.0
Male,Western region,2014,1389.0
Male,Zavkhan,2014,221.0
Female,Arkhangai,2015,1090.0
Female,Bayan-Ulgii,2015,456.0
