хүйс,бүс,он,оюутан
Эмэгтэй,Архангай,2010,1693.0
Эмэгтэй,Баруун бүс,2010,4031.0
Эмэгтэй,Баян-Өлгий,2010,611.0
Эмэгтэй,Баянхонгор,2010,186.0
Эмэгтэй,Булган,2010,
Эмэгтэй,Говь-Алтай,2010,1067.0
Эмэгтэй,Говьсүмбэр,2010,
Эмэгтэй,Дархан-Уул,2010,4390.0
Эмэгтэй,Дорноговь,2010,778.0
Эмэгтэй,Дорнод,2010,723.0
Эмэгтэй,Дундговь,2010,
Эмэгтэй,Завхан,2010,481.0
Эмэгтэй,Зүүн бүс,2010,859.0
Эмэгтэй,Орхон,2010,1774.0
Эмэгтэй,Сэлэнгэ,2010,
Эмэгтэй,Сүхбаатар,2010,136.0
Эмэгтэй,Төв,2010,
Эмэгтэй,Төвийн бүс,2010,5168.0
Эмэгтэй,Увс,2010,93.0
Эмэгтэй,Улаанбаатар,2010,87076.0
Эмэгтэй,Улаанбаатар,2010,87076.0
Эмэгтэй,Улсын дүн,2010,101455.0
Эмэгтэй,Хангайн бүс,2010,4321.0
Эмэгтэй,Ховд,2010,1779.0
Эмэгтэй,Хэнтий,2010,
Эмэгтэй,Хөвсгөл,2010,310.0
Эмэгтэй,Өвөрхангай,2010,358.0
Эмэгтэй,Өмнөговь,2010,
Эрэгтэй,Архангай,2010,340.0
Эрэгтэй,Баруун бүс,2010,1614.0
Эрэгтэй,Баян-Өлгий,2010,167.0
Эрэгтэй,Баянхонгор,2010,64.0
Эрэгтэй,Булган,2010,
Эрэгтэй,Говь-Алтай,2010,266.0
Эрэгтэй,Говьсүмбэр,2010,
Эрэгтэй,Дархан-Уул,2010,3111.0
Эрэгтэй,Дорноговь,2010,172.0
Эрэгтэй,Дорнод,2010,78.0
Эрэгтэй,Дундговь,2010,
Эрэгтэй,Завхан,2010,290.0
Эрэгтэй,Зүүн бүс,2010,158.0
Эрэгтэй,Орхон,2010,1289.0
Эрэгтэй,Сэлэнгэ,2010,
Эрэгтэй,Сүхбаатар,2010,80.0
Эрэгтэй,Төв,2010,
Эрэгтэй,Төвийн бүс,2010,3283.0
Эрэгтэй,Увс,2010,71.0
Эрэгтэй,Улаанбаатар,2010,61650.0
Эрэгтэй,Улаанбаатар,2010,61650.0
Эрэгтэй,Улсын дүн,2010,68671.0
Эрэгтэй,Хангайн бүс,2010,1966.0
Эрэгтэй,Ховд,2010,820.0
Эрэгтэй,Хэнтий,2010,
Эрэгтэй,Хөвсгөл,2010,102.0
Эрэгтэй,Өвөрхангай,2010,171.0
Эрэгтэй,Өмнөговь,2010,
Эмэгтэй,Архангай,2011,1530.0
Эмэгтэй,Баруун бүс,2011,3557.0
Эмэгтэй,Баян-Өлгий,2011,573.0
Эмэгтэй,Баянхонгор,2011,121.0
Эмэгтэй,Булган,2011,
Эмэгтэй,Говь-Алтай,2011,542.0
Эмэгтэй,Говьсүмбэр,2011,
Эмэгтэй,Дархан-Уул,2011,3509.0
Эмэгтэй,Дорноговь,2011,619.0
Эмэгтэй,Дорнод,2011,733.0
Эмэгтэй,Дундговь,2011,
Эмэгтэй,Завхан,2011,487.0
Эмэгтэй,Зүүн бүс,2011,857.0
Эмэгтэй,Орхон,2011,1778.0
Эмэгтэй,Сэлэнгэ,2011,
Эмэгтэй,Сүхбаатар,2011,124.0
Эмэгтэй,Төв,2011,
Эмэгтэй,Төвийн бүс,2011,4128.0
Эмэгтэй,Увс,2011,93.0
Эмэгтэй,Улаанбаатар,2011,89002.0
Эмэгтэй,Улаанбаатар,2011,89002.0
Эмэгтэй,Улсын дүн,2011,101557.0
Эмэгтэй,Хангайн бүс,2011,4013.0
Эмэгтэй,Ховд,2011,1862.0
Эмэгтэй,Хэнтий,2011,
Эмэгтэй,Хөвсгөл,2011,281.0
