product,date,price
"Milk, pasteurised, 500 g",2025-12-08,2336.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-12-08,4572.0
"Butter cream, Sain zuuhii, 450 g",2025-12-08,10533.0
"Milk, fresh, not pasteurised, l",2025-12-08,3879.0
"Milk, pasteurised, l",2025-12-08,5012.0
"Butter cream, Sain zuuhii, 450 g",2025-12-01,10475.0
"Milk, pasteurised, 500 g",2025-12-01,2320.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-12-01,4572.0
"Milk, pasteurised, l",2025-12-01,5012.0
"Milk, fresh, not pasteurised, l",2025-12-01,3793.0
"Butter cream, Sain zuuhii, 450 g",2025-11-24,10475.0
"Milk, pasteurised, l",2025-11-24,5012.0
"Milk, fresh, not pasteurised, l",2025-11-24,3536.0
"Milk, pasteurised, 500 g",2025-11-24,2320.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-11-24,4572.0
"Milk, fresh, not pasteurised, l",2025-11-17,3536.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-11-17,4572.0
"Milk, pasteurised, 500 g",2025-11-17,2320.0
"Butter cream, Sain zuuhii, 450 g",2025-11-17,10475.0
"Milk, pasteurised, l",2025-11-17,5012.0
"Milk, pasteurised, l",2025-11-10,5012.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-11-10,4572.0
"Milk, fresh, not pasteurised, l",2025-11-10,3536.0
"Milk, pasteurised, 500 g",2025-11-10,2320.0
"Butter cream, Sain zuuhii, 450 g",2025-11-10,10475.0
"Milk, pasteurised, l",2025-11-03,5012.0
"Milk, pasteurised, 500 g",2025-11-03,2320.0
"Butter cream, Sain zuuhii, 450 g",2025-11-03,10533.0
"Milk, fresh, not pasteurised, l",2025-11-03,3536.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-11-03,4572.0
"Butter cream, Sain zuuhii, 450 g",2025-10-27,10533.0
"Milk, pasteurised, 500 g",2025-10-27,2320.0
"Milk, fresh, not pasteurised, l",2025-10-27,3536.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-10-27,4572.0
"Milk, pasteurised, l",2025-10-27,5012.0
"Milk, pasteurised, 500 g",2025-10-20,2320.0
"Milk, fresh, not pasteurised, l",2025-10-20,3536.0
"Butter cream, Sain zuuhii, 450 g",2025-10-20,10431.0
"Milk, pasteurised, l",2025-10-20,5012.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-10-20,4572.0
"Milk, pasteurised, 500 g",2025-10-13,2320.0
"Milk, pasteurised, l",2025-10-13,5012.0
"Milk, fresh, not pasteurised, l",2025-10-13,3536.0
"Butter cream, Sain zuuhii, 450 g",2025-10-13,10431.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-10-13,4541.0
"Milk, pasteurised, l",2025-10-06,4951.0
"Milk, fresh, not pasteurised, l",2025-10-06,3446.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-10-06,4519.0
"Milk, pasteurised, 500 g",2025-10-06,2313.0
"Butter cream, Sain zuuhii, 450 g",2025-10-06,10231.0
"Milk, pasteurised, 500 g",2025-09-29,2290.0
"Milk, pasteurised, l",2025-09-29,4804.0
"Butter cream, Sain zuuhii, 450 g",2025-09-29,9630.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-09-29,4340.0
"Milk, fresh, not pasteurised, l",2025-09-29,3446.0
"Butter cream, Sain zuuhii, 450 g",2025-09-22,9532.0
"Milk, pasteurised, 500 g",2025-09-22,2283.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-09-22,4347.0
"Milk, fresh, not pasteurised, l",2025-09-22,3400.0
"Milk, pasteurised, l",2025-09-22,4782.0
"Butter cream, Sain zuuhii, 450 g",2025-09-15,9532.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-09-15,4281.0
"Milk, pasteurised, 500 g",2025-09-15,2283.0
"Milk, fresh, not pasteurised, l",2025-09-15,3400.0
"Milk, pasteurised, l",2025-09-15,4782.0
"Milk, pasteurised, 500 g",2025-09-08,2267.0
"Butter cream, Sain zuuhii, 450 g",2025-09-08,9457.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-09-08,4266.0
"Milk, pasteurised, l",2025-09-08,4759.0
"Milk, fresh, not pasteurised, l",2025-09-08,3400.0
"Milk, fresh, not pasteurised, l",2025-09-01,3325.0
"Milk, pasteurised, 500 g",2025-09-01,2267.0
"Milk, pasteurised, l",2025-09-01,4759.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-09-01,4266.0
"Butter cream, Sain zuuhii, 450 g",2025-09-01,9457.0
"Milk, pasteurised, l",2025-08-25,4759.0
"Milk, pasteurised, 500 g",2025-08-25,2267.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-08-25,4266.0
"Butter cream, Sain zuuhii, 450 g",2025-08-25,9457.0
"Milk, fresh, not pasteurised, l",2025-08-25,3488.0
"Milk, pasteurised, l",2025-08-18,4759.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-08-18,4266.0
"Milk, fresh, not pasteurised, l",2025-08-18,3488.0
"Butter cream, Sain zuuhii, 450 g",2025-08-18,9457.0
"Milk, pasteurised, 500 g",2025-08-18,2267.0
"Butter cream, Sain zuuhii, 450 g",2025-08-11,9457.0
"Milk, pasteurised, l",2025-08-11,4759.0
"Milk, fresh, not pasteurised, l",2025-08-11,3488.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-08-11,4267.0
"Milk, pasteurised, 500 g",2025-08-11,2267.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-08-04,4297.0
"Butter cream, Sain zuuhii, 450 g",2025-08-04,9457.0
"Milk, pasteurised, 500 g",2025-08-04,2267.0
"Milk, fresh, not pasteurised, l",2025-08-04,3488.0
"Milk, pasteurised, l",2025-08-04,4767.0
"Milk, fresh, not pasteurised, l",2025-07-28,3488.0
"Milk, pasteurised, 500 g",2025-07-28,2267.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-07-28,4297.0
"Butter cream, Sain zuuhii, 450 g",2025-07-28,9457.0
"Milk, pasteurised, l",2025-07-28,4767.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-07-21,4297.0
"Milk, pasteurised, l",2025-07-21,4767.0
"Milk, fresh, not pasteurised, l",2025-07-21,3488.0
"Butter cream, Sain zuuhii, 450 g",2025-07-21,9457.0
"Milk, pasteurised, 500 g",2025-07-21,2267.0
"Milk, pasteurised, 500 g",2025-07-07,2267.0
"Milk, pasteurised, l",2025-07-07,4767.0
"Milk, fresh, not pasteurised, l",2025-07-07,3488.0
"Butter cream, Sain zuuhii, 450 g",2025-07-07,9457.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-07-07,4297.0
"Butter cream, Sain zuuhii, 450 g",2025-06-30,9457.0
"Milk, pasteurised, l",2025-06-30,4775.0
"Milk, pasteurised, 500 g",2025-06-30,2275.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-06-30,4297.0
"Milk, fresh, not pasteurised, l",2025-06-30,3562.0
"Milk, pasteurised, 500 g",2025-06-23,2275.0
"Milk, pasteurised, l",2025-06-23,4775.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-06-23,4297.0
"Butter cream, Sain zuuhii, 450 g",2025-06-23,9457.0
"Milk, fresh, not pasteurised, l",2025-06-23,3714.0
"Milk, pasteurised, 500 g",2025-06-16,2275.0
"Milk, fresh, not pasteurised, l",2025-06-16,3873.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-06-16,4297.0
"Milk, pasteurised, l",2025-06-16,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-06-16,9457.0
"Milk, fresh, not pasteurised, l",2025-06-09,3873.0
"Butter cream, Sain zuuhii, 450 g",2025-06-09,9457.0
"Milk, pasteurised, 500 g",2025-06-09,2275.0
"Milk, pasteurised, l",2025-06-09,4775.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-06-09,4281.0
"Milk, pasteurised, 500 g",2025-06-02,2275.0
"Milk, pasteurised, l",2025-06-02,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-06-02,9457.0
"Milk, fresh, not pasteurised, l",2025-06-02,3960.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-06-02,4281.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-05-26,4281.0
"Butter cream, Sain zuuhii, 450 g",2025-05-26,9457.0
"Milk, fresh, not pasteurised, l",2025-05-26,3960.0
"Milk, pasteurised, 500 g",2025-05-26,2275.0
"Milk, pasteurised, l",2025-05-26,4775.0
"Milk, fresh, not pasteurised, l",2025-05-19,3960.0
"Butter cream, Sain zuuhii, 450 g",2025-05-19,9457.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-05-19,4281.0
"Milk, pasteurised, 500 g",2025-05-19,2275.0
"Milk, pasteurised, l",2025-05-19,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-05-12,9457.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-05-12,4281.0
"Milk, pasteurised, 500 g",2025-05-12,2275.0
"Milk, pasteurised, l",2025-05-12,4775.0
"Milk, fresh, not pasteurised, l",2025-05-12,3960.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-05-05,4274.0
"Milk, fresh, not pasteurised, l",2025-05-05,3960.0
"Butter cream, Sain zuuhii, 450 g",2025-05-05,9457.0
"Milk, pasteurised, 500 g",2025-05-05,2275.0
"Milk, pasteurised, l",2025-05-05,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-04-28,9442.0
"Milk, fresh, not pasteurised, l",2025-04-28,3960.0
"Milk, pasteurised, 500 g",2025-04-28,2275.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-04-28,4274.0
"Milk, pasteurised, l",2025-04-28,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-04-21,9427.0
"Milk, pasteurised, 500 g",2025-04-21,2275.0
"Milk, pasteurised, l",2025-04-21,4775.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-04-21,4274.0
"Milk, fresh, not pasteurised, l",2025-04-21,3960.0
"Milk, pasteurised, l",2025-04-14,4775.0
"Butter cream, Sain zuuhii, 450 g",2025-04-14,9412.0
"Milk, fresh, not pasteurised, l",2025-04-14,3607.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-04-14,4274.0
"Milk, pasteurised, 500 g",2025-04-14,2275.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-04-07,4274.0
"Butter cream, Sain zuuhii, 450 g",2025-04-07,9412.0
"Milk, fresh, not pasteurised, l",2025-04-07,3607.0
"Milk, pasteurised, l",2025-04-07,4790.0
"Milk, pasteurised, 500 g",2025-04-07,2275.0
"Milk, fresh, not pasteurised, l",2025-03-31,3459.0
"Milk, pasteurised, 500 g",2025-03-31,2275.0
"Milk, pasteurised, l",2025-03-31,4790.0
"Butter cream, Sain zuuhii, 450 g",2025-03-31,9412.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-03-31,4274.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-03-24,4259.0
"Butter cream, Sain zuuhii, 450 g",2025-03-24,9412.0
"Milk, fresh, not pasteurised, l",2025-03-24,3459.0
"Milk, pasteurised, l",2025-03-24,4782.0
"Milk, pasteurised, 500 g",2025-03-24,2275.0
"Milk, pasteurised, 500 g",2025-03-17,2275.0
"Milk, pasteurised, l",2025-03-17,4774.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-03-17,4259.0
"Butter cream, Sain zuuhii, 450 g",2025-03-17,9412.0
"Milk, fresh, not pasteurised, l",2025-03-17,3459.0
"Butter cream, Sain zuuhii, 450 g",2025-03-10,9412.0
"Milk, pasteurised, l",2025-03-10,4759.0
"Milk, fresh, not pasteurised, l",2025-03-10,3459.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-03-10,4243.0
"Milk, pasteurised, 500 g",2025-03-10,2275.0
"Milk, fresh, not pasteurised, l",2025-02-24,3459.0
"Butter cream, Sain zuuhii, 450 g",2025-02-24,9382.0
"Milk, pasteurised, l",2025-02-24,4714.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-02-24,4220.0
"Milk, pasteurised, 500 g",2025-02-24,2275.0
"Milk, fresh, not pasteurised, l",2025-02-17,3459.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-02-17,4220.0
"Milk, pasteurised, l",2025-02-17,4714.0
"Butter cream, Sain zuuhii, 450 g",2025-02-17,9382.0
"Milk, pasteurised, 500 g",2025-02-17,2275.0
"Milk, fresh, not pasteurised, l",2025-02-10,3459.0
"Butter cream, Sain zuuhii, 450 g",2025-02-10,9382.0
"Milk, pasteurised, l",2025-02-10,4714.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-02-10,4220.0
"Milk, pasteurised, 500 g",2025-02-10,2275.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-02-03,4228.0
"Milk, pasteurised, 500 g",2025-02-03,2275.0
"Milk, fresh, not pasteurised, l",2025-02-03,3383.0
"Butter cream, Sain zuuhii, 450 g",2025-02-03,9382.0
"Milk, pasteurised, l",2025-02-03,4714.0
"Milk, fresh, not pasteurised, l",2025-01-27,3383.0
"Butter cream, Sain zuuhii, 450 g",2025-01-27,9382.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-01-27,4228.0
"Milk, pasteurised, 500 g",2025-01-27,2275.0
"Milk, pasteurised, l",2025-01-27,4714.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-01-20,4228.0
"Butter cream, Sain zuuhii, 450 g",2025-01-20,9382.0
"Milk, fresh, not pasteurised, l",2025-01-20,3383.0
"Milk, pasteurised, l",2025-01-20,4714.0
"Milk, pasteurised, 500 g",2025-01-20,2275.0
"Milk, pasteurised, 500 g",2025-01-13,2277.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-01-13,4228.0
"Milk, pasteurised, l",2025-01-13,4714.0
"Milk, fresh, not pasteurised, l",2025-01-13,3383.0
"Butter cream, Sain zuuhii, 450 g",2025-01-13,9382.0
"Butter cream, Sain zuuhii, 450 g",2025-01-06,9382.0
"Milk, pasteurised, l",2025-01-06,4690.0
"Milk, pasteurised, 500 g",2025-01-06,2267.0
"Milk, fresh, not pasteurised, l",2025-01-06,3383.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2025-01-06,4228.0
"Butter cream, Sain zuuhii, 450 g",2024-12-30,9382.0
"Milk, pasteurised, l",2024-12-30,4690.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-12-30,4228.0
"Milk, fresh, not pasteurised, l",2024-12-30,3383.0
"Milk, pasteurised, 500 g",2024-12-30,2267.0
"Milk, pasteurised, 500 g",2024-12-23,2267.0
"Milk, fresh, not pasteurised, l",2024-12-23,3383.0
"Butter cream, Sain zuuhii, 450 g",2024-12-23,9421.0
"Milk, pasteurised, l",2024-12-23,4705.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-12-23,4205.0
"Milk, pasteurised, 500 g",2024-12-16,2237.0
"Milk, pasteurised, l",2024-12-16,4468.0
"Butter cream, Sain zuuhii, 450 g",2024-12-16,9343.0
"Milk, fresh, not pasteurised, l",2024-12-16,3383.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-12-16,4065.0
"Milk, fresh, not pasteurised, l",2024-12-09,3383.0
"Butter cream, Sain zuuhii, 450 g",2024-12-09,9343.0
"Milk, pasteurised, 500 g",2024-12-09,2237.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-12-09,4037.0
"Milk, pasteurised, l",2024-12-09,4490.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-12-02,4037.0
"Butter cream, Sain zuuhii, 450 g",2024-12-02,9343.0
"Milk, pasteurised, l",2024-12-02,4490.0
"Milk, fresh, not pasteurised, l",2024-12-02,3383.0
"Milk, pasteurised, 500 g",2024-12-02,2237.0
"Butter cream, Sain zuuhii, 450 g",2024-11-25,9343.0
"Milk, pasteurised, 500 g",2024-11-25,2237.0
"Milk, pasteurised, l",2024-11-25,4490.0
"Milk, fresh, not pasteurised, l",2024-11-25,3276.0
"Yoghurt, Tsutsgiitei, plain, 900 g",2024-11-25,4037.0
"Butter cream, Sain zuuhii, 450 g",2024-11-18,9343.0
